line,annotated
[Verse 1],0
That's you with that bad ass Benz ha,1
That's you that can't keep your old lady,1
Cause you keep fuckin' her friends ha,1
You gotta go to court ha,1
You got served a subpoena for child support ha,1
That was that nerve ha,0
You ain't even much get a chance to say a word ha,0
I know I ain't trippin' don't your brother got them birds ha,0
You won't bust one of them niggas head ha,0
You ain't scared ha,0
You know how to play it ha,0
I know you ain't just gonna let a nigga come and punk you ha,0
Stunt and front you ha,0
Straight up run you ha,0
You know who got that fire green ha,0
You know how to use a triple beam ha,0
Shit ain't hard as it seems ha,0
You keep your body clean ha,0
You gotta lot of Girbaud jeans ha,1
Some of your partners dope fiends ha,1
You really don't want to fuck with them niggas ha,1
You come up with them niggas ha,1
You stuck with them niggas ha,1
[Chorus],0
"You a paper chaser, you got your block on fire",1
Remaining a G until the moment you expire,1
You know what it is you make nothin' out of somethin',1
You handle your biz and don't be cryin' and sufferin',1
"You a paper chaser, you got your block on fire",1
Remaining a G until the moment you expire,1
You know what it is you make nothin' out of somethin',1
You handle your biz and don't be cryin' and sufferin',1
[Verse 2],0
You can't do nothin' but love Fresh ha,1
You want to know what we gonna do next ha,0
You brought our tape with a check ha,0
You wearin' a vest ha,0
You tryin' to protect your chest ha,0
You spent seventy on your Benz ha,0
That ain't yours that's for your friends ha,1
You wanna stop these niggas from playing wit you ha,0
You wanna run the block ha,0
You wanna be the only nigga with rocks ha,0
You keep your gun cocked ha,0
You count the money at the end of the night ha,0
You on a three day flight ha,0
You full of that diesel ha,1
You duckin' them people ha,0
Your face was on the news last night ha,0
You the one that robbed them little dudes out they shoes last night ha,0
You don't go in the projects when it's dark ha,0
You claim you a thug and you ain't got no heart ha,0
You came in the 'Nolia on New Year's Eve ha,1
You got stuck in that bitch and couldn't leave ha,0
It was hard for you to breathe ha,0
[Chorus],0
"You a paper chaser, you got your block on fire",0
Remaining a G until the moment you expire,0
You know what it is you make nothin' out of somethin',0
You handle your biz and don't be cryin' and sufferin',0
"You a paper chaser, you got your block on fire",0
Remaining a G until the moment you expire,0
You know what it is you make nothin' out of somethin',0
You handle your biz and don't be cryin' and sufferin',0
[Verse 3],0
You got a trespassin' charge ha,1
That dick got hard ha,1
When you were lookin' at them little broads ha,0
You don't know when to quit ha,0
That's you with that shot callin' shit ha,1
That's you with that ballin' shit ha,1
That's you that's takin' them hits ha,0
That ho don't know when to shut up her mouth ha,0
You gonna knock that ho teeth out ha,0
You done switched from Nike to Reebok ha,0
You twinkle your golds every time you leave your house ha,0
Them income tax checks out ha,0
You bout to flip that ha,0
You bout to go score you a gram ha,0
You gonna treat your nose ha,0
You bout to go put the dope dick on one of these ho ha,0
When you broke you drove ha,0
When you paid you got beaucoup places to go ha,1
You on top ha,1
You rob somebody shop ha,0
You don't even think you can be stopped ha,0
You ridin' in the Benz on twenty inch rims ha,0
[Chorus],0
"You a paper chaser, you got your block on fire",0
Remaining a G until the moment you expire,0
You know what it is you make nothin' out of somethin',0
You handle your biz and don't be cryin' and sufferin',0
"You a paper chaser, you got your block on fire",0
Remaining a G until the moment you expire,0
You know what it is you make nothin' out of somethin',0
You handle your biz and don't be cryin' and sufferin',0
