line,annotated
"[Letra de ""Hambre""]",0
[Intro],0
Oh!,0
Still hungry,0
Ahá,0
Stay hungry,0
What?,0
Yeah! Still hungry,0
Ahá,0
[Verso 1],0
Paso mis vacaciones en lagunas mentales,0
"Ya no recibo regalos en navidades, sabes",0
Curo mis males desahogándome en bares,0
"Humedeciendo vaginas e instrumentales, ya ves",0
Proyectos de vida no tengo,0
Tengo temas nuevos,0
"Algunos quieren tener la vida que llevo, pero",0
No se imaginan lo que me cuesta conseguir dinero,1
Ni el cansancio que producen los viajes del ego,1
Si hay algo que aprendí desde pequeño,0
Es a nunca confundir a mis visiones con mis sueños,0
Ambiciones con empeño,0
De mi cielo soy el dueño,0
Y no le doy la solución de mis conflictos a un leño,1
¡Never! I'm too clever,1
Soy muy feliz a mi manera,0
Los tontos salen a pescar cuando hay mar de leva,1
Yo espero el momento preciso para hacer que llueva,1
¿Tenías algo que decirme?,0
Bah! whatever’,0
[Coro],0
Tenemos hambre de ganar,1
We still hungry,1
No hay tiempo para celebrar,1
‘cause we still hungry,1
Acabamos de cenar,1
But we still hungry,1
"No se queje, mijo",1
And better stay hungry,1
Tenemos hambre de ganar (yeah),1
We still hungry,1
No hay tiempo para celebrar,1
‘cause we still hungry,1
Acabamos de cenar,1
But we still hungry,1
"Don’t you worry, mijo",1
Baby don’t you worry,1
[Verso 2],0
Lo primero que debes entender,0
Es que solo compito para verte perder,0
Poseo un apetito infinito por aprender,0
Y leo para comprender el gran poder de saber,0
¿Se entiende?,0
"Me tengo fe, pero no confío en la gente",0
Ni creo en los llamados golpes de suerte,0
Solo dependo del control de mi mente,0
Ya que nadie llega a ser millonario sin ser inteligente,0
Defino mi camino,0
Cuido mi caminar,0
Escribo mi destino,0
No lo dejo al azar,0
Prefiero blanco el vino para los frutos del mar,0
No trates de engañar a alguien con buen paladar (ajá),0
Mis exquisitos escritos guardan propósitos,0
"Honores, méritos, objetivos, éxitos",0
"Fotogramas inéditos, lugares insólitos",0
Con el dinero que obtuve en pretérito (ja),0
Haciendo vueltas de trabajo para salir de abajo,0
La vida es una lucha libre donde no hay relajo,0
Si tengo par de hoes al lado sobándome el tajo,0
Lo demás al carajo ando contando fajos,0
"Vine a llenar mi pocket, haré lo que me provoque",0
Fuck it! Pero sin perder el enfoque,0
Ganando cash en toques,0
"Para irme a Los Roques, focus",0
Bien lejos de todos los cock suckers,0
[Coro],0
Tenemos hambre de ganar,1
We still hungry,1
No hay tiempo para celebrar,1
‘cause we still hungry,1
Acabamos de cenar,1
But we still hungry,1
"No se queje, mijo",1
And better stay hungry,1
Tenemos hambre de ganar (yeah),1
We still hungry,1
No hay tiempo para celebrar,1
‘cause we still hungry,1
Acabamos de cenar,1
But we still hungry,1
"Don’t you worry, mijo",1
Better stay hungry,1
