line,annotated
[Produced By: Cool & Dre],1
[Intro: 50 Cent],0
"Yeah, let's take 'em back",0
Uh-huh,0
[Verse 1: 50 Cent],1
"Coming up I was confused, my mommy kissing a girl",1
Confusion occurs coming up in the cold world,1
"Daddy ain't around, probably out committing felonies",0
"My favorite rapper used to sing, ""Check, check out my melody""",1
"I wanna live good so, shit, I sell dope",0
"For a four finger ring, one of them gold ropes",0
Nana told me if I passed I'd get a sheepskin coat,0
"If I can move a few packs I'd get the hat, now that'd be dope",0
Tossed and turned in my sleep that night,1
"Woke up the next morning, niggas had stole my bike",1
"Different day, same shit, ain't nothing good in the hood",1
I'd run away from this bitch and never come back if I could,1
[Hook: 50 Cent &,0
The Game,0
],0
"Hate it or love it, the underdog's on top",0
"And I'm gon' shine, homie, until my heart stop",0
"Go 'head envy me, I'm rap's M.V.P",1
"And I ain't going nowhere, so you can get to know me",1
"Hate it or love it, the underdog's on top",0
"And I'm gon' shine, homie, until my heart stop",0
"Go 'head envy me, I'm rap's M.V.P",1
"And I ain't going nowhere, so you can get to know me",1
[Verse 2: The Game],0
(G-G-G-G-G-Unit!) On the grill of my lowrider,0
"Guns on both sides, right above the gold wires",0
"I'll fo'-five 'em, kill a nigga on my song",0
"And really do it, that's the true meaning of a ghostwriter",0
10 G's will take your daughter out her Air Forces,1
"Believe you me, homie, I know all about losses",1
"I'm from Compton, wear the wrong colors, be cautious",1
One phone call'll have your body dumped in Marcy,1
"I stay strapped, like car seats",1
Been bangin' since my lil' nigga Rob got killed for his Barkleys,1
"That's 10 years, I told Pooh in '95",1
I'll kill you if you try me for my Air Max 95's,1
Told Banks when I met him I'ma ride,1
"And if I gotta die, I'd rather homicide",1
I ain't have 50 cent when my grandmama died,1
Now I'm going back to Cali,1
"With my Jacob on, see how time fly?",1
[Hook: 50 Cent &,0
The Game,0
],0
"Hate it or love it, the underdog's on top",0
"And I'm gon' shine, homie, until my heart stop",0
"Go 'head envy me, I'm rap's M.V.P",1
"And I ain't going nowhere, so you can get to know me",1
"Hate it or love it, the underdog's on top",0
"And I'm gon' shine, homie, until my heart stop",0
"Go 'head envy me, I'm rap's M.V.P",1
"And I ain't going nowhere, so you can get to know me",1
[Bridge: 50 Cent],0
From the beginning to the end,1
"Losers lose, winners win",1
"This is real, we ain't got to pretend",1
The cold world that we in is full of pressure and pain,1
"Enough of me, nigga, now listen to Game",0
[Verse 3: The Game],0
"Used to see Five-O, throw the crack by the bench",1
"Now I'm fuckin' with 5-0, it's all starting to make sense",1
"My mom's happy, she ain't gotta pay the rent",0
And she got a red bow on that brand new Benz,0
"Waiting on Sha Money to land, sitting in the Range",1
Thinking how they spent 30 million dollars on airplanes,0
When there's kids starvin',0
Pac is gone and Brenda still throwing babies in the garbage,1
"I wanna know what's going on, like I hear Marvin",1
"No schoolbooks, they used that wood to build coffins",1
Whenever I'm in the booth and I get exhausted,1
"I think, ""What if Marie Baker got that abortion?"" ",1
"I love you, ma",0
[Hook: 50 Cent &,0
The Game,0
],0
"Hate it or love it, the underdog's on top",0
"And I'm gon' shine, homie, until my heart stop",0
"Go 'head envy me, I'm rap's M.V.P",1
"And I ain't going nowhere, so you can get to know me",1
"Hate it or love it, the underdog's on top",0
"And I'm gon' shine, homie, until my heart stop",0
"Go 'head envy me, I'm rap's M.V.P",1
"And I ain't going nowhere, so you can get to know me",1
