line,annotated
[Produced by Organized Noize],1
[Verse 1: Big Boi],0
"Hootie Hoo, follow the funk from the skunk",1
And the dank that is crunk in the Dungeon,1
"It goes on and on and on, like that",0
Going out to the Jeeps and hoes in the 'llac,0
"Ah suki, suki, all day, e'rr day, any day, every damn day",0
I be thinking about the good ol' days when I was a whippersnapper,1
"Used to try to get a kiss, but now it be them draws I'm after",1
I'm just a,0
Southernplayalistic,1
pimp,0
"I used to slang a fat rock, but now I'm serving hemp",1
"I never even smoked a crumb of crack, but yo I'm dope",1
Mo' doper than a junkie or a Pookie cause it's on,1
"So each one, teach one, I be claiming true",1
To East Pointe and College Park and the things I used to do,1
"Around ATL, home of the pimps and the money makers",0
"Club Nikki, Magic City and them Southern playas",1
I never said I was a gangsta but I will do ya,0
"So Hallelujah, Hallelujah",0
"One for the playas at the crib, drinking drinks",1
"And two is for the sound, Hootie Hoo that I make",1
[Hook],0
Hootie Hoo,1
"Tight like hallways, smoked out always (Hootie Hoo)",1
"Yeah, Hootie Hoo",0
"Big Boi's on my left, Andre's on my right",0
"Tight like hallways, smoked out always (Hootie Hoo)",0
[Verse 2: André 3000],0
Now playing these bitches is my favorite sport,1
But ain't no game when they be calling your name in the court,1
"Oh, it's Saturday night, I guess that makes it alright",1
"Got an obese twenty sack, fully packed, it's so tight",1
"That it's busting out the seams, yes sir, I'm set",1
"Oh, but let me tuck the 380 before I jet",1
"Hops off in the Lac with Big Gipp, you got a light? (Hootie Hoo)",0
Communication device dun went off twice,1
"Should I answer the call, yes, we macking 'em all",1
"We met 'em up in the mall, recall Player's Ball",1
"Well, it's Player's Ball 2, so I guess I'll call you",0
"Later on, and then your whole crew can fall through",0
Now later on done got here,0
"I takes a peek, now let me see, what do we got here?",0
"Draws, falling down like niggas in a drive-by",1
I got up in them hoes and I told 'em bye bye,1
"About two weeks later, she called me with some bullshit",1
"Talking 'bout her period late, guess what I did",1
"*click* naw, it couldn't be me, not me",1
[Hook],0
"Hootie Hoo,Big Boi's on my left, Andre's on my right",0
"Tight like hallways, smoked out always (Hootie Hoo)",0
"Yeah, Hootie Hoo",0
"Big Boi's on my left, Andre's on my right",0
"Tight like hallways, smoked out always (Hootie Hoo)",0
[Verse 3: Big Boi],0
Well you know we getting blizzard,1
Cause we got that chicken gizzard,1
In the dungeon and scope,0
But some of you niggas can't cope with it,0
"So, Opie, hip hop, to the front, to the back and it don't stop",0
From the streets of ATL to the slums of College Park,0
"So God Almighty know, it's Outkast for the '94 era",0
"You heard the player's call, we taking it to another level",0
"So 'lujah, Halle, let me get a swallow of that Martell",1
And you may go to hell,1
[Verse 4: André 3000],0
"Set sail with a nigga from ATL, Southwest that is",1
It's that Southern sess in your chest that is,0
One mo' 'gain for my friend who don't take,1
No bullshit from no bitch who is stank,1
I ain't the sugar daddy nigga who will pay you,1
"Silly of you to think that I would, but I will lay you",1
"Down like some vocals, you can quote those",1
"Head, till I'm dead, yes it's down yo throatholes",0
Don't get me wrong to disrespect is not my shit,0
"But if you fall in this category, then youse a bitch",0
Hootie Hoo,0
[Hook],0
"Hootie Hoo, Big Boi's on my left, Andre's on my right",0
"Tight like hallways, smoked out always (Hootie Hoo)",0
"Yeah, Hootie Hoo",0
"Big Boi's on my left, Andre's on my right",0
"Tight like hallways, smoked out always (Hootie Hoo)",0
"Hootie Hoo, Big Boi's on my left, Andre's on my right",0
"Tight like hallways, smoked out always (Hootie Hoo)",0
