line,annotated
[Intro],0
"Y'all tryna make a next motherfuckin' scene up in here, huh?",1
It's fucking Shmurda she wrote (Ah-ah-ahh),1
How much Shmoney''s that?,0
(Nah-ah-ahh! Ah-ahh!),0
"Jahlil Beats, holla at me",1
Grr-r-r-r!,0
[Verse],0
"I'm Chewy, I'm some hot nigga (Hot nigga)",1
Like I talk too Shyste when I shot niggas (What's good?),1
"Like you seen him twirl, then he drop, nigga (Seen him drop!)",1
"And we keep them 9 millis on my block, nigga",1
"And Monte keep it on him, he done dropped niggas",1
"And Trigger, he be wilding, he some hot nigga",1
"Tones known to get busy with them Glocks, nigga",1
"Try to run down and you can catch a shot, nigga",1
Running through these checks 'til I pass out (Pass out),1
And shorty give me neck 'til I pass out (Pass out),1
"I swear to God, all I do is cash out (All I do)",1
"And if you ain't a ho, get up out my trap house!",1
I been selling crack since like the fifth grade (Like the fifth grade),1
Really never made no difference what the shit made (What the shit made),1
Jaja taught me flip them packs and how to maintain (How to maintain),1
Get that money back and spend it on the same thang,1
Shawty like the way that I ball out (Ball out),1
I be getting money 'til I fall out (Fall out),1
"You talking cash, dog, I goes all out (All out)",1
Shorty love the way that I floss out,1
"Free Greezy, though, let all of my dogs out (Let my dogs out)",1
"Mama said no pussycats inside my doghouse (Easy, nigga)",1
That's what got my daddy locked up in the dog pound (Huh),1
"Free Phantom though, let all of my dogs out",0
We gon' pull up in that hooptie like we cops on 'em,1
"With them 16s, we gon' put some shots on 'em",1
"I send a lil thot to send the drop on him (Send it, send it)",1
"She gon' call me up and I'ma sic the hots on him (And I'ma, and I'ma)",1
"Grimey savage, that's what we are (We are)",1
Grimey shooters dressed in G-Star (Star),1
"GS9, I go so hard (Hard)",1
But GS for my gun squad (That's for my gun squad),1
"And, bitch, if it's a problem, we gon' gun-brawl",1
"Shots popping out the AR (B-B-B-Bow, nigga!)",1
"I'm with Trigger, I'm with Rasha, I'm with A-Rod (B-B-B-Bow, nigga!)",1
Broad daylight and we gon' let them things bark,1
"Tell them niggas free Meeshie, ho (Free Meeshie)",1
"SUBwave, free Breezy, ho (Free Breezy, ho)",1
"And tell my niggas, Shmurda teaming, ho (Shmurda teaming, ho)",1
"Mitch caught a body about a week ago, week ago",1
"Fuck with us and then we tweaking, ho, tweaking, ho",1
"Run up on that nigga, get to squeezing, ho, squeezing, ho",0
"Everybody catching bullet holes, bullet holes (B-B-B-Boom!)",0
"Niggas got me on my bully, yo, bully, yo",1
"I'ma run up, put that gun on him (That gun on him)",0
"I'ma run up, go dumb on him (Dumb on him)",0
Niggas got me on that young shit (That young shit),0
Got me on that go-dumb shit (Dumb shit),0
[Outro],0
"Got me on that go-dumb shit, man",0
Trap mode in this motherfucker,1
Hotter than a bitch,1
"Ayo, pour up! I need some more drank",1
