line,annotated
[Intro: Lil Yachty],0
Lil Boat!,0
[Verse 1],0
Baby girl this ain't a dream,0
I keep like 6 in my jeans,1
Everything ain't what it seems,1
"But I'm really rich, what you mean?",1
Oh baby come blow a young fellow like cello,1
I wanna stuff you then lick you and stick you,1
Just like a lil rello,1
"I'm too complex, shoulda, called me Marc Ecko",1
Hunnits all over the floor like rose petals,1
Chains on my neck like I won a gold medal,0
I'll pop her shit just like kettle,0
"Fuckin' with me, you'll get lost in the sauce like... oh oh",0
"I got 22 diamonds, they're brighter",0
I stay with my shooter and he'll put that heat to your head like hairdryer,1
Nigga never been a liar,0
"No, no",0
Free all my real niggas locked up,0
Bitches come 'round when the stock's up,1
I give a fuck if you're not us,1
I give a fuck if you're not us,1
I thought you knew I ain't give a fuck,0
Ice on my neck cost a Tonka truck,1
Please do not call up my phone if it's not 'bout bucks,0
I ain't ever been a runner up no,0
"Cry me a river, bitch get out",0
"Nut on her face, that's my kids' house",1
I'm from the South like a slave's house,0
We just count money and fuck on these hoes,0
We just count money and fuck on these hoes,0
"Yeah, yeah",0
[Verse 2],0
"If you ain't gettin' money, you broke, bitch",0
I ain't never fuck with no broke bitch,0
"Fangs on my teeth like a fork, pitch",0
"I mean pitchfork, damn",0
I'm gettin' brain like a dork,0
Young nigga hopped off the porch,0
My bitch do white like Scott Storch,1
Ain't no nigga gonna extort me,0
Beam at his head like Hindu,1
Beat up that pussy like Ryu,1
Pussy so bald just like Caillou,1
He'll pay a band to get by you,0
"Young nigga, I do not tie shoes",0
I really don't give a fuck,0
I'll drop that nut on her butt,0
Young nigga nasty as fuck,0
Chrome to his head like Daft Punk,1
Don't make me open my trunk,0
Bro got the gas like a skunk,1
"He been servin' from the jump, oh",0
