line,annotated
[Intro: P. Diddy],1
"Hold up, let me answer my phone. Some bitch callin' me about some bullshit probably. I'mma call you right back, I'm doin' this mixtape right now. Now back to what I was sayin'...",1
[Verse 1: Mario Winans],0
Somebody said they saw you,0
The person you were kissing wasn't me,0
And I would never ask you,0
I just kept it to myself,0
[Hook: Mario Winans],0
I don't wanna know,1
"If you're playin' me, keep it on the low",1
Cause my heart can't take it anymore,1
"And if you're creepin', please don't let it show",0
"Oh baby, I don't wanna know",0
[Verse 2: Mario Winans],0
Oh baby,0
I think about it when I hold you,0
"When lookin' in your eyes, I can't believe",1
I don't need to know the truth,0
Baby keep it to yourself,0
[Hook: Mario Winans],0
I don't wanna know,0
"If you're playin' me, keep it on the low",0
Cause my heart can't take it anymore,0
"And if you're creepin', please don't let it show",0
"Oh baby, I don't wanna know",0
[Bridge: Mario Winans],0
Did he touch you better than me? (touch you better then me),1
Did he watch you fall asleep? (watch you fall asleep),1
"Did you show him all those things, you used to do to me (do to me baby)",1
If you're better off that way (better off that way),0
There ain't more that I can say (more that I can say),0
Just go on and do your thing and don't come back to me,0
(Stay away from me baby),0
[Verse 3: P. Diddy],0
I don't wanna know where your whereabouts or how you movin',0
I know when you in the house or when you cruisin',0
"It's been proven, my love you abusin'",0
I can't understand how a man got you choosin' (yeah),0
"Undecided, I came and provided ma",0
"My undivided, you came and denied it (why?)",0
"Don't even try it, I know when you lyin' (I know when you lyin')",0
"Don't even do that, I know why you cryin' (stop cryin')",0
"I'm not applyin' no pressure, just wanna let you know",0
That I don't wanna let you go (I don't wanna let you go),0
And I don't wanna let you leave,0
Can't say I didn't let you breathe,0
"Gave you extra cheese (c'mon),put you in the SUV",0
You wanted ice so I made you freeze,0
Made you hot like the West Indies (that's right),0
Now it's time you invest in me,0
Cause if not then it's best you leave,0
"Holla, yeah",0
[Hook: Mario Winans],0
I don't wanna know,0
"If you're playin' me, keep it on the low",0
Cause my heart can't take it anymore,0
"And if you're creepin', please don't let it show",0
"Oh baby, I don't wanna know",0
"If you're playin' me, keep it on the low",0
Cause my heart can't take it anymore,0
"And if you're creepin', please don't let it show",0
"Oh baby, I don't wanna know",0
"If you're playin' me, keep it on the low",0
Cause my heart can't take it anymore,0
"And if you're creepin', please don't let it show",0
"Oh baby, I don't wanna know",0
