line,annotated
[Produced by The Neptunes],1
[Intro: Jay-Z],0
Let's go (Hov'),0
"Uh-huh, Hov'",0
"You, are, not, ready (Hov')",0
Unstoppable (Dynasty),0
Young Hova,0
[Pre-Chorus: Pharrell Williams &,0
Jay-Z,0
],0
"I'm a hustler baby (Hov', I'm a hustler)",1
"I just want you to know (Hov', I wanna let you know)",1
"It ain't where I been (it ain't where I been, Hov')",1
"But where I'm bout to go (top of the world! Young Hova, holla)",1
"Now I just wanna love ya! (just wanna love you, Hov')",1
"But be who I am (you know you love me, Hov')",1
"And with all this cash (mo' money, mo' problems)",1
You'll forget your man,1
[Chorus: Pharrell Williams &,0
Omillio Sparks,1
],0
Now give it to me,0
"Gimme that funk, that sweet, that nasty, that gushy stuff",0
But don't bullshit me,0
"C'mon, gimme that funk, that sweet, that nasty, that gushy stuff",0
[Verse 1: Jay-Z],0
"Yeah, uhh, yeah",0
"When the Remy's in the system, ain't no tellin'",1
Will I fuck 'em? Will I diss 'em? That's what they be yellin',1
"I'm a pimp by blood, not relation",1
"Y'all be chasin', I replace them, huh?",1
"Drunk off Cris', mami on E",1
Can't keep her little model hands off me,1
"Both in the club, high, singing off key",1
"""And I wish I never met her at all!""",1
"It gets better, ordered another round",1
"It's, about, to go, down",1
"Got six model chicks, six bottles of Cris'",1
"Four Belvederes, got weed everywhere",1
"What do you say, me, you, and your Chloe glasses (uh-huh)",1
Go somewhere private where we can discuss fashion?,1
"Like, Prada blouse, Gucci bra (okay)",1
"Filth Mart jeans, take that off",1
[Chorus: Pharrell Williams &,0
Omillio Sparks,1
],0
Give it to me,1
"Gimme that funk, that sweet, that nasty, that gushy stuff",1
But don't bullshit me,1
"C'mon, gimme that funk, that sweet, that nasty, that gushy stuff",1
Said give it to me,1
"Gimme that funk, that sweet, that nasty, that gushy stuff",1
But don't bullshit me,1
"Mama, gimme that funk, that sweet, that nasty, that gushy stuff",1
[Verse 2: Jay-Z],0
"Yeah, yeah, yeah, yeah",0
"Yeah, save the narrative, you saving it for marriage",1
"Let's keep it real ma, you saving it for carats",1
You wanna see how far I'ma go,1
"How, much I'ma spend but you already know",1
"Zip, zero, stingy with dinero",1
"Might buy you Cris', but that about it",1
"Might light your wrist, but that about it",1
"Fuck it, I might wife you and buy you nice whips",1
"Ma, but you really gotta ride nice dick",0
Know how to work your hips and your head's priceless,0
Profess you love to Hov' and I'll never let you down,1
Get you bling like the Neptune sound,1
"Okay, hot Hov', too hot to hold",1
Ladies love me long time like 2Pac's soul,1
"Only way to roll, Jigga and two ladies",1
"I'm too cold, Motorola, two way page me (c'mon)",1
[Chorus: Pharrell Williams &,0
Omillio Sparks,1
],0
Give it to me,1
"Gimme that funk, that sweet, that nasty, that gushy stuff",1
But don't bullshit me,1
"C'mon, gimme that funk, that sweet, that nasty, that gushy stuff",1
Said give it to me,1
"Gimme that funk, that sweet, that nasty, that gushy stuff",1
But don't bullshit me,1
"Mama, gimme that funk, that sweet, that nasty, that gushy stuff",1
[Pre-Chorus: Pharrell Williams &,0
Jay-Z,0
],0
"I'm a hustler baby (uh, Hov')",1
I just want you to know (Hov'),1
It ain't where I been (Hov'),1
"But where I'm bout to go (ho, ho)",1
Now I just wanna love ya! (Young Hova),1
But be who I am (let me love ya),1
"And with all this cash (mo' money, mo' problems)",1
You'll forget your man,1
[Verse 3: Jay-Z,0
with Pharrell Williams,0
],0
"Yeah, yeah, yeah",1
"Same song, I'm back, been around the world",1
Ro-mancin' girls that dance with girls,1
"From, Club Cheetah to Club Amnesia",1
"The Peanuts in L.A., bubblin' in Dublin",1
Can't deny me,1
Why would you want to? You need me,1
Why don't you try me,1
"Baby you want to, believe me (Hov'!)",1
[Chorus: Pharrell Williams &,0
Omillio Sparks,1
],0
Give it to me,1
"Gimme that funk, that sweet, that nasty, that gushi stuff",1
But don't bullshit me,1
"C'mon, gimme that funk, that sweet, that nasty, that gushi stuff",1
Give it to me,1
"Gimme that funk, that sweet, that nasty, that gushy stuff",1
But don't bullshit me,1
"Mama, gimme that funk, that sweet, that nasty, that gushy stuff",1
Give it to me,1
[Outro: Jay-Z],0
"Uh, that that that tha uh huh, uhh",0
