line,annotated
[Verse 1: SPM],0
I'm damned if I do and damned if I don't,0
Holla fuck the world with my chest full of smoke,0
"I choke on my breakfast, the end of my necklace",0
"Say Dopehouse Records, Screwston, Texas",0
The diamonds in my emblem is cut like a princess,0
"You can keep the Lexus, cause I got two Benzes",0
I'm in your girlfriends' hot intestines,0
Cause I bought her two dresses and some contact lenses,0
"Got a message in a bottle, hit the throttle in my carro",0
Click and clack my semi auto cause I'm trying to see tomorrow,0
Bought a condo for my top ho cause she working that taco,0
"It's the top selling vato, twenty threes on the Tahoe",0
"TV screens, margarita machines with street marines",0
"Got love for the Crips, and Bloods, and Latin Kings",0
If it means anything this for all my G's,0
I'm in jail cause I forgot my fucking ABC's,0
"Another DWI, drunk and fucking high",0
I'll be out before the motherfucking sun can touch the sky,0
They call me young Thurston Howell the Third,0
And that's my word,0
"I'm a swang, I'm a swerve",0
I'm a park and scrape the curve,0
[Hook: Russell Lee],0
"Why when I'm not high, does my life feel like it's missing something?",0
I know that I must be high,0
So that I can function,0
"Why, when I'm not high, does my life feel like it's missing something?",0
I know that I must be high,0
[Verse 2: SPM],0
"I'm a use my three wishes, I'm very superstitious",1
No matter where I go I meet a bunch of horny bitches,0
"Burn a few bridges, feed a few pigeons",0
Fuck em so good they wake up and wash dishes,0
"The food was delicious, bacon, eggs, and biscuits",0
No French kisses and no hippopotamuses,0
"I'm picky, if you strictly dickly, you can't get with me",0
As I represent Houston like the damn Whitney,0
I'm a get em when I get em I loved em and I fed em,0
"Lived in peace, I ain't gonna let em when I see em I'm gonna wet em",0
Shut em down like D-Town and the homie Ackavelie,0
Peace to Happareli and my nigga John Freddy,0
"My drink is thick as jelly, I love my shit muddy",0
Four of us in this bitch and we gonna do them boys ugly,0
"Ready for the rumble, leave em lying in a puddle",0
Y'all don't really want no trouble with the lord of the jungle,0
[Hook: Russell Lee],0
"Why, when I'm not high, does my life feel like it's missing something?",0
I know that I must be high,0
"Why, when I'm not high, does my life feel like it's missing something?",0
I know that I must be high,0
[Verse 3: SPM],0
"I walks in the club, all grabbing on my dick",0
Is the police officers pattin' down my click,0
They say my bandana breaks the dress code,0
Every fine fucking bitch I see is my ex-hoe,0
I'm hoggin' and I'm doggin' creeping and I'm crawling,0
Believe me this my calling it's time to do you all in,0
"Everybody jump jump, boys trip what what",0
Let my double barrel shotty go barump-pa-pump-pum,0
Slangin slab motor rocks up in no man's land,0
"Burnin off in my ""Smokey and the Bandit"" Trans Am",1
The rope around my neck is just dangling and jangling,0
Sometime I smoke the rain and get wetter than a penguin,0
"Aunt Jemima sipper, hoes like Jack Tripper",0
"Peace to Big Dipper, what the deal my nigga",0
"Hook like ""Johnny” Tapia, it's Dopehouse living prosperous",1
I tip my waitress and she can't stop saying 'Gracias',0
[Hook],0
