line,annotated
[Intro],1
Lay my belly on a woman,1
Leave a damsel for Delilah,1
"Dagger for the damned, the damned, the damned",1
Fine wine and,1
foie gras,1
[Chorus],0
"In my view, nothing’s ever given away",1
I believe to advance then you must pay,1
"In my view, love will never come my way",1
"So, when I leave, you’ll be dancing on my grave",1
[Verse 1],0
I wanna be king until I am,1
"A man is just a man, I understand",1
Has everything gone to plan?,1
"Don’t say it out loud, just let me dance",1
[Verse 2],0
"I know you wanna, say you wanna",1
"I never said I was a saint, I'm a sin again, ah",1
"Sin again, ah, and then a sinner",0
"Again, again, ah, again, again, ah",0
I really wanna take your honour,1
I’m writing blank checks,1
",",0
I’m a greedy bugger,1
I’ll take your daughter to,0
feel the thunder,1
"Daddy’s little girl, now the reaper got her",0
[Chorus],0
"In my view, nothing’s ever given away",0
I believe to advance then you must pay,0
"In my view, love will never come my way",0
"So, when I leave, you’ll be dancing on my grave",0
[Post-Chorus],0
Lay my belly on a woman,0
Leave a damsel for Delilah,1
"Dagger for the damned, the damned, the damned",0
Fine wine and,1
foie gras,1
The torture makes it sweet,1
"So sweet, even more delicious",1
"Animal, rest in peace",1
You're no longer vicious (In my view),0
"Animal, rest in peace",1
You're no longer vicious (I believe),0
"Animal, rest in peace",1
"Say no more, please baby (In my view)",0
"Animal, rest in, you're no longer vicious",1
"Say no more, please (So when I leave)",1
"Just cradle, cradle",1
You're no longer vicious,1
"In my view, nothing’s ever given away",0
"Say no more, please baby",0
"Just cradle, cradle me",0
[Chorus],0
"In my view, nothing’s ever given away",0
"(Damned, the damned, the damned, the damned, the damned)",0
I believe to advance then you must pay,0
"(Say no more, please)",0
"In my view, love will never come my way",0
"(Animal, rest in peace)",1
"So, when I leave, you’ll be dancing on my grave",0
You’ll be dancing on my grave,0
(You're no longer vicious),0
[Outro],0
Trickles down your mouth into​ your hand,0
I wanna be king until I am,0
I wanna be king until I am,0
I wanna be king until I am,0
"Man, oh man, oh man, oh man, oh man",0
