line,annotated
[Intro],0
"(Please form yourselves into lines for a soma distribution
Please form yourselves into lines for a soma distribution
Delicious soma, the perfect drug, euphoric, narcotic, pleasantly hallucinal
We have learned to take a gram of soma
Socially proper
Transports our minds into a beautiful sleep filled with wonderful images
The soma had begun to work)",0
[Zwrotka 1: Quebonafide],0
"Czasami czuję, jakbym pisał te wersy dla garstki",1
"Tamtych dzieciaków, które miały pocięte nadgarstki",1
Znowu jak Platon muszę wpuszczać to światło do jaskiń,1
"Przez to nie cofam żadnych słów, nie wrzucam nic w backmasking",1
"To dla dzieciaków, które tylko krzyki słyszą w domach",1
"Kogo mam słuchać, jak się nie słuchałem nawet ojca?",1
"Nigdy nie myślę, gdy to piszę, czy to łykną (soma)",1
"Wczoraj byłem dla niej kosmitą, dzisiaj dla mnie obca",1
Nauczycielki w szkole nie widziały dla mnie słońca,1
"Mówiły mi, że skończę w rowach, albo gdzieś na dworcach",1
"I to się zgadza, głupie suki, teraz gram na dworcach",1
"Tylko, że H&M za te sztuki nam wypłaca w dolcach",1
[Zwrotka 2: Taco Hemingway],0
"Taco na fejmie Quebo, Que na renomie Taco",1
Spece od sentymentów trochę tu groszy zgarną,1
"Śpiewać jak w „Candy” będą i zwiększą swój portfel, brawo",1
"Ty tak twierdzisz, ja bym chciał przekazać coś dzieciakom",1
Ta odpowiedzialność mnie zabija,1
"A w ich bio XXXTentacion, Queba i ja",1
"Chcieli nowy trójkąt z Taco, to nie quesadilla",1
"Czasem podejmuję smutki, czasem je zabijam (czasem je zabijam, ej)",0
Kumpel z mej ulicy się powiesił,1
"A widziałem, jak uśmiechał się do mnie tak miesiąc wcześniej",1
"Odwiedzałem go, bo miał przy domu bojo",0
"Lepszy byłby OIOM, dzisiaj mnie ziomo odwiedza we śnie (ho)",0
Wielu moich ziomków ma depresję,1
"Wielu moich fanów, wielu mych idoli ma depresję",1
Wielu ludzi chwali się na Instagramach,1
"Niby to banał, ale to ich życie nie jest wcale lepsze; soma",1
[Outro],0
"(Smiling at the private paradise of his dreams, smiling, smiling...
Our world has taken so many steps in the wrong direction
Are you listening to me? You can't win this way. Follow the rules. Play the game. Be happy)",0
