line,annotated
[Intro],0
"Attention Deficit Hyperactivity Disorder, or better known as ADHD, is a mental disorder that affects an individual's ability to focus",1
Causing them to move around more frequently,1
They may also have trouble controlling their impulsive behaviors,1
[Chorus: Joyner Lucas],0
One time for them prayin' on my downfall (Yeah),0
Two times for the homies in the chow hall (Whoa),1
Three times for them hoes on the internet,0
Shittin' on niggas when they really should get out more,0
Four times for the days that were all bad (Woo!),0
Five times for the bitches who ain't called back (Yeah),0
"Six times for the kids like me who got ADHD just to— (Brap, brap, brap)",1
[Verse 1: Joyner Lucas],0
Kidnap a nigga like ISIS (Whoa),1
Turn a whole world to a crisis (Whoa),1
Walk around the city with a ice pick,1
"I been paranoid, usually, I ain't like this (Boop, boop)",1
"Ain't no tellin' how crazy I might get, uh (Woo!)",1
Beat the police with a nightstick (Boop),1
"In my whole life, I been lifeless",0
"Now I'm so fly, I'm a muhfuckin' flight risk (Woo! Whoa)",1
Fuck a couple hoes 'til I pass out (Whoa),1
Niggas throwin' stones at my glass house (Whoa),1
I remember sleepin' on my dad's couch (Whoa),0
"Now I got the Bentley, and it's blacked out (Whoa)",1
Family lookin' at me like a cash cow (Whoa),0
Errybody dissin' just to have clout (Whoa),0
"Thought you had a chance, now you assed out",0
"Nigga, I'm the muhfuckin' man, where you at now? (Whoa)",0
"Fuck it, I'ma hit 'em 'til they jumpin'",0
"I ain't trippin', this is nothin' (Brap, brap, brap)",0
I been livin' in the dungeon,0
I done held a couple grudges,0
Went to hell and got abducted,0
"Meet the devil, I'm his cousin",0
I ain't settlin' for nothin',0
"(Brap, brap, brap)",0
"Got a metal in the truck, I keep a semi when I'm bussin'",0
Niggas duckin' (Bop),0
"Even Stevie Wonder could've see it comin' (Brrrap, brap, bop)",1
"I ain't judgin', I just want the money, I don't need a budget",0
"I been hungry, I ain't got no oven (Bop, bop, brrrap, brap)",0
"But I got the munchies, nigga",0
How you gon' move on the front line? (Woo!),0
"If I don't fuck with you, I just cut ties (Whoa)",0
My high school teacher said I'd never be shit,1
Tell that bitch that I turned out just fine (Joyner),1
"And no, I don't know you for the twelfth time (Woo!)",0
We do not share the same bloodline (No),0
You love to run your mouth like a tough guy,0
Hope you keep the same energy when it's crunch time (Woo!),0
[Interlude],0
According to the American Psychiatric Association,1
It affects roughly eight percent of children,1
And two percent of adults,1
Commonly believed to only affect boys,1
Because they are perceived as rowdy and rambunctious,1
[Chorus: Joyner Lucas],0
One time for them prayin' on my downfall (Yeah),0
Two times for them bitches in the South Shore (Whoa),1
Three times for them days on the block,0
Gettin' chased by the cops like a motherfuckin' outlaw,0
Four times for them days that were all bad (Woo!),0
Five times for the bitches who ain't called back (Yeah),0
"Six times for the kids like me who got ADHD just to— (Brap, brap, brap)",1
[Verse 2: Logic],0
Me and Joyner need a couple hearses (Woo!),1
"Double homicide, kill the beat and the verses",1
Everybody livin' on the surface,1
"But we came from the underground, yeah, we deserve it",1
What's beef?,1
Beef is when you murder motherfuckers on a beat,1
"Kill 'em all, kill 'em all",1
"Nah, nah, what's beef?",1
Beef is brothers dyin' over shit,1
"That never mattered in the first place, lyin' in the street",1
What's peace?,0
"Peace is when you leave it in the past, let it heal like a cast",0
"When enough time pass, then you blast",0
"Kinda like John Wick, bars like a convict",1
"Fuck around and you don't wanna start shit, woo!",1
"Comin' with the hot shit, all they do is talk shit",0
"You could never top it, boy, just stop, stop it",0
"High and drunk, call that HD vision",1
All these other motherfuckers full of indecision,0
And I murder with precision all over your television,0
"I'm numero uno, number one and you is just a subdivision",1
"Never listen, we gon' leave them missin'",1
That's the mission like ISIS (ISIS),1
Ain't no time to bicker over who the nicest,1
"It's Logic, it's obvious, just ask the audience",1
I've come to body this shit (Body this shit),1
"Yes, it's egregious, I'm Regis",1
"You Kelly, you pussy,",1
you pussy,1
"Don't push me, I'm Louis Vuitton",1
You at Target with your mom,1
On the internet still hatin' on my last post (I hate this nigga),0
"I just sent a steak back at Mastro's, my god",1
Me and Joyner need a couple hearses (Woo!),1
"Double homicide, kill the beat and the verses",1
Everybody livin' on the surface,1
"But we came from the underground, yeah, we deserve it",1
"Yeah, uh, far from the minimum, killin' 'em with no Ritalin",1
"And 5'9"" was the middleman to get 'em in the same room",1
"Now we on the same tune, and we still the gang-dum",1
The illest of lyricists on the same shit,1
"RattPack, clap back on the gang shit",0
"Do it for the love of rap, not for the fame shit, woo!",1
[Chorus: Logic],0
One time for the Grammy that I never got,1
Two times for the Garden that I sold out,1
Three times for the street crimes that I committed,1
"Yeah, I did it, but thank God that I made it out",1
Four times 'cause I'm a fuckin' bastard,1
Five times Platinum with my last shit,1
Six times for the beats and the rhymes,1
Fuck the heat and the crime,1
"Keep the peace like a waistline, woo!",1
[Outro],0
"ISIS, ISIS, ISIS, ISIS, ISIS",1
"ISIS, ISIS, ISIS, ISIS, ISIS",1
"ISIS, ISIS, ISIS, ISIS, ISIS",1
"ISIS, ISIS, ISIS",1
