line,annotated
[Intro - Mac Tyer],0
"Oui, oui, si, si",0
C'est Rémy,0
C'est Rémy,0
Ça vient d'Auber mon frère,0
"Oui, oui",0
[Couplet 1 - Rémy],0
"Et je compte mes sse-lia, mais la vie c’est pas comme ça",0
"J'ai compté les che-lâ, qui parlent que quand t'es pas là",0
"Et j'ai regardé mes che-po, qui se vident comme le bendo",1
"J'ai regardé mon passé, et je veux y rester comme Nintendo",1
"Ouais, la rue tu n'contrôles pas, ouais, la rue c'est pas un jeu",1
"J'ai des potos au card-pla, récidivistes, pris la main dans le sac",0
"J'ai regardé ma ville,",0
j'baiserai toujours les BACeux,1
"J'ai regardé dans l'vide, maman m'tenait par la beuge",0
"J'ai regardé le futur, c'était bizarre, c'était flou",0
"J'ai vu que mon passé frappe dur, j'ai vu papa à genoux",0
"J'ai vu lui faire la femmelette, j'ai vu lui se manger des coups",0
"Tu sais qu'un petit qu't'as vu naître, peut te la mettre en un coup",0
[Refrain - Rémy],0
"J'ai vu lui sur sa planète, j’ai vu lui sur son bateau",0
"J’ai vu lui dans son train de vie, payer à l'encre de sa peau",0
"Pas un E pour une canette, pas un heureux dans l'ghetto",1
"Tu sais qu'un petit qu't'as vu naître, peut se réveiller et te faire la peau",0
"J'ai vu lui sur sa planète, j’ai vu lui sur son bateau",0
"J’ai vu lui dans son train de vie, payer à l'encre de sa peau",0
"Pas un E pour une canette, pas un heureux dans l'ghetto",1
"J'ai vu lui sur sa planète, j’ai vu lui sur son bateau",0
[Couplet 2 - Rémy],1
"J'ai vu lui dans sa villa, endetté de problèmes comme Aurier",1
"J’ai vu lui dans son village, qui a investi pour que l'eau soit filtrée",0
"J’ai vu lui pleurer par terre, juste parce que sa copine l'a quitté",0
"J’ai vu lui le visage ferme, alors que sa famille se fait bombarder",0
"J’ai vu lui le corps tout mouillé, sourire qui se mélange à la souffrance",1
"Qui a traversé une mer gelée, en espérant rejoindre la France",1
"J'ai vu lui taffer son dribble, en espérant rejoindre les Celtics",1
"J'ai vu cet homme pas confiant, qui tous les jours s'bat contre ses tics",0
"J'ai vu des gens pareils, des gens se battre pour la différence",0
"J’vois des gens qui votent FN, j’en vois qui veulent se barrer de la France",1
"Ici c'est la merde, partout c'est la même, dans ce pays rien à gratter",1
"R.E.M.Y, d'Aubervilliers, j'viens refaire du rap français",1
[Refrain - Rémy],0
"J'ai vu lui sur sa planète, j’ai vu lui sur son bateau",0
"J’ai vu lui dans son train de vie, payer à l'encre de sa peau",0
"Pas un E pour une canette, pas un heureux dans l'ghetto",1
"Tu sais qu'un petit qu't'as vu naître, peut se réveiller te faire la peau",0
"J'ai vu lui sur sa planète, j'ai vu lui sur son bateau",0
"J'ai vu lui dans son train de vie, payer à l'encre de sa peau",0
"Pas un E pour une canette, pas un heureux dans l'ghetto",1
"J'ai vu lui sur sa planète, j'ai vu lui sur son bateau",0
