line,annotated
"[Letra de ""Jeremías 17:5""]",0
[Intro],0
"Hey, con la verdad se llega lejos",0
"Súbela, súbela mijo ahí, un pelín",0
"Hey, en ninguna",0
[Pre-Verso],0
"""Cuídese de la envidia, mijo""",0
"Mirándome a los ojos, mi vieja, descanse en paz ya, una vez me dijo",0
¡Y qué razón tenía al advertirme de esta vida puerca!,1
"No críes cuervos, o arrancaran tus ojos de sus cuencas",1
[Verso 1],0
Me he dado cuenta que la verdad es tan relativa,1
Y la realidad es tanta mentira...,1
Perros tratando de invadir mi propiedad priva' mientras dormía,1
"Buscando robar mis hembras, mis reales, mi comida",1
"""Maldito sea el hombre que confía en otro hombre""",1
Gran verdad en esa frase se esconde,1
Me siento como un loco al tratar de confiar yo todavía,0
"En alguien, en el planeta de la hipocresía",0
"¡Válgame, soy un iluso! Tan bravo que me la doy y el abuso",1
Es natural que en contra de mí den uso,1
Mundo sucio donde todos piensan sólo en ellos mismos,0
"Malditos mil veces, títeres del egoísmo",0
"Esta es pa' ti, pa' ti, tú que me traicionaste a mí",0
"Me das la mano, con tu cara 'e ""yo no fui""",1
Y yo inocente te la di porque todavía no sabía,0
Que tu risita venía con la fecha ya vencía',0
Esta canción no es para nadie,0
Que no tenga ganas de matar a alguien por falso y coño 'e su madre,0
Otra mano con puñal en mi dorsal,0
"La mano de un tal carnal, hermano que mi mano solía estrechar",0
El más traidor puede que lo tengas de frente,1
"Bebiendo tus frías, o compartiendo tu cena caliente",1
Ojalá se ahoguen los que siempre mienten,1
"Y una vez en el infierno, que se quemen para siempre",1
¿Nunca habías pensado que tu socio puede ser un sucio,1
Que por un negocio te puede dar chuzo?,1
Mi brazo me dice que el amor me llevará lejos,1
"Pero el odio me enseñó a ser un lince, nunca un pendejo",1
Con los dedos de una mano eran contados,1
Los que esa misma mano por ellos metía al fuego,1
"Ahora por un zamuro en traje de cordero, Canserbero",1
Está pensando en tener que volarse un deo',1
Por eso ya no creo ni en mi almohada,1
"Ni en mi sombra, o sea en nada",1
Ni siquiera creo en mi viejo!,1
"Si algún día te digo que te creo, no me creas que te creo porque ya, no creo ni en mi reflejo",0
Si buscas una mano amiga empieza por tu brazo,0
Eso lo supe a punta de coñazos,0
Ojalá mi vida sea larga pa' ver cuando la tuya fracase,1
"Y pisar tu mano cuando me pidas que te alce, mi parce",1
[Verso 2],0
"Soy simplemente inexpresivo, cuando escribo",0
Ya casi no bebo ron sino vino y de corazón digo,1
Que la sucia venganza mata el alma y la envenena,1
"Pero cuando de traición se trata sí, vale la pena",0
"La palabra vale, la trampa sale",0
Los varoncitos se ven a los ojos para decir verdades,0
"Déjala colá' cuando pierdas batalla, que esa no es la guerra",0
"Y si alguna te falla, cámbiala por perra",0
"Pon de mierda la sangre, de piedra el corazón",0
"Súbele volumen, repíteme la oración",0
"""Maldito sea el hombre que confía en otro hombre""",1
"Los que traicionaron, recuerda sus caras y sus nombres",0
Solo hay una cosa en ti que admiro,0
"Y es que, ¿cómo siendo tan dos caras puedes todavía dormir tranquilo?",0
"Por mi parte bien, yo sonrío",0
"Pero por mi madre, que no es bueno tener al Canserbero de enemigo",0
El barrio no pasó en vano,1
Como Willie Colón en el profundo de mi corazón soy malo,1
Estos malditos cagapalos piensan que yo no estoy claro,0
Que no son unos coño 'e madres mis hermanos,0
"Yo soy la vida y la muerte,",0
y no creo en nada,1
"Ni en leyendas vivas, ni en leyendas muertas, ni resucitadas",1
Yo soy real como Bolívar y su espada,1
Dándole puñaladas a los hipócritas por sus fachadas,1
"Me sabe a mierda cultura, putas y fama",1
"Esta canción no es pa' que pegue, ya tiene verdad pegada",1
Vivirás trauma cuando no tengas panas,0
Y notes que las que te dicen que te aman me miran con ganas!,0
Me sabe a culo el flow y las habilidades,0
"Yo soy tosco, no me salen rimas que no sean reales",0
Dios quiera no te encuentres a González afuera!,1
Y te invite una cancha hasta que alguno de los dos se muera,1
"Un coño e' madre, caballero ¿verdad?",0
"Si puedo, te apuñalo hasta con el lápiz que usé pa'l tema",0
"Farsantes, hay más que moscas donde te cagaste",1
"O mal olor donde measte, ¿sin metáforas? Bastante",1
"Una mano te corta la otra, como dijo Tempo",1
Y las acciones no se las lleva el viento,1
Que te perdone Cristo si existe,1
"Porque si por mí, puedo cantar esto mientras meo en tu tumba triste",1
Que suba la mano el que no crea en nadie,0
"Y si nadie la sube, la subo yo",0
"Ojalá te mueras, antiguo compadre",0
Y nos veamos en el infierno pa' volverte a matar yo,0
[Puente],0
Dios no puede duplicarme lo que pienso cuando te observo,1
Porque más de una vez no puedo entrar al infierno,1
"Y a mí no me digas ""tu hermano"" que pa' ti soy Canserbero",0
Rolitronco 'e mamagüevo,0
[Pre-Verso],0
"""Cuídese de la envidia, mijo""",1
"Mirándome a los ojos, mi vieja, descanse en paz ya, una vez me dijo",0
Y que razón tenía al advertirme de esta vida puerca,1
"No críes cuervos, o arrancaran tus ojos de sus cuencas",1
[Outro],0
"Deja de llorar, maldita puta",1
Que yo no he botado lágrimas,1
