line,annotated
[Chorus],0
Yeah,0
Get the fuck out my face,0
I cannot feel my face,0
"I don't want time, just face",0
Put it all on her face,0
Get the fuck out my face,0
I cannot feel my face,0
"I don't want time, just face",0
Put it all on her face,0
[Post-Chorus],0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
[Verse 1],0
I been getting lit,0
"Since eleven years old, bitch",0
"Go ahead, call the cops",1
"I'm on the roof, in my fucking socks",0
I got a bitch in a halter top,0
Don't give a fuck if it's dark or not,1
"Bounce that ass all on me crazy (yeah, yeah, yeah)",0
"Smack that, five rings on like Brady (yeah, yeah, yeah)",1
[Pre-Chorus],0
I just pulled up to the red carpet,0
Drugs in every single pocket (uh),0
[Chorus],0
Get the fuck out my face,0
I cannot feel my face,0
"I don't want time, just face",0
Put it all on her face,0
Get the fuck out my face,0
I cannot feel my face,0
"I don't want time, just face",0
Put it all on her face,0
[Post-Chorus],0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
[Verse 2],0
I ain't gonna stop getting high,0
I ain't gonna stop getting high,0
I ain't never even goin' try,0
Even though I almost died,0
"But I didn't, I am alive (ha)",0
I ain't gonna stop getting high,0
I ain't gonna stop getting high,0
I ain't never even goin' try,0
I ain't even gonna front,0
"Hurry up and pass the blunt, gun",0
[Post-Chorus],0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
"I don't give a fuck, I don't give a fuck",0
"I don't give a fuck, live fast die young",0
[Interlude],0
Get the fuck out of my face!,0
[Outro],0
Yeah head on no backin' down,0
Can't play around,0
Did a lot of shit in my past,0
"Fuck that, look at me now",0
Head on no backin' down,0
No playin' around,0
Did a lot of shit in my past,0
"Fuck that, look at me now",0
It's been a long time coming now,0
"Fuck that, look at me now",0
It's been a long time coming now,0
It's been a long time coming now,0
It's been a long time coming now,0
"Fuck that, look at me now",0
I wear the crown,0
