line,annotated
[Intro : Heuss L'Enfoiré &,0
Vald,0
],0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(Heuss l'Enfoiré,0
",",0
Valentin,0
),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
"(la Sablière, Boute-en-Train)",1
J'connais ma mission : plus jamais d'frisson devant l'addition,1
"(Aulnay-Sous-Bois, VLG)",1
J'connais ma mission : plus jamais d'frisson devant l'addition,1
[Couplet 1 : Vald],0
V.A.L.D qualifié,1
",",0
c'est carré comme le sexe tarifé,1
"Je connais les rouages, les modalités",1
;,0
"tellement d'oseille, j'fais des mondanités",1
"Arrêtez donc toute cette bestialité, 's êtes des YouTubeurs, des dessins animés",1
"Cassez-vous l'cul pour qu'ils puissent hériter, et qu'ils puissent se déchirer comme les Hallyday",1
"J'suis dans cette merde tu peux l’examiner, file voir ta mère transmets mes amitiés",0
J'fais grimper l'cachet : c'est ma spécialité,1
", j'ai pas d'autre qualité, je n'sais pas câliner",0
"Planche à billets est la mentalité, pas le temps de viber, j'étais en bas hier",1
Mon flow vanillé va les envahir et,0
"j'vais finir par comploter en Bavière, frère",1
"Demain, je monte mon label en Lettonie, je l'appelle quand même ""la casa de papel""",1
"C'est tous des thos-my derrière le cro-mi, ça joue les Tony, ça gratte les APL",1
Pas d'Clyde et Bonnie le jour de la SACEM,1
", tous au château en peignoir de PN",0
"Devant un gros biff, je ne suis pas l'même, regard dans le vide, j'ai le sourire de BN",1
"Je cherche la paix, le calme et la sagesse mais j'ai pulsions meurtrières passagères",0
"Frérot, remballe ton canif, ta machette, on peut tous s'aimer, je l'ai vu sur la tablette",1
"J'refuse d'être mauvais, pour ça, je fais des efforts",1
"J'refuse d'être pauvre et pour ça, je vais péter le score",1
"C'est pas venu d'un coup, gros, j'ai répété fort",0
"J'ai plus fait mes devoirs, j'ai moins traîné dehors",0
[Refrain : Heuss L'Enfoiré],0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
"(sksh, sksh, sksh)",0
[Couplet 2 : Heuss L'Enfoiré],0
"V.A.L.D roule un spliff de skunk,",0
"j'possède la danse, tah les hits de funk",1
"Double tarif, on les plie en deux, ramène ta copine qu'on la pine un peu",0
"On ira la chercher dans un Clio II, j'arrive en équipe, on les baise, on est quitte",0
"J'repars en esprit, et j'les pare en despi ; double tarif, double verre de whisky",0
"Je repartirai d'ici que le tre-ven rempli, ramène la re-pu du cousin des Antilles",0
Je t'avais déjà dit qu'on est pas des gentils,1
", quand je suis défoncé, tu peux parler tchèque",0
"Je vais à Zanzibar ou à Charm el-Cheikh, double tarif, faut ramasser des chèques",0
Et les sicarios t'écarteront les fesses,0
Et les sicarios t'écarteront les fesses,0
"J'me roule un gros joint pure de qualité, j’esquive les voitures toutes banalisées",0
"Là, je suis en vacances, demain dans les cités, ramène ton oreille que je te la dépucelle",0
"Je fonce à Bruxelles, c'est pas des pucelles, j'écoute du Jacques Brel et j'bois du Jack miel",0
"Je suis dans mon cartel, j'vais graille chez Kamel, j'écoute du Jacques Brel et j'bois du Jack miel",0
[Refrain : Heuss L'Enfoiré],0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
"(sksh, sksh, sksh)",0
[Couplet 3 :,0
Vald,0
& Heuss L'Enfoiré],0
"J'transforme l'écart en haine, j'effrite le Carambar",0
"Je transforme les K en M, dans les poches, ça rentre pas",1
"
Je repense à à l'ancienne, y avait pas d'Samantha
Sur ma pauvre âme en peine, sa vieille chatte attendra",0
"Je transforme la came en vert, deux trois-verres de Jack Da'",0
"Quand je suis dans ma khapta,",1
j'ai cassé Cassandra,0
La dép' nous attendra à six heures trente en bas,1
"Tout l'argent qu'j'ai compté, préviens toute la compta'",0
"Ça bicrave à côté, d'la résine, d'la coca'",0
"Je transforme la came en vert, deux-trois verres de Jack Da'",0
[Refrain : Heuss L'Enfoiré],0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
"(sksh, sksh, sksh)",0
[Outro : Heuss L'Enfoiré &,0
Vald,0
],0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
J'connais ma mission : plus jamais d'frisson devant l'addition,1
(nan),0
"J'connais ma mission : plus jamais d'frisson devant l'addition
J'connais ma mission : plus jamais d'frisson devant l'addition, ouais",0
