line,annotated
[Intro: Pharrell Williams],0
"Dirty dog, I'm a dirty dog",0
"I'm a dirty dog, I'm a dirty dog",0
"Dirty dog, I'm a dirty dog",0
Dirty dog,0
[Verse 1: Pharrell Williams],0
I'm an outlaw (I'm an outlaw),1
Quick on the draw (Quick on the draw),1
Somethin' you've never seen before (You've never seen),1
And I dare a motherfucker to come in my face,0
I got something chrome (I got something chrome),0
And I got it from home (And I got it from home),0
And it ain't a microphone (Ain't a microphone),0
And I dare a motherfucker to come in my face,0
[Pre-Chorus: Pharrell Williams],0
It's so real how I feel,0
"Cause this society, that makes a nigga wanna kill",0
"I'm just straight ill, ridin' my motorcycle down the streets",0
While politicians is soundin' like strippers to me,0
"They sayin', but I don't wanna hear it",0
[Chorus: Vita],0
"Ooh, baby, you want me?",1
"Ooh, baby, you want me?",1
"Ooh, baby, you want me?",1
"Well, you can get this lap dance here for free",1
"Well, you can get this lap dance here for free",1
"Well, you can get this lap dance here for free",1
"Ooh, baby, you want me?",1
"Well, you can get this lap dance here for free",1
[Verse 2: Pharrell Williams],0
It's a raw night (It's a raw night),0
Who wants to bar fight? (Who wants to bar fight?),0
"Well come on, alright (Well come on)",0
And I dare a motherfucker to come in my face,0
Baseball bats (Baseball bats),0
I got something for that (I got something),0
It goes bla-ka-ka-kat (You know what that is),0
So I dare a motherfucker to come in my face,0
[Pre-Chorus: Pharrell Williams],0
It's so real how I feel,0
"Cause this society, that makes a nigga wanna kill",0
"I'm just straight ill, ridin' my motorcycle down the streets",0
While politicians is soundin' like strippers to me,0
"They sayin', but I don't wanna hear it",0
[Chorus: Vita],0
"Ooh, baby, you want me?",1
"Ooh, baby, you want me?",1
"Ooh, baby, you want me?",1
"Well, you can get this lap dance here for free",1
"Well, you can get this lap dance here for free",1
"Well, you can get this lap dance here for free",1
"Ooh, baby, you want me?",1
"Well, you can get this lap dance here for free",1
[Verse 3: Lee Harvey],0
"When you think of Harvey, think of a Harley",1
"Blue denim, spiked wrists and 'Crombie",1
"Slap-screws and tattoos, that's all me",1
"Two blondes, both arms, feelin' like Fonzie",0
"You can find me drunk, whippin' it might crash",0
Or find me chillin' with crackers who like thrash,0
"Find me in court, smokin' that nice grass",0
"Burnin' the flag, all in the name of white trash",0
"It's Harvey baby, Christ on the arm, I'm gnarly, baby",0
"Fuck with me? Not hardly, baby",0
"And you know the flow ungodly, baby",0
"So let's party, baby",0
"Chicks nickname me Pilot, they get high off my dick",0
"I take 'em to my home, they call it the cockpit",0
"Time for take off, the panties they drop quick",0
"Now that's first class fuckin', ain't that some fly shit?",0
[Chorus: Vita],0
"Ooh, baby, you want me?",1
"Ooh, baby, you want me?",1
"Ooh, baby, you want me?",1
"Well, you can get this lap dance here for free",1
"Well, you can get this lap dance here for free",1
"Well, you can get this lap dance here for free",1
"Ooh, baby, you want me?",1
"Well, you can get this lap dance here for free",1
[Outro: Vita &,0
Pharrell Williams,0
],0
"Well, you can get this lap dance here for free",1
"Well, you can get this lap dance here for free",1
"They keep sayin', but I don't wanna hear it",0
