line,annotated
[Refräng: Z.E],0
"Ena fingret i Elise, andra fingret i Denice",0
"Trampar du på mina G's, du blir klippt till hälften pris",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Ena fingret i Elise, andra fingret i Denice",0
"Trampar du på mina G's, du blir klippt till hälften pris",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
[Vers 1: Z.E],0
Pratar miljoner på luren (Lur),0
Lyckades vända på turen,0
"Röker äzi, jag passar på luder",0
"Röken, den fuckar naturen",0
Snuten har ögon på tjuven (Tjuv),0
Dom vill att jag vaknar till muren (Mur),0
Sitta i cellen på julen (Jul),0
"Dom leker men hon är på tjuren (Ándale, ándale, ándale)",0
Jag har på mig allt mitt guld (Splash),0
Jag väger halvt kilo för tungt (Ooh),0
Om guzzen är för tunn (Skinny),0
Hoppar in i hennes mun (Finish),0
Vi fyllde upp en klubb (Flash),0
Nu vi fyller Gröna Lund,0
Definitionen utav kungen (Yep),0
Jag har pistolen vid min pung,0
"Zäta, vem har gett dig luft? (Vem?)",0
Bitch jag växte upp i cutt,0
"Zäta, sluta spela tuff (Tuff)",0
Du ba' klagar pratar strunt,0
"Zäta, vart är ditt förnuft (Förnuft)",0
Sluta hata nu din mupp,0
"Zäta, Sverige Vet var uff",0
Den hämta millar till min trupp (Team),0
Hetaste ämnet med punkt,0
Folk kan ej hålla sin mun (Håll käften),0
Dom brinner dom ser vårat guld,0
Du kan hata på teamet de' lugnt (Dom brinner),0
Snart de' en villa med pool,0
"Ingen har tryckt på pistol (Pa, pa, pa, pah!)",0
"Gillar att byta metod, har en plan",0
Man kan tro jag pilot,0
[Refräng: Z.E],0
"Ena fingret i Elise, andra fingret i Denice",0
"Trampar du på mina G's, du blir klippt till hälften pris",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Ena fingret i Elise, andra fingret i Denice",0
"Trampar du på mina G's, du blir klippt till hälften pris",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
[Vers 2: Jiggz],0
"Vi lever, vi lever, vi lever (Life)",0
"Min heder, min heder, min heder (Wooh!)",0
Nån jiddrar vi skickar torpeder (Brr!),0
Eller vi kom med mopeder,0
"Jag neger, jag neger, jag neger (Neger)",0
"Bete dig, bete dig, jag ber dig (Ber dig)",0
"Vi ser dig, vi ser dig, vi ser dig",0
Du vet att min tabbe är med mig (Pah),0
"Vi knulla dom alla, de' latch",0
TP vi tar ingen rast (Ingen),0
"EP det kommer en strax, ah",0
"Höjer volymen till max, ah",0
"Chappar i studion idag, ah",0
"Jag och min bror vi mår bra, ah",0
Tvåhundra lax på en dag (Damn!),0
Splittar på allt med mitt lag,0
[Refräng: Z.E],0
"Ena fingret i Elise, andra fingret i Denice",0
"Trampar du på mina G's, du blir klippt till hälften pris",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Ena fingret i Elise, andra fingret i Denice",0
"Trampar du på mina G's, du blir klippt till hälften pris",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
"Flashback där hälften skrivs, hashtag de' rest in peace",0
