line,annotated
[Verse 1: Dave],0
Look,0
"They say the universe, it works in a strange way",0
"And it must be true because, we ain't from the same background or same place",0
But me and Lesley ended up on that same train,0
"I'm talking everyday, I used to wake up around seven or eight",0
To catch the 9:06 from Norbury Station,0
Two different worlds in the same location and-,0
One day we ended up speaking,0
"And I would talk about college, she would talk about meetings",0
And how she's planning on leaving,0
How she hates what she does but she needs it,0
"I asked her what she was doing, it's the weekend",0
"And she said, she said",0
[Chorus: Dave & Ruelle],0
I don't know myself,1
I don't know myself no more,1
[Verse 2: Dave],0
She used to be the life of the party for true,0
And now she going out hardly ever,0
Her man got her in the yard forever,0
And her friends wanna help but it's hard to tell her,0
Hard to let her know that her man's possessive and aggressive,0
"And she can't even see it, but for them it's clear as day, she's in a situation",0
Her friend Hannah had a man that was manipulative,0
"So, she could see it from a mile off",0
"Turtleneck jumpers, makeup around the eye spots",1
All the signs were there,0
But Lesley made it seem a light affair,0
Said it wasn't right to share,0
"Her boyfriend, he was a mystery man",0
"I didn't know much about him, but he's been in the can",0
"Name's Jason, he's a bad boy with no reasoning",0
"To be honest, I don't know what Les' sees in him",0
'Cause she's a good girl with a sweet heart,0
But they've both got demons and a deep past,0
"You know opposites attract, apparently",0
"I never heard her talk about her family ever, uh-uh",0
He was all that she had,0
Until they had an argument and he stopped calling her back,0
And I don't know if there was more to the story than that,0
'Cause she plays things down but according to that,0
He went missing one day in the morning he ran,0
"She's doing overtime, struggling affording the flat",0
"'Til she, lost her job it fucked all of her plans",0
"Couldn't pay the rent, borrowing and calling for cash",0
"But Hannah she was there for her, cared for her",0
When I saw Les' she told me,0
[Chorus: Dave & Ruelle],0
I don't know myself,1
I don't know myself no more,1
[Verse 3: Dave],0
"Les' saying, ""I got nothing to live for",0
"It's been raw, but David, I ain't never been this poor",0
"There's no income, my boyfriend left me",0
"So how the fuck am I going to survive when this kid's born?""",0
"I said, ""It's a blessing as mad as it is",0
"And Les', I never even knew that you were having a kid""",0
"Bro, she's four months pregnant, young and neglected",0
Single but I don't think she wants to accept it,0
So she's still texting exes trying to get this,0
Back on track but I don't think that she gets it,0
"It's emotional obsession, clinical depression",0
Life is a lesson,0
And you ain't got to sit and cry,0
"And Lesley, living in this gift called life",0
There's no better gift than the gift of life,0
"So, can you handle it?",0
[Chorus: Dave & Ruelle],0
I don't know myself,1
I don't know myself no more,1
[Verse 4: Dave],0
But that changed her perspective,0
"Late in December, her baby's expected to drop",0
