line,annotated
[Chorus: Comethazine],0
Cru-Cru-Cruisin' down the street with a freak,0
Choppa on the seat,0
"AK with a beam, let it eat (Raah)",0
Bust it on repeat (Ta-ta-ta),0
"Nigga talkin' tough, but he sweet",0
Had to up my heat,0
I just wanna bust down my neck,0
VVS on my teeth,1
[Verse 1: Comethazine],0
"Pull up on a nigga with a scope, make him shake hard",0
97 bullets left in this AR (Ta-ta),1
"Jumpman, Jumpman, 23, play hard",1
"Sweet ass nigga, you belong in the gay bar",0
I took your bitch and I fucked her face hard,0
"Niggas talkin' tough, we pull up to your boulevard",1
We 50 deep and we brought like 10 cars,1
Guns on deck and we don't got gun cards,1
[Chorus: Comethazine &,0
Ugly God,0
],0
Cru-Cru-Cruisin' down the street with a freak,0
Choppa on the seat,0
"AK with a beam, let it eat (Raah)",0
Bust it on repeat (Ta-ta-ta),0
"Nigga talkin' tough, but he sweet",0
Had to up my heat,0
I just wanna bust down my neck,0
VVS on my teeth,1
(,0
"Ayy, ayy",0
),0
[Verse 2: Ugly God],0
"Diamond my teeth, no bust down",0
"I was down bad, now too busy to give a fuck now",0
"Nigga, fuck around and get gunned down",0
"She ain't wanna fuck, same bitch wanna fuck now",0
Bitches wanna take me out to lunch now,0
She gon' give me top 'cause she know a nigga up now,0
"Nigga runnin' up, get run down",0
"Bitch, I'm in the field, no touchdown (Woo)",0
[Chorus: Comethazine],0
Cru-Cru-Cruisin' down the street with a freak,0
Choppa on the seat,0
"AK with a beam, let it eat (Raah)",0
Bust it on repeat (Ta-ta-ta),0
"Nigga talkin' tough, but he sweet",0
Had to up my heat,0
I just wanna bust down my neck,0
VVS on my teeth (Ew),1
[Outro: Comethazine],0
Raah,0
Ta-ta-ta,0
