line,annotated
[Intro: Seth Rogan &,0
Andy Samberg,0
],0
"Mr. Samberg, thanks for coming to your performance review",0
No problem,0
"So you're in charge around here, is that fair to say?",0
Absolutely. I'm the boss,0
"Okay. So take us through a day in the life of ""the boss""",0
Well the first thing I do is...,0
[Verse: The Lonely Island],0
Talk to corporate,0
(Like a boss),1
Approve memos,0
(Like a boss),1
Lead a workshop,0
(Like a boss),1
Remember birthdays,0
(Like a boss),1
Direct workflow,0
(Like a boss),1
My own bathroom,0
(Like a boss),1
Micromanage,0
(Like a boss),1
Promote synergy,0
(Like a boss),1
Hit on Debra,0
(Like a boss),1
Get rejected,0
(Like a boss),1
Swallow sadness,0
(Like a boss),1
Send some faxes,0
(Like a boss),1
Call a sex line,0
(Like a boss),1
Cry deeply,0
(Like a boss),1
Demand a refund,0
(Like a boss),1
Eat a bagel,0
(Like a boss),1
Harassment lawsuit,0
(Like a boss),1
No promotion,0
(Like a boss),1
Fifth of vodka,0
(Like a boss),1
Shit on Debra's desk,0
(Like a boss),1
Buy a gun,0
(Like a boss),1
In my mouth,0
(Like a boss),1
"Oh fuck, man, I can't fucking do it, shit!",0
Pussy out,0
(Like a boss),1
Puke on Debra's desk,0
(Like a boss),1
Jump out the window,0
(Like a boss),1
Suck a dude's dick,0
(Like a boss),1
Score some coke,0
(Like a boss),1
Crash my car,0
(Like a boss),1
Suck my own dick,0
(Like a boss),1
Eat some chicken strips,0
(Like a boss),1
Chop my balls off,0
(Like a boss),1
Blackout in the sewer,0
(Like a boss),1
Meet a giant fish,0
(Like a boss),1
Fuck its brains out,0
(Like a boss),1
Turn into a jet,0
(Like a boss),1
Bomb the Russians,0
(Like a boss),1
Crash into the sun,0
(Like a boss),1
Now I'm dead,0
(Like a boss),1
[Outro: Seth Rogan &,0
Andy Samberg,0
],0
"Uh-huh. So, that's an average day for you then?",0
No doubt,0
You chop your balls off and die?,0
Hell yeah,0
And I think at one point there you said something about sucking your own dick?,0
Nope,0
"Actually, I'm pretty sure you did",0
"Nah, that ain't me",0
"Okay, well. This has been eye-opening for me",0
I'm the boss,1
"Yeah no, I got that, you said it about 400 times",0
I'm the boss,1
"Yeah yeah, I got it",0
I'm the boss,1
"Okay, great. I heard you. Bye",0
Like a boss!,1
