line,annotated
"[Letra de ""Llovía""]",0
[Verso 1],0
Benito se la está andando con Fernando,0
Ya tiene dieciocho y es súper valiente,0
Con un peine largo se está desplazando,0
Y no hay ser que lo haga ver que por ahí está la muerte,0
Fernando es quien lleva el volante en el barrio,0
Su merca se vende como pan caliente,0
Y esta noche van pa' donde los del callejón contrario,0
A saldar un par de cuentas pendientes,0
"Ventanas oscuras, conciencia oscura, noche oscura",0
Benito apunta al traidor de repente,0
"Órdenes claras, y pa' poner todas las cuentas claras",0
Le clavan al traidor dos en la frente,0
[Coro 1],0
"Y la sangre llovía, llovía, llovía",0
"Y la paz escampaba, escampaba, escampaba",0
"Y la sangre llovía, llovía, llovía",0
"Y la paz escampaba, escampaba, escampaba",0
"Es Can, es Can, es Can, es Can",0
[Verso 2],0
"Fernando dice a Benito: ""te quiero, parcero”",1
"Y de caballero, le da dinero y al ghetto se van a",1
Celebrar que ya no hay compe' en la plaza,1
Pero pasa que a su casa llegó la amenaza 'e venganza,0
"“Dios mío, cuide a Benito”, say la madre",0
Cada vez que nota en el reloj es tarde,0
"“Venezuela está candela, mi compadre”",0
Dicen los abuelos cuando oyen de sangre,0
"Chaqueta con capucha, 10:05 p. m",0
"Izquierda en el bolsillo, en la derecha anillo y cigarrillo",0
"El silencio se escucha, Benito se mueve, observa el día sencillo",0
No sospecha el guiño del destino,0
"“¡Aquí el hampa soy yo, y en este barrio solo manda el hampa!”",0
Pensó Benito antes de ver la trampa,0
Y en un solo segundo su vida completa recordó,0
Cuando vio que de un carro plomo le zampan,0
"La visión oscura, la sangre oscura, noche oscura",0
"Brincando techos, huyendo de la muerte",0
"Su chaqueta clara, manchada de manera clara",0
Sudor corriendo por toda su frente,0
[Coro 2],0
"Y las balas llovían, llovían, llovían",0
"Y la paz escampaba, escampaba, escampaba",0
"Y las balas llovían, llovían, llovían",0
"Y la paz escampaba, escampaba, escampaba",0
"Es Can, es Can, es Can, es Can",0
[Verso 3],0
Benito se la está andando solitario,0
Ya tiene veintitrés y es coco seco 'e mente,0
El típico protagonista de las historias de barrios,0
Con una diferencia solamente,0
Que lo hace distinto de Pedro Navaja,1
Que de Montana Tony hace diferente,1
Benito va a terminar el tema sin irse de baja,0
Su desenlace no será la muerte,0
"Pero una fecha oscura, recibe una noticia oscura",0
Llamada telefónica urgente,0
"Y de forma clara, escucha una voz agitada",0
"De Fernando, diciendo lo siguiente:",0
“Llegaron sin capucha a las 8:00 p.m,0
"Tu madre en la ducha escucha que tumban la puerta, como puede",0
"Trató de escapar, todo pasó muy breve",0
Los vecinos dicen que le dieron como veintinueve”,0
[Coro 3],0
"Y lágrimas llovían, llovían, llovían",0
"Y la paz escampaba, escampaba, escampaba",0
"Y lágrimas llovían, llovían, llovían",0
"Y la paz escampaba, escampaba, escampaba",0
"Es Can, es Can, es Can",0
[Interludio],0
Esto es sólo una historia más de lo que está pasado en mis barrios latinos,0
"Respeto no merece el malo, sino el que consigue la felicidad",0
Ese sí es el más malandro,0
[Verso 4],0
Benito se la está andando solitario,1
Y aunque no está vivo nadie le dio muerte,1
No es más que un fantasma sólo entre las veredas del barrio,1
Benito no es más que un muerto viviente,1
"Piensa bien si quieres ingresar al hampa, hermano",1
Por si luego tienes ganas de salir,1
No tengas que decidir por tus opciones a elegir,1
¿Cuáles? ¿Cuáles son? Morir o sufrir,1
Pedrito Navaja lo llevó la muerte,1
Juanito Alimaña no está en libertad,1
"Y el que a hierro mata, a hierro se va",1
", ténganlo presente",0
Por eso apuesto a la felicidad,0
[Outro],0
"All we need is love, ni menos ni más",0
