line,annotated
"[Intro: Drake,",0
BlocBoy JB,0
&,0
Lil Juice,0
],0
"Tay Keith, fuck these niggas up!",1
"Yeah, yeah (ooh)",0
Yeah (ooh),0
"6 God, BlocBoy, 6 God, BlocBoy (ooh) (word)",1
"6 God, BlocBoy, 6 God, BlocBoy (ooh) (BlocBoy, 6 God)",1
Yeah (,0
hey,0
),0
[Chorus: Drake &,0
BlocBoy JB,0
],0
"901 Shelby Drive, look alive, look alive ('live)",1
"Niggas came up on this side, now they on the other side (word, word, word)",1
"Oh well, fuck 'em, dawg, we gon' see how hard they ride (",0
"huh, fuck 'em",0
),0
I get racks to go outside and I split it with the guys (outside),1
"We up on the other side, niggas actin' like we tied",0
"I've been gone since, like, July, niggas actin' like I died",1
They won't be expectin' shit when Capo go to slide (hah),1
'Cause I told them that we put that shit behind us but I lied (hah),1
[Verse 1: Drake],0
"Ayy, ayy, look who I'm around, man",0
"If I fucked up, I'ma be downtown, man",1
"Fourth floor bound, man, that's if I get caught, man",1
"Pushed me to the edge, so it really ain't my mothafuckin' fault",1
"Man, I'm not to blame, man,",0
this fuckin' industry is cutthroat,1
"I'm not the same, man,",1
and I could let you check the tag now,1
"I'm rockin' name brand,",1
I'm only chasin' after bags now,1
I got a game plan and I'm out here with the woo!,1
[Chorus: Drake &,0
BlocBoy JB,0
],0
"700, three high fives, look alive, look alive (",0
'live,0
),0
"Niggas came up on this side, now they on the other side (word, word, word)",1
"Oh well, fuck 'em, dawg, we gon' see how hard they ride (",0
"huh, fuck 'em",0
),0
I get racks to go outside and I split it with the guys (outside),1
"We up on the other side, niggas actin' like we tied",0
"I've been gone since, like, July, niggas actin' like I died",1
They won't be expectin' shit when Capo go to slide (hah),1
'Cause I told them that we put that shit behind us but I— (hah),1
[Verse 2: BlocBoy JB],0
"Bitch, come through (through)",0
You and you (you),0
I'ma get the money (word),1
Dr—Dr—Drizzy get the loot (the loot),1
Pu—pu—pull up with that Draco (huh?),1
Play with Drake and I'ma shoot (that's on my mama),1
My—my—my weapon be a instrument,1
I'll blow you like a flute (rrah),1
Ni—ni—nigga play so he feelin' it (feelin' it),0
"Pu—pull up broad day with a K, now he shiverin' (he shiverin')",1
Drop a nigga like he litterin' (huh?),1
"W—w—we at your door like we the delivery (yeah, yeah, yeah)",0
"He not a plug, he middle man (middle man)",1
That—that nigga brown like cinnamon (cinnamon),1
I got the rounds like Sugar Ray Robinson (uh),1
Shot to the chest have you gaspin' for oxygen (shots),1
"I'ma spray 'em, just like Febreze (huh, like Febreze)",1
Came a long way from sittin' in the nosebleeds (in the nosebleeds),1
Now a nigga on the floor talkin' to the athletes (to the athletes),1
Now I'm so close to the game that I could steal the stat sheet (stat sheet),1
It's Bloc,0
[Chorus: Drake &,0
BlocBoy JB,0
],0
"901 Shelby Drive, look alive, look alive ('live)",1
"Niggas came up on this side, now they on the other side (word, word, word)",1
"Oh well, fuck 'em, dawg, we gon' see how hard they ride (",0
"huh, fuck 'em",0
),0
I get racks to go outside and I split it with the guys (outside),1
"We up on the other side, niggas actin' like we tied",0
"I've been gone since, like, July, niggas actin' like I died",1
They won't be expectin' shit when Capo go to slide (hah),1
'Cause I told them to put that shit behind us but I lied (hah),1
,1
[Outro: Drake & BlocBoy JB],1
Behind me but I lied (that's on my mama),1
