line,annotated
[Couplet 1 - Seth Gueko],0
"J'rote, j'pète : j'suis un tueur à gaz",1
"Nique Jean Dujardin, moi je représente les gens du voyage",1
Toutes mes phases et mes punchlines sont reputées,1
"Une Thaïlandaise en France, ça devient une députée",1
"Lyrics affûtés,",0
foraine est la patate,1
"On reconnaît un flic pédé, car y'a d'la merde sur sa matraque",1
J'envoie du lourd comme le cul à Kubiak,1
Viens à Phuket si tu veux m'régler à coups d'batte,1
"Ça fait ""zblerx !"" comme un but de l'ASSOA",1
Mes cheveux tombent les uns après les autres comme des dealeurs,1
"Ma calvitie, c'est le cartel d'Ochoa",1
Bicrave ou chourave : on m'laisse pas d'autres choix,1
"Toi et moi, c'est pas la même taille",1
"Nan, Kate Moss, José Bové : c'est pas la même paille",1
"C'est l'Professeur Punchline,",1
caravane drive-by,1
"J'vous laisse : fuck les States, ouais, faut qu'j'y aille",1
[Refrain],0
Que toutes les meufs dans la place lèvent les mains,1
C'est bon les mecs : vous pouvez leur toucher les seins,1
Lève les bras que j'te fasse les poches,0
"Toi t'es belle gosse : lève les draps, que j'te fasse des mioches",0
Que toutes les meufs dans la place lèvent les mains,0
C'est bon les mecs : vous pouvez leur toucher les seins,0
Mes capotes et mes liasses s'ennuient dans mes poches,0
On débarque grosse caravane au cul du Porsche,1
[Couplet 2 - Orelsan],0
J'ai deux personnalités mongoles : j'suis trisophrène,1
Ibuprofène et filles obscènes remplacent mes nuits d'sommeil,1
Complètement saoul comme Ben l'Oncle,1
", j'm'endors dans une chatte quelconque",0
"Des lendemains d'soirée différents, toujours la même honte",1
Trois-quarts des gens n'ont pas vraiment d'amour : ils calculent,1
Les grandes salopes traînent toujours avec les p'tites crapules,0
"Quand j'vois les commentaires sur le net, j'rêve de dictature",1
Vous serez tous foutus dès qu'j'aurais mes cinq cents signatures,1
"C'est pour mes adultes immatures, mes types qui mènent une vie d'raclure",1
"Mes smicards qui taffent dur, mes jeunes dépressifs qui saturent",1
"Cinq heures du mat', plus d'mélange, on finit l'sky pur",1
J'déboîte : j'aurais dû sampler des bruits d'fractures,1
"T'as une voix d'chiotte, va sampler des bruits d'chasse d'eau",1
"Même quand tu jouis, ça sonne faux : arrête les vibratos",1
"Orelsan et Seth Gueko, faites place au Bébête Show",0
Sortez les blousons en cuir : c'est perfecto !,1
[Refrain - Seth Gueko],0
Que toutes les meufs dans la place lèvent les mains,1
C'est bon les mecs : vous pouvez leur toucher les seins,1
Lève les bras que j'te fasse les poches,0
"Toi t'es belle gosse : lève les draps, que j'te fasse des mioches",0
Que toutes les meufs dans la place lèvent les mains,0
C'est bon les mecs : vous pouvez leur toucher les seins,0
Mes capotes et mes liasses s'ennuient dans mes poches,0
On débarque grosse caravane au cul du Porsche,1
[Couplet 3 - Seth Gueko],0
"Après une cuite, j'tourne à la San-Pé'",1
J'suis en concert à la Santé : j'rappe à guichets enfermés,1
"J'fais pas du rap français, j'fais du rap de français",1
Prochaine pochette : j'serai habillé en fermier,1
"Sur mon père, j'écoute le game : j'suis mort de lol",1
"J'vais m'tailler la queue en triangle, ils vont chier du Toblerone",1
"Les p'tits d'mon hall, ils ont les crocs comme des Australopithex",1
"Ils ont tagué ""Zdedededex"" sur leur cahier d'textes au Tipp-Ex",1
[Couplet 4 - Orelsan],0
J'ai du Clan Campbell pour combler mes cases vides,1
"Paris m'fatigue, j'crois qu'j'vais m'remettre à fumer d'la weed",0
"Adolescent, j'pensais m'branler jusqu'à c'que j'aie d'l'arthrite",0
"Dans mon répertoire, ta meuf s'appelle ""Baise Rapide""",0
"Dès la première phrase de tes couplets, j'connais la suite",1
Faudrait qu'on m'paye pour écouter ta mixtape gratuite,0
"Deux aventuriers sans espoir, desesperados",1
"Oreille Sale, Shrek Gueko :",1
c'est l'remake des Crados,1
[Refrain],0
Que toutes les meufs dans la place lèvent les mains,1
C'est bon les mecs : vous pouvez leur toucher les seins,1
Lève les bras que j'te fasse les poches,0
"Toi t'es belle gosse : lève les draps, que j'te fasse des mioches",0
Que toutes les meufs dans la place lèvent les mains,0
C'est bon les mecs : vous pouvez leur toucher les seins,0
Mes capotes et mes liasses s'ennuient dans mes poches,0
On débarque grosse caravane au cul du Porsche,1
[Outro - Orelsan],1
Zdedededex !,1
J'ai toujours rêvé d'le faire !,1
Paroles rédigées et expliquées par la communauté Rap Genius France !,0
