line,annotated
[Intro],0
Brra-ta-ta-ta,0
Brra-ta-ta-ta,0
[Verse 1],0
"They call me Megatron, just did a telethon",1
"He got Margielas on, and I get my jealous on",1
"I fuck him like I miss him, he just came out of prison",1
"Bitches be talkin' shit, but they ain't got a pot to piss in",0
"My name is Nicki M, I'm in a sticky Benz",1
"That mean it's candy apple red, I'm Barbie, this is Ken",1
"That is a Fendi fact, I'm with a hunnid macs",0
"Oh, this is custom made, Donatella sent me that",1
[Pre-Chorus],0
"Feel up, baby, feel on me",0
Pull up if you're feeling lonely,0
"Feel up, baby, feel on me",0
Pull up if you're feeling lonely,0
[Chorus],0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm drinkin'",0
It's better when I'm drinkin',0
I tune up when I'm drinkin',0
"Rum, rum when I'm-",0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm drinkin'",0
It's better when I'm drinkin',0
I tune up when I'm drinkin',0
"Rum, rum when I'm-",0
[Post-Chorus],0
Brra-ta-ta-ta,0
Brra-ta-ta-ta,0
Brra-ta-ta-ta,0
[Verse 2],0
"They call me Megatron, shorty's a mega con",1
"It ain't about the race either, it's the marathon",0
"I put the squeeze on him, th-throw up the Bs on him",0
"Th-that ass clappin' on the D, Hercules on him",0
"My name is baddie, baddie, I keep it tight for zaddy",0
"He keep it comin', comin', he ain't even drop the Addy",0
"Trunk in the front-front, I need a blunt-blunt",0
"I own my own moscato, bitch, we gettin' drunk-drunk",1
[Pre-Chorus],0
"Feel up, baby, feel on me",0
Pull up if you're feeling lonely,0
"Feel up, baby, feel on me",0
Pull up if you're feeling lonely,0
[Chorus],0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm drinkin'",0
It's better when I'm drinkin',0
I tune up when I'm drinkin',0
"Rum, rum when I'm-",0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm drinkin'",0
It's better when I'm drinkin',0
I tune up when I'm drinkin',0
"Rum, rum when I'm-",0
[Post-Chorus],0
Brra-ta-ta-ta,0
Brra-ta-ta-ta,0
Brra-ta-ta-ta,0
[Bridge],0
"Bite me, bite me, that excite me",0
"He said it's my pussy (Yup, it might be)",0
"If you eatin' it, do it precisely",0
"'Cause I'm a millionaire, this pussy pricey",1
"(Yup, it might be, yup, it might be)",1
"He said it's my pussy (Yup, it might be)",1
"M-my pussy, m-my pussy (Yup, it might be)",1
"'Cause I'm a millionaire, this pussy pricey",1
[Pre-Chorus],0
"Feel up, baby, feel on me",0
Pull up if you're feeling lonely,0
"Feel up, baby, feel on me",0
Pull up if you're feeling lonely,0
[Chorus],0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm drinkin'",0
It's better when I'm drinkin',0
I tune up when I'm drinkin',0
"Rum, rum when I'm-",0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm",0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm",0
Brra-ta-ta-ta,0
"Shots, shots, shots, I'm drinkin'",0
"Rum, rum when I'm-",0
