line,annotated
"[Letra de ""Mañana Será Otro Día""]",0
[Verso 1],0
Sentado de noche en un banquillo fumándome un cigarrillo,0
Con un revólver en el bolsillo de rencor lloraba,0
Quizás por la soledad que me acompañaba,0
Solo interrumpida por un padre que en alcohol se ahogaba,0
"Miraba, el suelo mientras sacaba el cañón y apuntaba",0
El nudo que a mi cuello asfixiaba,0
Y cuando solo pensé en no pensar más nada,0
Oí la voz de un hombre que se acercaba y me comentaba,0
Llevaba lentes oscuros y un bastón que lo guiaba,0
Me pidió fuego y luego se sentó donde yo estaba,0
De forma disimulada guardé el arma de nuevo,0
Me sequé la frente y le seguí la corriente a aquel ciego,0
"Él, dijo el comentario de las estrellas (de las estrellas)",0
De la naturaleza y de la luna,0
Dijo que hay cosas bellas que aprecia mejor ahora,0
Que no ve por causa de un cáncer sin cura,0
Como la piel desnuda de tu pareja en tus brazos,0
Como brindar ayuda a tu hijo y ver su primer paso (¡yah!),0
Como ver el horizonte del mar,0
"O simplemente apreciar, el desfile de un ocaso",0
Fue entonces que le hice caso a lo que me decía,0
Me sentí tan cobarde en aquel momento,0
Ya que ese hombre carecía de lo que yo tenía,0
"Sin embargo, agradecía cada segundo de aliento",0
[Coro],0
Cuando sientas que la vida te ignora,0
"Llora, pero valora mientras sonrías",0
Alguien decía que no siempre lloverá,0
"En cambio siempre, mañana será otro día",0
Cuando sientas que la vida te ignora,0
"Llora, pero valora mientras sonrías",0
Alguien decía que no siempre lloverá,0
"En cambio siempre, mañana será otro día",0
[Verso 2],0
Con nuevos logros y nuevas caídas,0
Con nuevas heridas causadas y recibidas,0
Todos hemos sentido rencor a la vida,0
Pero si nos la quitan odiaremos la muerte enseguida,0
La indecisión forma parte del ser humano,0
Luchamos por metas que al tocarlas no nos conformamos,0
"Decimos todo es tan malo, y cuando estamos viejos",0
Nos quejamos y hablamos de los buenos años añejos,0
Si el reflejo en tu espejo no te hace feliz,0
O piensas que la suerte te dejo de sonreír,0
"¿Por qué sufrir?, cuando puedes oír la mejor música",0
(Que es) la de tu corazón latir,0
[Coro],0
Cuando sientas que la vida te ignora,0
"Llora, pero valora mientras sonrías",0
Alguien decía que no siempre lloverá,0
"En cambio siempre, mañana será otro día",0
Cuando sientas que la vida te ignora,0
"Llora, pero valora mientras sonrías",0
Alguien decía que no siempre lloverá,0
"En cambio siempre, mañana será otro día",0
[Outro],0
"Afromak, Afromak (llorando días)",0
En el instrumental,0
Es Canserbero (el índigo),0
Ni más ni menos,0
Mañana será otro día,0
