line,annotated
[Verse 1: Masada],0
Mahogany Team Queens up on the rise,1
"Be careful, watch your back, blackbirds don't wear disguise",1
"How we comin, comin hard.. camels too slow",0
"Stick up kids do anything, hustlers keep loot to show (what?)",0
The game is hot you could never be a winner,0
Just begun a game so considered a beginner,0
"Masada for real, this shorty here is here to stay",0
Mahogany go platinum after that we just parlay,0
I'm from the Bricks,1
"we get kicks, offa loud gun shot licks",1
"Fuck stones and sticks, loudmouths get nixed",0
"This life is plush I be the bill-be-board, Scarface want",0
"Italiano, I'm the real McCoy, nigga what?",1
Can't be a joke I've been through too many games,0
"Niggas laugh, but my expression wasn't hardly the same",0
"Show me respect cause it's due, you keep the fear",0
Cause I'll get over and believe I'll come back at you,0
[Hook: Masada + Rico Wade],1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
[Verse 2: André 3000],1
"Yo, now, you and your nigga shit shaky",1
And at the time your heart feel down and broke like Achy Breaky,1
"Lump in your throat, feel like a trachea, oh dummy",1
The pain that's in your chest done made it's way down to your tummy,1
"You wide open, you start smokin' with your girl",0
"She nigga-bashin', sayin', ""You don't need em in your world, niggas all dogs!""",0
"If niggas all dogs, then what you call broads?",0
"Felines in heat, meowin for some yarn balls",0
Now you and her done got to drankin',0
"Oh now it's really crunk, cause y'all silly drunk and your girl done got to thinkin'",0
"She talkin bout, ""Girl you look so beautiful""",0
"You say, ""thank you,"" bein' nice, you try to change the subject",0
Want some beans and rice? But she's back at you like a pit,0
"Mixed with a chihuahua, how much meaner can you get?",0
"Don't let her have her way with you, she's gonna have a fit",0
You're the candy apple of her eye and bout to get bit,0
Here's what you do -- you,0
"Grab her by her neck, throw her on the wall",0
"Say, ""Bitch don't ever disrespect me, never not at all""",0
These simple words can put a pause to half of the applause,0
Then black ball laws of balance at all cost,0
[Hook: Masada + Rico Wade],1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
[Verse 3: WitchDoctor],1
"Que pasa, que pasa? Check this out",0
"Quiet nights like this, might twist one for the mota",0
"On the balcony, I got a sofa",1
"Nights like this is perfect, for this Spanish Fly",1
"Can you come over, somethin, I wanna show ya",0
"Told ya once we was gon' take a trip, touch you",0
"With my lips where you like it, it's time, don't fight it",0
"Piggy-back ride to the sofa, in the microwave",0
"I got your favorite Stouffer's, lasagna, that's how much",0
"I want ya, fuck flowers",0
The ceremony starts from the shower with the water,0
"I got somebody's daughter in the Doctor headquarters, chillin",0
"Prepare for this sex drillin, she said somethin in Spanish",0
"Got me feelin mannish, me and you fin' ta vanish",0
"Real quick, feel this shit, got cheese, tryin to make cheese",0
To get you pregnant overseas,0
Maybe make sho' that's my seed,0
"Quiet nights like this, bachelor like me is single",0
Talkin to you Miss Bilingual,0
"Let's mingle in the crowd, watch them show, pop some Moet",0
"Tryin to get you so wet, never been to Spain",0
"Never been a lame, horny, ever since I been a tiny",0
Fuckin with niggas with ageless bodies,0
"Talkin to me, while I squeeze it bare",0
Let me talk to you while I run my fingers through your hair,0
[Hook: Masada + Rico Wade],1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
[Verse 4: Big Boi],0
"Friday night boi, breakin the old school out, boi we cruisin",0
"Bout fo' niggas and fo' hoes, it ain't gon be nobody losin",0
But they choosin,0
Better get in where you fit in cause it's crucial,0
I'm tryin to cut bout two of them girls,0
Cause that just what I'm used to,0
I mean that,1
The first that look my way just gon' get splack packed,1
From the front to the back,1
this cognac got my throat burnin like burlap,0
"Everybody cheesin, knowin these hoes gon' cut like Pleasers",1
These hookers they praisin my crew,1
Like Reverend Hodo be praisin Jesus,1
"The easiest was the meanest, but the skeezer was a beanie",0
She thought we was some motherfuckin genies,1
"So I checked her, like the king I am, no disrespect intended",0
"Told her, and her silly friends",0
"""Get out"" before they got offended",0
"To the La Quinta we went, layin them hoes down",0
"On the freestyle tip, geyeah!",0
[Hook: Masada + Rico Wade],1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
"Mamacita, papadonna",1
[Outro],0
"Permecito, senorita, mamacita",1
"Mira mira, what's your name? Maria",1
"Same as mi tia, de Colombia",1
"I don't, in Atlanta, Georgia",0
And you don't think I got nuttin for ya?,0
You must be crazy,0
I'm out here tryin to feed my baby,0
"Lil Bre, can't you see? Sheeyit",0
"Do it one more time, sheeyit",0
