line,annotated
[Intro],0
"Yo, Big Shaq, the one and only",1
"Man's not hot, never hot",1
"Skrrat (GottiOnEm), skidi-kat-kat",1
Boom,1
[Verse 1],0
Two plus two is four,1
"Minus one that's three, quick maths",1
Everyday man's on the block,1
Smoke trees (Ah),1
See your girl in the park,1
That girl is a uckers,1
When the ting went quack-quack-quack,1
You man were ducking (You man ducked),1
"Hold tight, Asznee (My brudda)",1
He's got the pumpy (Big ting),1
"Hold tight, my man (My guy)",1
He's got the frisbee (Shew),1
"I trap, trap, trap on the phone",1
Movin' that cornflakes (Uh),1
Rice Krispies,1
"Hold tight, my girl Whitney (My G)",1
"On, on, on, on, on the road doin' 10 toes",1
Like my toes (Like my toes),1
You man thought I froze,1
"I see a peng girl, then I pose (Chilin')",1
"If she ain't on it, I ghost",1
"Hah, look at your nose (Check your nose, fam)",1
You donut,1
Nose long like garden hose,1
[Chorus],0
I tell her man's not hot,1
I tell her man's not hot,1
"The girl told me, ""Take off your jacket""",1
"I said, ""Babes, man's not hot"" (Never hot)",1
I tell her man's not hot (Never hot),1
I tell her man's not hot (Never hot),1
"The girl told me, ""Take off your jacket""",1
"I said, ""Babes, man's not hot"" (Never hot)",1
[Verse 2],0
Hop out the four-door with the .44,1
"It was one, two, three and four (Us, man)",1
Chillin' in the corridor (Yo),1
Your dad is forty-four (Uh),1
And he's still callin' man for a draw (Look at him),1
Let him know,1
When I see him,1
I'm gonna spin his jaw (Finished),1
Take man's Twix by force (Take it),1
Send man's shop by force (Send him),1
Your girl knows I've got the sauce (Flexin'),1
No ketchup (None),1
Just sauce (Saucy),1
Raw sauce,1
"(Ah) Yo, boom, ah",1
[Refrain],0
The ting goes skrrrahh (Ah),1
"Pap, pap, ka-ka-ka (Ka-ka)",1
Skidiki-pap-pap (Pap),1
And a pu-pu-pudrrrr-boom (Boom),1
Skya (Ah),1
Du-du-ku-ku-dun-dun (Dun),1
"Poom, poom",1
You dun know,1
[Chorus],0
I tell her man's not hot (Man's not),1
I tell her man's not hot (Never hot),1
"The girl told me, ""Take off your jacket""",1
"I said, ""Babes, man's not hot"" (Never hot)",1
I tell her man's not hot,1
I tell her man's not hot (Never hot),1
"The girl told me, ""Take off your jacket""",1
"I said, ""Babes, man's not hot""",1
[Bridge],0
Man can never be hot (Never hot),1
Perspiration ting (Spray dat),1
Lynx Effect (Come on),1
"You didn't hear me, did you? (Nah)",1
Use roll-on (Use that),1
Or spray (Shhh),1
"But either way, A-B-C-D (Alphabet ting)",1
[Refrain],0
The ting goes skrrrahh (Ah),1
"Pap, pap, ka-ka-ka (Ka)",1
Skidiki-pap-pap (Pap),1
And a pu-pu-pudrrrr-boom (Boom),1
Skya (Ah),1
Du-du-ku-ku-dun-dun (Dun),1
"Poom, poom",1
You dun know,1
[Outro],0
Big Shaq,1
Man's not hot,1
I tell her man's not hot (Never hot),1
40 degrees and man's not hot (Come on),1
"Yo (Ah), in the sauna",1
Man's not hot (Never hot),1
"Yeah, skidika-pap-pap",1
