line,annotated
"[Letra de ""Maquiavélico""]",0
[Intro],0
De no ser por esas veces en que cometo la gran,0
Barbaridad de ponerme a pensar,0
O por esas otras veces en que cometo la gran,0
Estupidez de no olvidar,0
De meditar mirando al techo al despertar,0
De imaginar cualquier cosa,0
De no ser por esas veces en que suelo respirar,0
Podría jurar que no te recuerdo nada,0
[Verso 1],0
Y lo peor es que yo te conozco tanto,0
Que podría recordarte quién eres por si lo olvidas,0
Y lo peor del caso es que de ti sé tanto,0
Que podría dictar clases intensivas de tu vida,0
Por eso casi sé cuando me estás pensando,0
Por eso creo saber cuando de mí te olvidas,0
Y sé que como yo quisieras poder sólo parpadeando,0
Echar el tiempo atrás en nuestras vidas,0
El único detalle es que la ciencia no ha podido,0
Crear esas maquinitas del tiempo,0
Por eso creo que nos resulte un poquitico bien jodido,0
Volver a los días en que tu cuerpo,0
Estaba convertido en río sobre el mío,0
Dejando escapar seguido esos orgasmitos lentos,0
Que cabe acotar nacían al mismo tiempo,0
Hasta que un cigarrillo daba fecha de fallecimiento,0
[Coro],0
Es maquiavélico meditar,1
A solas donde tú viviste todo con ella,1
Como una voz que te dice que a las estrellas,1
"Un dedo no puede ocultar, no",1
,1
Es maquiavélico meditar,1
A solas donde tú viviste todo con ella,1
Como una voz que te dice que a las estrellas,1
"Un dedo no puede ocultar, no",1
[Verso 2],0
Escribo sólo versos tristes,0
En algún patético me convertiste,0
Releo lo que escribiste,0
Cuando éramos felices,0
(O más o menos felices),0
Y sentía como mariposas lo que hoy sé que son lombrices,1
Estoy en esos tiempos en que gota a gota,0
"La mente se agota, pasan los días y apenas lo notas",0
"La rutina es implacable, el mal humor te arropa",0
Y luces como un don Nadie con cualquier ropa,0
¡Pero te juro que estoy harto!,0
"Hoy voy comenzar a escapar de mi cuarto, ya estoy harto",0
Hoy solo quiero pensar en cosas que me hagan reír,0
Sí! Que me hagan ser feliz!,0
Dejar de mirar gris y en nubes de paz revolcarme,0
Arrancar de raíz todo recuerdo infeliz,0
Y ahora si te preguntan di que estoy pensando en mí,0
Y aunque sobren rimas de nostalgia que deba cantar,0
"Aunque el clima se me ponga gris, arriba mi frente va a estar",0
Aunque el tiempo se niegue a esperarme,0
Yo nadaré contra corriente aún sabiendo que...,0
[Coro],0
Es maquiavélico meditar,0
A solas donde tú viviste todo con ella,0
Como una voz que te dice que a las estrellas,0
"Un dedo no puede ocultar, no",0
Es maquiavélico meditar,0
A solas donde tú viviste todo con ella,0
Como una voz que te dice que a las estrellas,0
"Un dedo no puede ocultar, no",0
[Verso 3],0
El porqué de por qué llegamos a este punto es muy difícil de decir,0
Cómo determinar causas de que ya no estemos,0
Aunque nos queramos así,0
Pudo haber sido por mí,0
Pudo haber sido por ti,0
Pudo haber sido cualquier cosa,0
Pudo haber sido incluso el aleteo de una mariposa...,1
El hecho es que nos perdimos para siempre (ba-ba-ba-ba-bye),0
El hecho es que nos perdimos para siempre  (ba-ba-ba-ba-bye),0
"El hecho es que nos perdimos para siempre  (eh, ba-ba-ba-ba-bye)",0
El hecho es que nos perdimos para siempre,0
El hecho es que nuestro amor llego a su muerte,0
[Coro],0
Es maquiavélico meditar,0
A solas donde tú viviste todo con ella,0
Como una voz que te dice que a las estrellas,0
"Un dedo no puede ocultar, no",0
Es maquiavélico meditar,0
A solas donde tú viviste todo con ella,0
Como una voz que te dice que a las estrellas,0
"Un dedo no puede ocultar, no",0
