line,annotated
[Hook: André 3000] x2,0
Mighty-I-dee-I-dee-I (Mighty-I-dee-I-dee-I),0
Odee odee odee oooo (Ode odee odee oooo),0
Mighty-I-dee-I-dee-I (Mighty-I-dee-I-dee-I),0
Odee odee odee oooooo,0
[Verse 1: André 3000],0
You ain't a hater? Can't tell,0
"Either wish me well, go to hell or go to Yale",0
Study human behavior so that you know who the hell,0
You dealing with ain't nutty but,0
the study gon' unveil,1
"My relative in jail, ha! Stay engaged",1
"To whatever make money, now he married to that cage",1
Divorce is not an option and prenuptial is void,1
Eat up whatever rapper but I'm tangled in my cord (hum),0
"Bored, kind of like a knight with the sword",0
Without dragon to battle so I'm running from a shadow,0
An impossible feat and I repeat,0
An impossible feat and I repeat,0
An impossible feat and I repeat!,0
The damsels in distress but they a mess,1
"They only like my armor, and that I'm a performer",0
They read one magazine and wanna think they gettin warmer,0
"They only getting colder hell, maybe I should throw",0
A double diamond party in the North Pole,0
Invite all the writers and journalists,0
"Even biters will tournament, to see who can be me",0
"Better than me, it's a permanent, smile on my face",0
Because you said you don't like my style,0
But that's OK but just make sure you don't touch that dial,0
"And we'll be cool, touch it and you's a fool",0
"Look, I'll get you hooked, y'all crooks might even move",0
"To Atlanta, Georgia, get a wife and daughter",0
"Start a new life, and all that wrong you do you'll make it right",0
"But hell, all a dream, I wear the crown, I'm king",1
"Respect is mandatory, end of the story, go fly a kite",0
"Category, ain't got none, you know I'm right",0
[Hook: André 3000] x2,0
Mighty-I-dee-I-dee-I (Mighty-I-dee-I-dee-I),0
Odee odee odee oooo (Ode odee odee oooo),0
Mighty-I-dee-I-dee-I (Mighty-I-dee-I-dee-I),0
Odee odee odee oooooo,0
[Verse 2: Big Boi],0
"Congratulations, I'm a player",0
I thought you were one too but now I hear you loud and clear,0
"Subliminal,",0
criminal minded,1
"nigga, so be aware",0
Black dog broke out the pits and told yo' ass it's 'bout to tear,0
Intended for anyone filling out this application,0
An estimate is needed for your underestimation,0
"I'm firing on the spot, go back and check your calculations",0
Like a sniper in the bushes with that rifle I've been patiently waitin',0
"Now that's a virtue; 'cause pussy nigga, I'll hurt you",0
"Like the president's approval rating by servin' yo' ass with words, fool",0
"Slam yo' back to the curb, bruh, a sanitation worker",0
"'Cause you're trash, I'm taking out the trash and all trash",0
Get mashed and compacted because it's no longer valid,0
"Go 'head recycle, repackage then put it back in my cabinet",0
"Boy, that's germs, I'm fresh up out the store every time",0
That nigga the B-I-G go hard every rhyme,0
"Crowns all around, I'm right after Martin Luther",0
"No JR period, senior, 'cause Bamboo is Antwan Junior",0
Dungeon Family and biological's intact,0
"Talk bad about the fam, catch diabolical attack",0
"No gats or no raps, you get slapped about that",0
"As a matter of fact, not fiction, Rumpelstiltskin, you wack",0
Decipher words just like the Code of Da Vinci,0
"Don't go against me, Caine, I want you to go out there",0
"Kill them marks and come back, is you with me?",0
Mighty ighty ighty ighty ighty ighty O,0
The worse thing since crack cocaine distributed to the poor,1
"By the government, oh I meant, don't nobody know",1
"Conspiracy theory, you be the judge, nobody's slow",1
[Hook: André 3000],0
Mighty-I-dee-I-dee-I (Mighty-I-dee-I-dee-I),0
Odee odee odee oooo (Ode odee odee oooo),0
Mighty-I-dee-I-dee-I (Mighty-I-dee-I-dee-I),0
Odee odee odee oooooo,0
