line,annotated
[Verse 1: Nicki Minaj],0
"I fly with the stars, in the skies",1
I am no longer trying to survive,1
I believe that life is a prize,1
"But to live, doesn’t mean you’re alive",1
"Don’t worry 'bout me, and who I fire",1
"I get what I desire, it’s my empire",0
"And yes, I call the shots, I am the umpire",1
"I sprinkle holy water, upon a vampire ('pire)",1
"In this very moment, I’m king",1
"In this very moment, I slayed Goliath with a sling",1
This very moment I bring,1
"Put it on everything, that I will retire with the ring",1
"And I will retire with the crown,",1
- yes!,0
"No, I’m not lucky, I’m blessed,",1
- yes!,0
Clap for the heavyweight champ,1
- me!,0
But I couldn’t do it all alone - we!,0
"Young Money raised me, grew up out in Baisley",0
"Southside Jamaica, Queens and it’s crazy",0
"'Cause I’m still hood, Hollywood couldn’t change me",1
"Shout out to my haters, sorry that you couldn’t faze me",0
"Ain't being cocky, we just vindicated",1
"Best believe that when we're done, this moment will be syndicated",1
"I don't know, this night just reminds me of",0
Everything they deprived me of (kyuh!),0
P-p-p-p-put ya drinks up!,0
"It’s a celebration, every time we link up",0
"We done did everything, they can think of",0
"Greatness, is what we on the brink of",0
[Hook: Nicki Minaj],0
"I wish that I could have this moment for life, for life, for life",0
"'Cause in this moment, I just feel so alive, alive, alive",0
I wish that I could have this moment for life,0
"I could have this moment, I could have this moment",0
"For life, for life",0
"I could have this moment, I could have this moment",0
"This is my moment, I just feel so alive",0
"I could have this moment, I could have this moment",0
"Alive, alive",0
"I could have this moment, I could have this moment",0
[Verse 2: Drake],0
"Yeah, yeah, yeah, uh",0
"What I tell 'em hoes? Bow, bow, bow to me, drop down to ya knees",0
"Young Money the mafia, that’s word to Lil' Cease",1
"I’m in The Dominican, Big Papi Ortiz",1
"Doing target practice, all these bitches just aiming to please",1
"Shout-out to the CEO, ""500 Degreez""",1
"Shout-out to the OVO,",1
"red wings and fatigues, oh",1
"Niggas wanna be friends, how coincidental",0
This supposed to be y'all year? We ain’t get the memo,0
"A young king, pay me in gold",1
40 got a bunch of weed he ain’t even roll,1
"These niggas be droppin' songs, they ain’t even cold",0
"Weezy on top and that nigga ain't even home, yet!",1
"Yeah, be very afraid",0
These other rappers getting bodied and carried away,0
"Fuck it, me and Nicki Nick gettin' married today",1
"And now you bitches that be hatin' can catch the bouquet, ooh",1
"Yeah, you a star in my eyes",0
"You and all them white girls, party of five",1
Are we drinking a lil' more? I can hardly decide,0
"I can’t believe we really made it, I’m partly surprised, I swear",0
"Damn, this one for the books, man",1
"I swear this shit is as fun as it looks, man",0
I’m really tryna make it more than what it is,0
"Cause everybody dies but not everybody lives, ah!",1
[Hook: Nicki Minaj],0
"I wish that I could have this moment for life, for life, for life",0
"'Cause in this moment, I just feel so alive, alive, alive",0
I wish that I could have this moment for life,0
"I could have this moment, I could have this moment",0
"For life, for life",0
"I could have this moment, I could have this moment",0
"This is my moment, I just feel so alive",0
"I could have this moment, I could have this moment",0
"Alive, alive",0
"I could have this moment, I could have this moment",0
[Bridge: Nick Minaj],0
"This is my moment, I waited all my life",0
I can tell it's time,0
"Drifting away, I’m one with the sunsets",1
I have become alive,1
[Hook: Nicki Minaj],0
"I wish that I could have this moment for life, for life, for life",0
"'Cause in this moment, I just feel so alive, alive, alive",0
I wish that I could have this moment for life,0
"I could have this moment, I could have this moment",0
"For life, for life",0
"I could have this moment, I could have this moment",0
"This is my moment, I just feel so alive",0
"I could have this moment, I could have this moment",0
"Alive, alive",0
"I could have this moment, I could have this moment",0
