line,annotated
[Intro: Drake],0
"Yeah, okay",1
"Lil CC on the beat, mmm",1
"Yeah, yeah",1
[Verse 1: Drake],0
"I mean, where the fuck should I really even start?",0
I got hoes that I'm keepin' in the dark,1
I got my niggas 'cross the street livin' large,1
Thinkin' back to the fact that they dead,1
Thought my raps wasn't facts 'til they sat with the bars,1
"I got two phones, one need a charge",1
"Yeah, they twins, I could tell they ass apart",1
I got big packs comin' on the way,1
I got big stacks comin' out the safe,0
"I got Lil Max with me, he the wave",1
It's a big gap between us in the game,0
"In the next life, I'm tryna stay paid",1
"When I die, put my money in the grave",1
[Chorus: Drake],0
"When I die, put my money in the grave",1
I really gotta put a couple niggas in they place,1
Really just lapped every nigga in the race,1
"I really might tat ""Realest Nigga"" on my face",1
Lil CC let it slap with the bass,1
I used to save hoes with a mask and a cape,1
"Now I'm like, ""Nah, love, I'm good, go away""",1
"Ain't about to die with no money, I done gave it",0
[Verse 2: Drake],0
I was on top when that shit meant a lot,0
Still on top like I'm scared of the drop,0
Still on top and these niggas wanna swap,0
Niggas wanna swap like it's Slauson or Watts,1
I don't wanna change 'cause I'm good where I'm at,0
"Mob ties, so I'm always good where I'm at",1
"Word to Junior, Jazzy, Baby J",1
"Tell 'em when I die, put my money in the grave",0
[Verse 3: Rick Ross],0
"Couple figures, killers call and collect (Collect)",0
"She fuck a nigga, then she on to the next (Next)",0
"Really livin' large, she in awe with a mack",0
When you niggas thinkin' small in the mall with a rat (Rat),1
Roll with us if you really wanna get it (Get it),0
Go get a half a million in the Sprinter (Sprinter),1
"Phone ringin', bitches know a big tipper (Tipper)",0
I got the hookup and there's really no limit (Limit),1
Dead broke is in you nigga DNA (DNA),0
Rickey Smiley's in Decatur with the yé,1
"Lil' nigga, just another state case",1
"Bury my motherfuckin' Chase Bank, time to bounce (Bounce)",1
Gotta count on my allowance (Gotta count on my allowance),0
You niggas snitches so I gotta reroute it (So I gotta reroute it),0
A nigga drippin' like I got a zillion dollars,0
Got the trap jumpin' like Zion when I rebound it,1
Then I'm out (Then I'm out),1
And I'll never talk about it (About it),0
"The homies quiet, but we all smoke the loudest (Loudest)",1
Rich niggas and I'm really bein' modest,1
"'Cause the way I do my deals, never treated like a artist",0
Want the house (House),0
You could DM my accountant,1
My per diem six figures and I'm countin',1
Nine figures was the goal 'til I hit it,1
"These niggas ain't livin', so bury mine with me",0
Ross got it (Maybach Music),1
[Chorus: Drake],0
"When I die, put my money in the grave",1
I really gotta put a couple niggas in they place,1
Really just lapped every nigga in the race,1
"I really might tat ""Realest Nigga"" on my face",1
Lil CC let it slap with the bass,1
I used to save hoes with a mask and a cape,1
"Now I'm like, ""Nah, love, I'm good, go away""",1
"Ain't about to die with no money, I done gave it",0
