line,annotated
[Intro: Bon Iver],1
I shoot the lights out,1
Hide 'til it's bright out,1
"Oh, just another lonely night",1
Are you willing to sacrifice your life?,1
[Intro Verse: Rick Ross],0
"Bitch, I'm a monster, no-good blood-sucker",1
"Fat motherfucker, now look who's in trouble",1
As you run through my jungles all you hear is rumbles,1
"Kanye West samples, here's one for example",1
[Chorus: Kanye West],0
"Gossip, gossip, nigga, just stop it",1
Everybody know I'm a motherfucking monster,1
I'ma need to see your fucking hands at the concert,1
I'ma need to see your fucking hands at the concert,1
"Profit, profit, nigga, I got it",1
Everybody know I'm a motherfucking monster,1
I'ma need to see your fucking hands at the concert,1
I'ma need to see your fucking hands,1
[Verse 1: Kanye West],1
"Uh, the best living or dead hands down, huh",1
"Less talk, more head right now, huh",1
And my eyes more red than the devil is,1
"And I'm 'bout to take it to another level, bitch",1
"No matter who you go and get, ain't nobody cold as this",1
"Do the rap and the track, triple double, no assists",1
And my only focus is staying on some bogus shit,1
"Arguing with my older bitch, acting like I owe her shit",1
I heard that people sing raps to give the track pain,1
Bought the chain that always give me back pain,1
"Fucking up my money so, yeah, I had to act sane",1
Chi nigga but these hoes love my accent,1
"Chick came up to me and said, ""This the number to dial",1
"If you wanna make your number one your number two now""",1
"Mix that Goose and Malibu, I call it ""Malibooyah""",1
"Goddamn, Yeezy, how he hit 'em with a new style?",1
"Know that motherfucker well: ""What you gon' do now?""",1
"Whatever I wanna do, gosh! It's cool now",1
"Know I'm gonna do, ah, it's the new now",1
Think you motherfuckers really really need to cool out,1
'Cause you'll never get on top of this,1
"So mommy, best advice is just to get on top of this",1
Have you ever had sex with a pharaoh?,1
"Ahh, put the pussy in a sarcophagus",1
Now she claiming that I bruised her esophagus,1
Head of the class and she just won a swallowship,1
I'm living in the future so the present is my past,1
"My presence is a present, kiss my ass",1
"[Chorus: Kanye West,",0
Jay Z,0
&,0
both,0
],0
"Gossip, gossip, nigga, just stop it",1
Everybody know I'm a motherfucking monster,1
I'ma need to see your fucking hands at the concert,1
I'ma need to see your fucking hands at the concert (Yeah),1
"Profit, profit, nigga, I got it",1
Everybody know I'm a motherfucking monster,1
(I'm a motherfucking monster),1
I'ma need to see your fucking hands at the concert,1
I'ma need to see your fucking hands,1
[Verse 2: Jay Z],0
"Sasquatch, Godzilla, King Kong, Loch Ness",1
"Goblin, ghoul, a zombie with no conscience",1
Question: What do these things all have in common?,1
Everybody knows I'm a motherfucking monster,1
"Conquer, stomp ya, stop your silly nonsense",1
"Nonsense, none of you niggas know where the swamp is",1
None of you niggas have seen the carnage that I've seen,1
I still hear fiends scream in my dreams,1
"Murder, murder in black convertibles,",1
I,1
"Kill the block, I murder the avenues,",1
I,1
"Rape and pillage your village, women and children",1
Everybody want to know what my Achilles' heel is,1
"Love, I don't get enough of it",1
All I get is these vampires and blood-suckers,1
All I see is these niggas I made millionaires,1
"Milling about, spilling they feelings in the air",1
All I see is these fake fucks with no fangs,1
Tryna draw blood from my ice-cold veins,1
I smell a massacre,1
Seems to be the only way to back you bastards up,1
[Chorus: Kanye West],0
"Gossip, gossip, nigga, just stop it",1
Everybody know I'm a motherfucking monster,1
I'ma need to see your fucking hands at the concert,1
I'ma need to see your fucking hands at the concert,1
"Profit, profit, nigga, I got it",1
Everybody know I'm a motherfucking monster,1
I'ma need to see your fucking hands at the concert,1
I'ma need to see your fucking hands,1
[Verse 3: Nicki Minaj],1
"Pull up in the monster, automobile gangsta",1
With a bad bitch that came from Sri Lanka,1
"Yeah I'm in that Tonka, color of Willy Wonka",1
You could be the king but watch the queen conquer,1
"Okay, first things first, I'll eat your brains",1
Then I'ma start rocking gold teeth and fangs,1
'Cause that's what a motherfucking monster do,1
"Hair dresser from Milan, that's the monster 'do",1
"Monster Giuseppe heel, that's the monster shoe",1
Young Money is the roster and a monster crew,1
"And I'm all up, all up, all up in the bank with the funny face",1
"And if I'm fake, I ain't notice 'cause my money ain't",1
"So let me get this straight, wait, I'm the rookie?",1
But my features and my shows ten times your pay?,1
"50K for a verse, no album out",1
"Yeah, my money's so tall that my Barbies got to climb it",1
"Hotter than a Middle Eastern climate, violent",1
"Tony Matterhorn, ""Dutty Wine"" it, wylin'",1
Nicki on them titties when I sign it,1
That's how these niggas so one-track-minded,1
"But really, really I don't give a F-U-C-K",1
"""Forget Barbie, fuck Nicki 'cause she's fake""",1
"""She on a diet,"" but my pockets eating cheesecake",1
"And I'll say, bride of Chucky, it's Child's Play",1
"Just killed another career, it's a mild day",1
"Besides, 'Ye, they can't stand besides me",1
"I think me, you, and Am should ménage Friday",1
"Pink wig, thick ass, give 'em whiplash",1
"I think big, get cash, make 'em blink fast",1
"Now look at what you just saw, this is what you live for",1
"Aaaah, I'm a motherfucking monster!",1
[Outro: Bon Iver],1
"I, I crossed the limelight",1
"And I'll, I'll let God decide",1
"And I, I wouldn't last these shows",1
"So I, I am headed home",1
"I, I crossed the limelight",1
"And I'll, I'll let God decide",1
"And I, I wouldn't last these shows",1
"So I, I am headed home",1
"I, I crossed the limelight",1
"And I'll, I'll let God decide",1
"And I, I wouldn't last these shows",1
"So I, I am headed home",1
"[Produced by Kanye West, Mike Dean & Plain Pat]",1
[Video directed by Jake Nava],1
