line,annotated
[Verse 1],0
Tell me who you been around,1
Tell me who you been around,1
"Tell me, tell me, tell me",1
If you can handle the heat then come over baby,1
"Yeah come over, no no",1
You can handle the heat then come over baby,1
", no",0
[Chorus],0
Playing myself and now I'm cold,1
"I, tried to forget but now I know",1
"You, let me down you just have to go",1
"Just, give me a reason to hold on",1
"Always, give me a reason to let go",1
"Tell me, if you know me then you know I know",1
"(Why? Why?) Love me baby, Am I not enough?",1
[Verse 2],0
Tell me where your mind is at 'cause,0
"I really, I really don't know no more, no more",0
"I care, I care about you but I might have to let you go",0
I don't wanna do this no more,0
I don't wanna do this no more,0
"'Cause you know, yeah it's you",0
"Feeling me, feeling you",0
And even when you're ever feeling lonely,0
"Yeah, you know what to do",0
I don't even know why or how (or how),0
I don't even know why or how,0
"But it's true, yeah yeah",0
[Chorus],0
Playing myself and now I'm cold,0
I,0
", tried to forget but now I know",0
You,0
", let me down you just have to go",0
Just,0
", give me a reason to hold on",0
Always,0
", give me a reason to let go",0
Tell me,0
", if you know me then you know I know",0
"Why? Why? Love me baby, am I not enough?",0
[Verse 3],0
"I, I, I, I, I tried to tell you, tried to tell you",0
I don't even need to try,0
I don't know why you keep hurting my pride,0
"Always leave me, yeah, wondering why, yeah",0
"I really, really need you by my side",0
Love me and your killing all my insides,0
"Take a minute, yeah, I take a minute",0
Going DB like I'm all up in it,0
"Don't try to deny me, I'll switch up",0
Give me a minute,0
All you do is take,0
All you do is burn,0
Take the pain away,0
Cry into the pillow,0
"I don't know her name but I see the vision, yeah",0
[Outro],0
"I want more yeah, yeah",0
"You give me more, yeah",0
"Yeah, yeah, I want more yeah",0
"Give me more, yeah",0
