line,annotated
[Chorus: Chance the Rapper],0
I'ma do my own thing,0
"I'm finna buy a ringtone, then let the phone ring",0
I decided that I gotta do my own thing,0
"Yeah, yeah, I just gotta do my own thing",0
Do my own thing,0
[Verse 1: Chance the Rapper],0
Please don't hit me in my DM,1
Promise that my BM gonna slide when she see 'em,1
I know she gonna see 'em 'cause I'm defa finna show her,1
"Take her to the culprit then I take her to the store (Yeah, yeah, yeah)",1
"She just like my personal space, got a circular waist",0
"Pull my shirt when she work, work, work, work, work",0
"If you work in my space, better keep that shit 'fessional",0
"I don't like to be bothered when I work, work, work, work",0
"Please leave me the fuck alone, new fiancée, that's my cologne",1
"Doin' too much and sayin' too much, that's how y'all ass end up alone",0
"I'ma just pimp off, you a send-off, I don't really ever like to get involved",0
"Got a baby, got a house, got in-laws, go and kick rocks",0
[Chorus: Chance the Rapper],0
I'ma do my own thing,0
"I'm finna buy a ringtone, then let the phone ring",0
"Just let it ring, ring, ring, let it ring, ring, ring, let it ring, ring, ring",0
I decided that I gotta do my own thing,0
"Yeah, yeah, I just gotta do my own thing",0
"Do my own thing, yeah",0
[Verse 2: Joey Purp (Chance the Rapper)],1
"Okay, don't mind if it don't pay me, it ain't my biz",0
How you gon' raise yo' voice?,0
"Gon' raise yo' money, won't raise yo' kids? (What?)",0
Bad little bitty in the city that I'm in (Yeah),0
"When I go and travel, I might have to take her with",0
"She say she like how the car stop, but the rims don’t",0
"Ain't wanna leave but I had to go, like Trey Songz",1
I was 18 with a '98 (Yup) sellin' 28s,1
"Now I'm 25, sellin' 16s (Yup), it's a hunnid ways",1
"My new girl a freak, she my type, she unique",0
"Make her sang when we bang, skeet, skeet, skeet, skeet",0
"Tell my ex it's a dub, that's a wop, that's unlikely",0
"Put a bustdown on my wifey, like Gucci Mane, so icy",1
[Chorus: Chance the Rapper],0
I'ma do my own thing,0
"I'm finna buy a ringtone, then let the phone ring",0
"Just let it ring, ring, ring, let it ring, ring, ring, let it ring, ring, ring",0
I decided that I gotta do my own thing,0
"Yeah, yeah, I just gotta do my own thing",0
"Do my own thing, yeah",0
