line,annotated
[Intro: Jerrod Carmichael],0
Sometimes you gotta close a door to open a window,1
"[Verse 1: Tyler, The Creator]",0
"I saw a photo, you looked joyous",1
"My eyes are green, I eat my veggies",1
I need to get her out the picture,1
She's really fuckin' up my frame,1
She's not developed like we are,1
"[Refrain: Tyler, The Creator]",0
"Like magic, like magic, like magic, gone",1
"New magic, new magic, new magic wand",1
"Like magic, like magic, like magic, gone (Nigga)",1
"New magic, new magic, new magic wand",1
"[Verse 2: Tyler, The Creator]",0
My brother said I'm on the spectrum,1
"Don't call me selfish, I hate sharin'",1
This 60-40 isn't workin',1
"I want a hundred of your time, you're mine",1
"[Chorus: Tyler, The Creator &",0
Santigold,0
],0
Please don't leave me now,0
Please don't leave me now (,0
Don't leave,0
),0
Please don't leave me now,0
Please don't leave me now (,0
Don't leave,0
),0
Please don't leave me now (,0
Don't leave,0
),0
"(Like magic, like magic, like magic, gone)",0
Please don't leave me now (I can make her leave),0
"(New magic, new magic, new magic wand)",0
Please don't leave me now (,0
Don't leave,0
),0
"(Like magic, like magic, like magic, gone)",0
Please don't leave me now,0
"(New magic, new magic, new magic wand)",0
"[Verse 3: Tyler, The Creator &",0
Santigold,0
],0
"I wanna be found, passenger in your car (Don't leave)",1
"You wanna be mean, mixed signals, don't park (I can make her leave)",0
"She's gonna be dead, I just got a magic wand (Don't leave)",1
We can finally be together,1
"[Bridge: Tyler, The Creator]",0
"You roll the dice, hit a seven, sure you right",1
"Beginner's luck, you not my first, who gives a fuck?",0
"Your other one evaporate, we celebrate",1
"You under oath, now pick a side and if you don't",1
"(Run, run, run, run)",1
I'll pick you both,1
"(Run, run, run, run)",1
"It's not a joke, murder she wrote",1
"[Verse 4: Tyler, The Creator]",0
"Ayo, take one look in the mirror, implications so clear",0
"I live life with no fear, except for the idea",0
That one day you won't be here,0
I will not fetch the ball,1
"Eyes are green, I eat my vegetables",1
It has nothin' to do with that broad,1
"But if it did, guarantee she'd be gone, well",0
"I got a plan, 'bout to walk in the pen",0
"If you can't understand, I'm a hawk in the gym",1
"Eyes on the prize, got weight on my chest",1
"That I need to get off, or I ain't talkin' to them",1
Can't be in the picture if it got no frame,0
Gon' let the world know 'cause I ain't got no shame,0
"Blow the whole spot up, 'cause I ain't–",1
"I wanna share last names, I wanna be your number one",0
"Not the other one, keep it on the low",0
"I'm in my right mind, keep it on a high",0
"Janis Joplin spillin' feelings, now I'm out here moppin' 'em",1
"Four on the floor, pack up your bags, we hit the store",1
"Grab our supplies, no need for masks, bust through the door",1
"Get the job done like retirement, I admit you look concerned",1
New magic wand,1
