line,annotated
[Intro],0
C'est Rémy,0
[Refrain],0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
[Couplet 1],0
"Hé, j'ai ton sang dans mes veines (",0
ouais,0
),0
"J'suis ton prince, t'es ma reine (",0
ouais,0
),0
"Ce son, il est pour toi",0
Il est pas pour ces ch...,0
"Pardonner, pardonner, tu m'as trop pardonné, t'as fini par m'donner (",0
ouh,0
),0
"Moi, j'faisais l'étonné parce que d'habitude, j'avais jamais c'que j'voulais",0
"Maman, j'sais pas pour nous comment ça va finir mais avant, j'veux plus voir tes pleurs, que ton sourire",0
"Pour l'instant, j'ai vu des larmes par centaines, si j'fais des efforts pour grandir c'est parce que j't'aime (",0
bah ouais,0
),0
J'vois qu'les années passent et tu t'rapproches déjà de la cinquantaine (,0
eh eh,0
),0
J'vois qu'les années passent et j'vous que papa a déjà la cinquantaine,0
"Enfermés dans un HLM, quand y'a pas l'ascenseur, tu prends l'escalier (",0
putain,0
),0
"Tu t'bousilles la santé, tu marches partout, pourtant, l'bonheur est sous tes pieds",0
"Pas d'prix pour ton beau sourire, quand tu vois la facture, j'veux plus ton soupir",0
"Toi, t'es pas comme ces racistes, toi, tu cohabites car aimer, c'est s'unir",0
(,0
ne me quitte pas,0
),0
On connaît que Lidl car vide est le portefeuille (,0
on connaît que Lidl car vide est le portefeuille,0
),0
"La vie, c'est une pute depuis qu'on d'vient un homme par le deuil",0
(,0
ne me quitte pas,0
),0
"Moi, j'veux m'en sortir car je jure que j'ai commencé avec rien",0
"J'pense pas à demain, aujourd'hui, t'es avec moi, donc partons loin",0
[Refrain],0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
Je n'veux pas dormir,0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
[Couplet 2],0
"Maman, t'es la meilleure, même si tu me criais dessus tous les quarts d'heure",0
"L'argent, donne à ta mère, elle t'a donné la vie, ça vaut plus que tout l'or",0
"Elle te dit ""reste avec moi"" et toi tu fais que d'lui dire ""ouais, ouais, 'taleur""",0
"Et quand tu claques la te-por, tu t'rends même pas compte de son malheur",0
"Maman, j'sais pas pour nous comment ça va finir, mais avant, j'veux plus voir tes pleures, que tes fossettes",0
"J'ai travaillé, travaillé dur, et pour voir ton sourire, j'crois que j'ai trouvé la recette",0
"Dans l'couloir, tu trépasses à 6 du mat' et j'viens d'commencer ma nuit",0
"Et moi, j'viens d'commencer ma vie, toi, tu travailles depuis près de 26 piges",0
"On a vécu dans HLM, même pas d'argent pour aller chez H&M",0
"Tu m'remettais ma couverture, donc dans le livre de ma vie, bah, tu s'ras mon thème",0
"Mieux vaut marcher que courir : si tu prends le temps, y'aura plus de souvenirs",0
Et j'rigolais un peu plus quand j'pensais que papa pouvait encore rev'nir,0
(,0
ne me quitte pas,0
),0
"J'pense qu'à aujourd'hui, car hier, c'est l'passé, demain, c'est loin",0
J'veux qu'tes yeux voient de beau horizons et pas de sales coins,0
(,0
ne me quitte pas,0
),0
"J'suis têtu en amour, mais pour toi, j'pourrais jamais l'être",0
Jamais j'aimerai une femme plus que celle qui m'a fait naître,0
[Refrain],0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
"Maman, je n'veux pas dormir",0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
Je n'veux pas dormir,0
"Ne me quitte pas, ne me quitte pas",0
"On a du ch'min, c'est encore loin",0
