line,annotated
"[Letra de ""Ni De Oro Ni Goldfield""]",0
[Verso],0
"Entro con serenidad, también con la mortalidad de un cáncer",0
"Prendas, apariencias, vestimentas, no hacen a un hip-hopper",1
Mis primeras rimas escupidas en esquinas,1
Hoy en día son poesías esculpidas en tarimas,1
"Dedos señalándome, lenguas criticándome",0
"Espada brindándome, obtusos envidiándome",0
"Buenos oyentes conmigo, apoyo de mis amigos",0
Se amoldan al filo del odio del enemigo,0
"Son balas, egos, humos, estos para mí que eres de ignorantes versos",0
"Prosas, rimas, coplas son las bases de un cantante",1
Un tabaco no hace que un sapo se vuelva un capo,0
Y un revólver no hace que un muchacho se haga un macho,0
"Tantas cosas aprendidas, cosas olvidadas",1
"Seres queridos se han ido en cuerpo, pero nunca en alma",1
Esperanzas y enseñanzas me hacen fuerte,0
A veces odio esta vida aunque temo a la muerte,1
"Clones, impostores, imitaciones de hampones",1
Que se creen mejores en sus canciones ¡Todos mienten!,1
Yo ejercito solamente el machete y la mente,1
Porque sólo los débiles quieren siempre cuerpos fuertes,1
"Vivo entre sonrisas, llantos, alegrías, despechos",1
Busco sonreír cuando me siento insatisfecho,1
"No creo en religiones, oraciones ni supersticiones",1
Creo en lo que veo y callo si no hallo explicaciones,1
"Dinero me falta, talento me basta",0
"Y si la salud me basta, nada más me va a hacer falta",1
La pereza y terquedad: algunos de mis defectos,0
"Sinceridad, humildad: algunos de mis talentos",0
Y si algo de lo que digo sonó presumido,1
No fue ego sino verdad que duele en ciertos oídos,1
"Causo inspiración, conmoción en el montón",0
Yo causo odio en los que se creen más de lo que son,0
Los primeros se identifican con mi canción,1
Los segundos me odian; los hago sentir inferior,1
"Yo no quiero títulos, esto pa' mí no es torneo",0
La mano arriba del público: ése es mi único trofeo,0
Malandreo veo en mi barrio a diario,1
Pero yo soy lo que soy y no lo que me exige el Diablo,1
¿Competencia? Es un punto secundario,0
Decir la verdad es primario en mi hip-hop es necesario,0
"No quiero ser ídolo, yo no quiero súbditos",1
Disfruto cada segundo cual si fuera el último,0
No creo en el destino porque yo creo mi destino,1
Consigo típicos obstáculos en mi camino,0
Corrijo erráticos pretéritos de MCs mezquinos,1
Prefiero ser músico clásico antes que asesino,1
"Es Can, y no Místico; de flow explícito",1
Pacífico en mi físico; letal en lo lingüístico,1
"Como Da Vinci, artístico; único en cada átomo",1
Sólo que yo uso un micro para hacer mis clásicos,1
Sismos derriban mentes en mi metabolismo,0
"Yo amo la esencia, odio el racismo amo el respeto, odio el egoísmo",1
Pero más desprecio a quien solamente se ama a sí mismo,1
[Coro],0
Mi descripción es lo que puedes escuchar de mí,1
"Ni más ni menos, ni de oro ni goldfield",1
"Mi descripción, lo que puedes escuchar de mí",1
"Ni más ni menos, ni de oro ni goldfield, y'all",1
,1
Mi descripción es lo que puedes escuchar de mí,1
"Ni más ni menos, ni de oro ni goldfield",1
Mi descripción es lo que puedes escuchar de mí,1
"Ni más ni menos, ni de oro ni goldfield, yo",1
[Outro],0
Desde el pasado sabía que en el presente se veía el futuro...,1
Lo juro...,1
