line,annotated
[Intro],0
Ditty Beats let's go,1
[Chorus: Teddy],0
"I be in your nightmares, yeah",0
Been drinking I can't see clear,0
I'm so sorry all your dreams are coming true,0
Hit the lights (hit the lights),0
"Let it brew, make a move",0
I be in your nightmares (yeah),0
Been drinking I can't see clear,0
I'm so sorry all your dreams are coming true,0
Hit the lights (hit the lights),0
"Let it brew, make a move (yeah)",0
[Verse 1: Teddy],0
"Yeah make a move, it is true, I need you (I need you)",0
"Take a trip, marlboro lights, catch a move",0
I need a piece of the vibe just to go to an island so I can take you,0
"Picking my cup just to kill the cough that I just got from my diamonds, a flu (is it you)",0
"Is it you, is it me? (is it me, is it me)",0
"Hop in the Ghost, so lets take a ride (yeah)",0
Two hands up in the sky,0
And I cannot lose all my lucky charms,0
"Think I'm riding the foreigns, from dawn to dawn",0
Bitch I'm a real don,0
Eating that pussy like cinnabon,0
I do not need this life (no),0
I do not need it (no),0
She's too conceded (yeah),0
I do not need it,0
I do not need this life (no),0
I do not need it (yeah),0
Diamonds they jump in my eyes,0
I just can't see it,0
[Chorus: Teddy],0
"I be in your nightmares, yeah",0
Been drinking I can't see clear,0
I'm so sorry all your dreams are coming true,0
Hit the lights (hit the lights),0
"Let it brew, make a move",0
I be in your nightmares (yeah),0
Been drinking I can't see clear,0
I'm so sorry all your dreams are coming true,0
Hit the lights (hit the lights),0
"Let it brew, make a move",0
[Verse 2: Lil Peep],0
"I could be your nightmare, I could be your dream",0
"I could be your fantasy, sometimes I could be mean",0
"Sometimes I could be nice, sometimes I bring the rice",0
"Sometimes I got my ice on, but baby not tonight",0
"I just caught a fight, I just got off my flight",0
"You should get a life boy, you should get your wife",0
"She just want the pipe, she know that I'm right",0
"She don't wanna fight nah, I think I found my type, yeah",0
[Bridge: Teddy],0
I do not need this life,0
I do not need it,0
She's too conceded,0
I do not need it,0
I do not need this life,0
I do not need it,0
Diamonds they jump in my eyes,0
I just can't see it,0
[Chorus: Teddy],0
"I be in your nightmares, yeah",0
Been drinking I can't see clear,0
I'm so sorry all your dreams are coming true,0
Hit the lights (hit the lights),0
"Let it brew, make a move",0
I be in your nightmares (yeah),0
Been drinking I can't see clear,0
I'm so sorry all your dreams are coming true,0
Hit the lights (hit the lights),0
"Let it brew, make a move",0
