line,annotated
[Intro],0
"Two-door coupe, hoppin' out like Jack-in-the-Box, nigga",1
"I'm gon' shoot if this 30's all that I got, nigga",1
[Verse 1],1
Time's up,0
"Got my coins up, my bars up, soon we find 'em",0
"We gon' slide 'em, we lined 'em, straight reclined 'em",0
"Pistol grip, I got all kinds of, I'm not your driver",0
"Shot gon' hit him, he won't answer, I'm blowin’ ganja",0
"So much work, they call me old school, I remind ya",0
"That bitch you think you got is not you, where you find her?",0
"She a kickstand, a big fan, I get behind her",0
"Then I slid it in, I win, I win, ayy",0
[Refrain],0
I mean that's bitch shit,0
"Faking like you got it in your pockets, yeah, that's bitch shit",0
"Talking to them hoes, you steady gossip, yeah, that's bitch shit",0
"Telling on your mans so you can scram, yeah, that's bitch shit",0
"Pull it out and acting like it jam, yeah, that's bitch shit",0
"Hating on another nigga come-up, yeah, that's bitch shit",0
"Staying in because you know it's summer, yeah that's bitch shit",1
"You a bitch boy, on my mama, uh",0
[Verse 2],0
"Okay, let's get it, bitch, let's get it, woo",0
"Got a plan, we gon' kill his man",0
"The gun won't jam, it's on on sight",1
"I might get life, that's on my life",0
"The .44 fire, the goal green light",0
"To build that price, it filled up nice",0
The god won't die,0
"Okay, let's get it, bitch, let's get it, woo",0
"See no flaws, in my purest form, bitch, I'm greedy, uh",0
"Goyard tags, filled with hella cash, this my gimme bag",0
"Zeroes add, we don't do no class, nigga, nine subtract, ayy",0
[Chorus],0
"Two-door coupe, hoppin' out like Jack-in-the-Box, nigga",1
"I'm gon' shoot if this 30's all that I got, nigga",1
"Y'all on mute, ain't no back-talk on my block, nigga",0
"Numb numb juice to the head, fuck up the opps, nigga",1
"Two-door coupe, hoppin' out like Jack-in-the-Box, nigga",1
"I'm gon' shoot if this 30's all that I got, nigga",1
"Y'all on mute, ain't no back-talk on my block, nigga",0
"Numb numb juice to the head, fuck up the opps, nigga",1
[Outro],0
"CrasH Talk, take two",1
