line,annotated
[Intro: BlocBoy JB],0
"Hah, word",0
"Simi, load that fuckin' semi",0
"Hey (hah), hey (yeah)",0
[Chorus: BlocBoy JB],0
"Bitch, I ain't with none of that shit (none of that)",0
"Bitch, I ain't with none of that shit (none of that)",0
"Bitch, I ain't with none of that shit (word)",0
"Bitch, I ain't with none of that shit (none of that)",0
The chopper turn you to a runnin' back bitch (grrah),0
Bitch fuck your clique and go run with that bitch (doon doon doon),0
I fucked your bitch and you sprung off that bitch (word),0
You ran on my clique and I sprung on that bitch (that's on my mama),0
(,0
"Tay Keith, fuck these niggas up",0
),0
"Ho, better not say no more (what)",0
"Bitch, get me some 'gars from the store (go)",0
"You did the set, cool, say no more (no)",0
I lay you down like a welcome mat ho (word),0
"Congratulations, you're welcome, you ho (ho)",0
In the air like a UFO (in the air),0
I'm pulling cards like it's Yu-Gi-Oh,1
How you a gangster on cruise control? (word),0
"Talking 'bout guns, I got two of those (two)",0
Bless him like somebody blew a nose,0
I clean shit up like it's poop control (poop control),0
Hundred drum up his nose (whoa),0
"Keep a pole, more paper than a pour",0
"Say he want beef, it's a go",0
"Lock and load, let's go to they hood and post (doon doon doon)",0
"Where they at, let me just find out",0
All I need is a hideout (word),0
I'ma pull up in some drive out,0
[Verse 1: BlocBoy JB],0
"Skrrt skrrt, it's a race (ayy it's a race)",0
"I can't hit your blunt 'cause it might just be laced (might be laced, huh)",0
"And I can't fuck your bitch unless I get some face, huh (I get some face, huh)",0
I hate a worrisome ass ho askin' for favors (what?),0
"I be smokin' on loud, just woke up the neighbors (gas)",0
I'm in your house like I do your cable (cable),0
"Snitched on your man, boy you is a traitor (word)",0
Slam a nigga like dominoes on a table,0
"Sunday we pray for C, not for savior (huh?)",0
"DOA, that's first degree, can't save you (murder)",0
I'm totin' shit like I'm Mater (Mater),1
"2017, made The Fader (Fader)",0
"Ballin' on niggas like Lakers (Lakers),",1
I call up Ben for a fade up (later),0
"Chopper will spin you around, 360, we gettin' these waves up (spin around, spin around)",0
She didn't want you so you raped her (raped her),0
Call you a plate 'cause you ate her (you ate her),0
"Fuck a fourth of the lean, pour an eight up (word)",0
She give me head 'til she get her lil grades up,0
[Chorus: BlocBoy JB],0
"Bitch, I ain't with none of that shit (none of that)",0
"Bitch, I ain't with none of that shit (none of that)",0
"Bitch, I ain't with none of that shit (word)",0
"Bitch, I ain't with none of that shit (none of that)",0
The chopper turn you to a runnin' back bitch (grrah),0
Bitch fuck your clique and go run with that bitch (doon doon doon),0
I fucked your bitch and you sprung off that bitch (word),0
You ran on my clique and I sprung on that bitch (that's on my mama),0
(,0
"Tay Keith, fuck these niggas up",0
),0
"Ho, better not say no more (what)",0
"Bitch, get me some 'gars from the store (go)",0
"You did the set, cool, say no more (no)",0
I lay you down like a welcome mat ho (word),0
"Congratulations, you're welcome, you ho (ho)",0
In the air like a UFO (in the air),0
I'm pulling cards like it's Yu-Gi-Oh,0
How you a gangster on cruise control? (word),0
"Talking 'bout guns, I got two of those (two)",0
Bless him like somebody blew a nose,0
I clean shit up like it's poop control (poop control),0
Hundred drum up his nose (whoa),0
"Keep a pole, more paper than a pour",0
"Say he want beef, it's a go",0
"Lock and load, let's go to they hood and post (doon doon doon)",0
"Where they at, let me just find out",0
All I need is a hideout (word),0
I'ma pull up in some drive out,0
[Verse 2: Lil Pump],0
"We been had your wife, man, we don't want your bitch (ooh)",0
"You sippin' on Karo, we sip Actavis (chill)",1
Don't need no lights for my bust down to hit (huh?),0
I got like three pinky rings on my fist (goddamn),0
Kick a bitch out of my house (ooh),0
Kick her ass out because she came with mid (chill),0
Me and Bloc just gave your grandma a brick (huh?),0
"Your bitch pussy dirty, it smellin' like fish (ooh)",0
"Ooh, we ain't with none of that ho (huh?)",0
"I don't drink water, bitch I only pour fours (yeah)",1
I be gettin' like a hundred bands for a show (ooh),0
I just smashed eight hoes in a row (chyeah),0
"Auntie pregnant, smokin' on dope (damn)",0
And I got a bad bitch sniffin' on coke (huh?),0
Could've bought a house but I went and bought a boat (boat),1
I'm so rich but I still want more (more),0
"I was on house arrest, poppin' on pills (pills)",1
Now Lil Pump worth like ten mil (yeah),1
"Got a lot of ice on my chains, it's real (wow)",0
Sippin' on Wock with Dr. Phil (ooh),0
Can't buy a pint if the bitch ain't sealed (nope),0
Got your wife booted in Beverly Hills (yeah),0
"Try to come in my house, get your ass killed (killed)",1
"I'm on molly, all my pints just spilled (yeah, ooh)",0
[Chorus: BlocBoy JB],0
"Bitch, I ain't with none of that shit (none of that)",0
"Bitch, I ain't with none of that shit (none of that)",0
"Bitch, I ain't with none of that shit (word)",0
"Bitch, I ain't with none of that shit (none of that)",0
The chopper turn you to a runnin' back bitch (grrah),0
Bitch fuck your clique and go run with that bitch (doon doon doon),0
I fucked your bitch and you sprung off that bitch (word),0
You ran on my clique and I sprung on that bitch (that's on my mama),0
(,0
"Tay Keith, fuck these niggas up",0
),0
"Ho, better not say no more (what)",0
"Bitch, get me some 'gars from the store (go)",0
"You did the set, cool, say no more (no)",0
I lay you down like a welcome mat ho (word),0
"Congratulations, you're welcome, you ho (ho)",0
In the air like a UFO (in the air),0
I'm pulling cards like it's Yu-Gi-Oh,0
How you a gangster on cruise control? (word),0
"Talking 'bout guns, I got two of those (two)",0
Bless him like somebody blew a nose,0
I clean shit up like it's poop control (poop control),0
Hundred drum up his nose (whoa),0
"Keep a pole, more paper than a pour",0
"Say he want beef, it's a go",0
"Lock and load, let's go to they hood and post (doon doon doon)",0
"Where they at, let me just find out",0
All I need is a hideout (word),0
I'ma pull up in some drive out,0
