line,annotated
[Intro: Taco],0
"Yo, shout out to everybody that worked on the album, you feel me, son?",0
"Yo, shouts out to Ty Dollas",1
"Shouts out to Hodgy Daddies, shouts out to Left Brizzle",0
"Shouts out to Domyen, shouts out to Frankie Ocean",0
"Shouts out to Syd the Dude, shouts out to L-Boy, awwwwk",0
I told you,0
"[Verse 1: Tyler, the Creator]",0
The big eared bandit is tossin' all his manners,0
In a bag and wrappin' them in Saran wrap bandages,1
Tossin' 'em in baskets with the rest of those sandwiches,1
"So when he says, ""Catch up, nigga,"" it looks like an accident",1
"Um, flowing like my pad is the maxiest",1
My bitch white and black like she's been mimicking a panda,0
"It's the dark skinned nigga, kissing bitches in Canada",1
Then kicking all out like Mr. Lawrence did Pamela,1
Put her in the chamber all against her Wilt Chamberlain,1
"I never had a Reason, nigga, I was just Ableton",1
Not a fucking Logic contradicting dick head,1
(Logic),0
Flyer than an ostrich moshing in a tar pit,1
Semen-scented cheetah printed tee,0
"In that 'Preme five panel,",1
I'll repeat it for the season,0
Previous items in the present,0
With the normal-ass past like I cheated on my team,0
"It's me (Tried to get that nigga, but, Golf Wang see, he did come back though)",0
[Verse 2: Hodgy],0
To have some type of knowledge that is one perception,0
But knowin' you own your opponent is a defeatin' bonus,0
"I'm Zeus to a Kronos,",1
cartilage cartridge is boneless,1
"Smiles of cowards in lead showers,",1
dead spouses in red blouses,0
Children who fled houses on Mustang horses and went joustin',0
"I'm on my Robin Hood shit, robbing in the hood",0
"Whips, drugs, jewels and your pet, I'm stealin' your rims",0
"Coke diamonds and your Vette,",0
soldiers lace the fuckin' boot,1
"And salute like the troop, when they shoot, you gon' brrrooop",0
"It's KILLHodgy,",1
"nigga, stay the fuck off my stoop",1
"And out my Kool-Aid, Juice",0
[Verse 3: Left Brain],0
"Whats up, bitch?",0
"Hodgy got the juice, I got the gin",1
"Jasper got the Henny, my nigga, we get it in",1
Wolf Gang party at the hotel,1
"I call a ho, you call a ho, and all the hoes tell",0
You know Left Brain need a freak (Yeah),0
I need a bitch to go down like a Nitty beat,0
"Yup, uh, and her ass fat",0
Don't be surprised if I ask where the hash at,0
"Nigga, I'm tryna smoke, bitch, get higher (What up, what up, what's up, smoke)",0
"Domo, where that Flocka Flame? Talking 'bout a lighter",1
Still bang salute me or just shoot me,1
'Cause if you don't salute me then my team will do the shooting,1
"Yeah, my nigga Ace will pull the black jack",1
The king Mike G is in the cut with the black mac,1
"We like the mafia, bitch, don't get to slacking up",1
"And if these haters acting up, throw 'em in the aqueduct",1
"Free my nigga Earl,",1
"yo, I don't really ask for much",0
But two bad bitches in front of me cunnilingus,0
[Verse 4: Mike G],0
(We out here),0
What the fuck is caution?,0
"Often I leave 'em flossing in KAWS,",1
exes next to coffins,1
"Lost in translation, the dreams you chase",0
Got you diving for the plates like you stealing home base,1
"That's great, I'm home alone dreaming of two on ones",0
"With Rihanna and Christina Milian, bring it on",0
And Travis is in the closet organizing and hanging the tramp,1
Three lettermans that Ace has been making him,1
"No strays while we catching matinees, huh?",0
I'm getting blazed thinking 'bout those days,1
I had the top off the GT3 like toupees,1
"One finger in the air,",1
all's fair when crime pays,0
My grand scheme of things,0
is to be attached,1
To the game like bitches to their wedding rings,1
And you don't even need to look 'cause we gleam obscene,1
"In the light, ride slow to my yellow diamond shining",0
"Like the Batman logo over Gotham, rock LA to Harlem",0
"If you say, ""Get 'em, Mike G,"" then I got 'em",1
"One man squadron, nigga, I'm a problem",0
"From Briggs, I got bars",0
and plans to,1
Pimp these Polish bitches into pop stars,1
"Humanity kills, we all suffer from insanity still",0
And if I said it then it is or it's gonna be real,1
"OF 'til I OD and I probably will, uh",1
[Verse 5: Domo Genesis],0
"It's still Mr. Smoke-a-Lotta-Pot, get your baby mommy popped",0
"With my other snobby bop, do I love her? Probably not",0
Know your shit is not as hot as anything I fuckin' drop,0
"Bitch, I'm in the zone,",0
"stand alone, like Macaulay Cock",1
I've been runnin' blocks since a snotty tot,0
Big wheel was a big deal with the water Glocks,1
"Now I'm all grown,",0
"same song, just a different waltz",1
"Fire what I talk, but still cooler than an Otter Pop",0
"Op, Dom next shit in your wish list",0
"Mad sick shit, mad dick for your bitches",0
"On some slick shit, your mistress on my hit list",0
And I'm lifted 'til I'm stiff outta this bitch,1
Odd in your motherfuckin' area (Motherfuckin' area),0
Blood clots give me five feet 'fore I bury ya,0
('Fore I bury ya),0
"Suicide flow, let the big wave carry ya",0
"(Suicide flow, let the big wave carry ya)",0
Tyler got the mask like he held Jim Carrey up,0
"And fuck your team, ho, nigga, wassup? (Wassup?)",0
Wolf Gang so you know we not givin' no fucks,0
"You know me dog, I'm a chill in the cut",0
"So I can cut it short, break it down, couple pounds, roll it up",0
[Interlude: Frank Ocean],0
Get me a Persian rug where the center looks like Galaga,1
"Right, right",0
[Verse 6: Frank Ocean],0
Rent a super car for a day,1
"Drive around with your friends,",1
smoke a gram of that haze,0
"Bro, easy on the ounce, that's a lot for a day",0
"But just enough for a week, my nigga, what can I say?",0
"I'm high and I'm bi, wait, I mean I'm straight",1
"I'ma get you this wine, the runner just brought the grapes",0
"My brother give it some time, Morris, and Day",1
Course you know the vibe's just as fly as the rhymes,1
"On the song, cut and you could sample the feel",1
"Headphone bleed, make this shit sound real",0
"Used to work the grill, Fatburger and fries",1
Then I made a mil' and them psychics was liars,0
"Now, how many fucking crystal balls can I buy and own?",0
Humble old me had to flex for the folks,0
Down in Muscle Beach pumping iron and bone,0
Bumping oldies off my cellular phone,1
"Yeah, bumping oldies off my cellular phone",1
Bumping oldies off my cellular phone,1
[Interlude: Jasper Dolphin],1
"Goddammit, rapping is stupid and it's hard",1
Gotta do it over and over and over again but here it go,1
[Verse 7: Jasper Dolphin],1
"Hey, it's Jasper, not even a rapper",1
Only on this beat to make my racks grow faster,1
"Got a TV show, so I guess I'm an actor",1
"Pot head, half-baked, lookin' like Chappelle",1
Rollin' up a blunt with that fire from hell,1
(Woo),0
"Still ignorant, still hit a bitch",1
(Wow),0
"Wolf Gang, nigga, so I still don't give a shit",1
(Woo),0
Catch me in the back with Miley's on my lap,1
(Shit),0
Bong rips as I feel on that little bitch cat,1
(Cat),0
[Interlude: Jasper Dolphin &,0
Earl Sweatshirt,0
],0
"Hah, nigga came through with a 9-bar real quick",0
"Just for the bitches, little bit of money in my pocket",0
"Fuck it, Wolf Gang",0
"Yeah, fuck that",0
[Verse 8: Earl Sweatshirt],1
"Look, for contrast, here's a pair of lips",1
Swallowin' sarapin,1
and settin' fire to sheriff's whips,0
"(Whoops, whoops!)",1
Fuckin' All-American terrorist,0
Crushin' rapper larynx to feed 'em a fuckin' carrot stick,0
And me? I just spent a year Ferrisin',1
And lost a little sanity to show you what hysterics is,1
"Spit 'til the lips meet the bottom of a barrel,",1
so that sterile piss,1
Flow remind these niggas where embarrassed is,1
"Narrow, tight line, might impair him since",0
"I made it back to Fahrenheit,",1
grimey get dinero type,1
"Feral, fuckin' ill-apparel-wearin' pack of parasites",1
