line,annotated
[Intro : Lartiste],0
"Oh, oh, oh, oh, oh",0
It's a NuDeal shit,0
"C’est Lartiste, baby, hey",0
Eva Queen,0
[Couplet 1 : Lartiste],0
"Chérie, t'inquiète, j'suis ton grand frère",0
Il fait l’gangster mais je vais le faire,0
J'veux pas t'voir souffrir à long terme,0
T'es ma p'tite sœur et ça m'concerne,0
"Ça, c'est le sang d'la veine",0
Fais gaffe à tous ces hommes qui n’en sont pas,0
"Au début, ils sont mignons, ils sont sympas",0
"Ils jouent bien de la flûte mais ça compte pas,non ça compte pas",0
[Pré-refrain : Eva],0
"Et rien qu’il m'emboucane,",0
il m’fait le philosophe,1
Il m'dit qu'avec moi c'est pas comme les autres,0
"Et rien qu’il m'emboucane,",0
il m'fait le philosophe,1
Il m'dit qu'avec moi c'est pas comme les autres,0
[Refrain : Eva],0
"Reste avec tes folles, avec tes folles",0
T'as pris le seum et tu t'agites,0
"Moi, je décolle, moi je décolle",0
Tu fais l'voyou mais t'es un fragile,0
"Moi, j'suis on fleek, on fleek",0
J'ai plus l'temps pour qu'on s'explique,0
"J'suis là pour grandir, vas-y, critique",0
"J'ai mon objectif, j'ai ma famille et j'suis portée par ma team",0
[Post-refrain : Eva],0
"J'entends des ""bla-bla-bla"", lalala",0
"Pour ça, j'suis pas là, là, là, là, là",0
Arrête tes sala-la-la-la-la-lades,0
Tu kiffes trop la mala-la-la-la-la,0
[Couplet 2 : Eva],0
"Et là j'ai pas l'temps, je suis avec Lartiste baby",0
Et bizarrement il veut m'récupérer,0
"Les mecs comme lui, nous, on les connaît",0
"Reste avec tes grosses folles, t'es bon qu'à zoner",0
"Mon gars, t'es tanqué, tanqué tanqué",0
"Tu m'as vu monter, monter, monter",0
"Tu viens par intérêt, tu crois que tu vas banquer",0
"T'es plein de ""bébé, tu m'as manqué""",0
[Pré-refrain : Eva],0
"Et rien qu'il m'emboucane,",0
il m'fait le philosophe,1
Il m'dit qu'avec moi c'est pas comme les autres,0
"Et rien qu'il m'emboucane,",0
il m'fait le philosophe,1
Il m'dit qu'avec moi c'est pas comme les autres,0
[Refrain : Eva],0
"Reste avec tes folles, avec tes folles",0
T'as pris le seum et tu t'agites,0
"Moi, je décolle, moi je décolle",0
Tu fais l'voyou mais t'es un fragile,0
"Moi, j'suis on fleek, on fleek",0
J'ai plus l'temps pour qu'on s'explique,0
"J'suis là pour grandir, vas-y, critique",0
"J'ai mon objectif, j'ai ma famille et j'suis portée par ma team",0
[Post-refrain : Eva],0
"J'entends des ""bla-bla-bla"", lalala",0
"Pour ça, j'suis pas là, là, là, là, là",0
Arrête tes sala-la-la-la-la-lades,0
Tu kiffes trop la mala-la-la-la-la,0
[Pont : Lartiste],0
"Tous les mêmes, tous les mêmes",0
"Ils sont pas on fleek, ils sont pas dans l'thème",0
"Ouais, c'est Eva Queen et Lartiste, babe",0
"Ça, c'est le sancho, c'est le sang d'la veine",0
"Tous les mêmes, tous les mêmes",0
"Ils sont pas on fleek, ils sont pas dans l'thème",0
"Ouais, c'est Eva Queen et Lartiste, babe",0
"Ça, c'est le sancho, c'est le sang d'la veine",0
[Post-refrain : Eva],0
"J'entends des ""bla-bla-bla"", lalala",0
"Pour ça, j'suis pas là, là, là, là, là",0
Arrête tes sala-la-la-la-la-lades,0
Tu kiffes trop la mala-la-la-la-la,0
