line,annotated
[Intro: Missy],0
"Ooh, I don't want I don't need I can't stand no minute man",0
I don't want no minute man,0
"Ooh, here's your chance be a man take my hand understand",0
I don't want no minute man,0
[Verse 1: Missy],0
"Boy I'mma make you love me, make you want me",0
"And I'mma give you some attention, tonight",0
"Now follow my intuitions, what you're wishing",0
"See I'mma keep you all night, for a long time",0
Just start counting the ways,0
[Hook],0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no",0
[Verse 2: Missy],0
"Tonight I'mma give it to you, throw it to you",0
"I want you to come prepared, ohhh yeah",0
"Boy it's been a long time, a crazy long time",0
"And I don't want no minute man, and that's real",0
Give it to me some more,0
[Hook],0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no",0
[Verse 3: Jay-Z],1
Fifty grand I get this on one take (Hova),1
"Look, I'm not trying to give you love and affection",0
I'm trying to give you sixty seconds of perfection,1
I'm trying to give you cabfare and directions,0
"Get your independent ass out of here, question",1
"I'm not your man, not Ralph Tresvant",1
"Not Ronnie Romance, no ma",1
I'm tryna hit you then quit you in the middle of the round,1
"Like I'm Roberto Duran, no mas",1
Six A.M. another chick in the house put your hands up,1
"6:15 another chick kicked out, put your hands up",1
Spend one minute tryin to dig her out,0
The other fourteen tryin to put it in her mouth,1
"The dick too chubby, too much'll make you love me",0
Now be a nice wifey and run home to your hubby,0
Cause we both know what we doing is wrong,0
Don't forget to put your ring back on,0
[Missy],0
"Ooh, I don't want I don't need I can't stand no minute man",0
I don't want no minute man,0
"Ooh, here's your chance be a man take my hand understand",0
I don't want no minute man,0
[Hook],0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, show me what you got",0
"Cause I don't want, no one minute man",0
"Break me off, break break me off",0
"Break break me off, show me what you got..",0
"Break me off, show me what you got..",0
"Break me off, show me what you got..",0
"Break me off, show me what you got..",0
"Break me off, break break me off",0
