line,annotated
[Verse 1],0
"Yeah, yeah, yeah",0
"Yeah, yeah, yeah, yeah, yeah",0
"IAMDDB, 'cause I keep it G, yeah, yeah",0
"Put that bitch in the soil, cocaina in the foil",0
"Take your bitch, I'ma suck her in yeyo",0
"Another mill, another Quelo, ey",0
"I'ma take you, I'ma take you",0
Don't mess around ima replace you,0
With money and power and bitches,0
"I don't give a fuck, you on my hit-list",0
"Take your bitch, take your wife, take your business",0
"Yeah, yeah",0
[Chorus],0
Like who this little nigga pushin' way up?,0
I got mils to make you prices you can't pay up,0
"Like ooo, collectin' on my pay checks",0
"Like ooo, I can see you through my Ray Bans",0
"Like ooo, oh you think, you think I'm thinkin' 'bout you",0
"DDB could kill you once but I'ma kill you twice, yeah",0
"Roll my weed, keep my bitch is a main plan",0
"If you gon' fuck with me you in it, we finesse it like",0
"Yeah yeah, cut a throat, maybe 2 maybe more",0
I don't really know but I gotta go,0
"Operation, operation, take your bitch on vacation",0
"Don't need a hoe, I can't save you",0
They don't like what they tastin',0
"No samples, no fake shit",0
[Verse 2],0
I can see you through the faces,0
"Got that Hendrix in my car, Purple rain in my blood",0
"Got the feature, more like I'm the plug, you won't see me in the clubs",0
"Wavy, wavy, wavy baby, I get careless, cautious and crazy",0
"Give a fuck, you can never replace me, even God can't save me",0
"Neither Robb can save me, neither Jeffery or Richard or Nathan",0
"'Cause I been movin' crazy, yeah, smokin' daisies in my doobies, yeah",0
"Is it the money, or is it the bitches? Either way I get both",0
"Can't hit me up, you fuck with the snitches",0
"Can you take it, take it, take it? You finna fake it till you make it",0
"'Cause I be on so much crud, finna make it",0
[Chorus],0
Like who this little nigga pushin' way up?,0
I got mils to make you price that you can pay up,0
"Like ooo, collectin' on my pay checks",0
"Like ooo, I can see you through my Ray Bans",0
"Like ooo, oh you think, you think I'm thinkin' 'bout you",0
"DDB could kill you once but I'm gon' kill you twice, yeah",0
"Roll my weed, keep my bitch is a main plan",0
"If you gon' fuck with me you in it, we finesse it like",0
"Yeah yeah, cut a throat, maybe 2 maybe more",0
I don't really know but I gotta go,0
"Operation, operation, take your bitch on vacation",0
"Don't need a hoe, I can't save you",0
They don't like what they tastin',0
"No samples, no fake shit",0
[Outro],0
No more fake shit,0
No more beggin',0
I movin' brazy,0
"Yeah ya, I movin' brazy",0
"Yeah ya, fuckin' crazy",0
"Yeah lil bitch, lil bitch",0
Don't you fuckin' snitch,0
