line,annotated
[Couplet 1],0
C'est vrai qu'on se ressemble,1
Sur lui je prends exemple,0
Une étoile montante qu'on ne peut pas descendre,0
Parfois stricte mais c'est pas méchant,1
"Il répète toujours : ""N’écoute pas les gens""",0
"Un vrai chef de famille, il se bat pour les siens",0
C'est un vrai papa militant,0
Je copie ses tics et ses attitudes,0
C'est mon daron mon gars sur,0
Et quand je rentre tard le soir je peux pas mentir tout ça il a vécu,0
On peut pas dire autrement,0
L'absence d'un père ça se ressent,0
"Et tout bêtement je me dis : ""Si c'est pas lui, c'est qui ?""",0
[Refrain],0
"Papa a pris de l'âge, j'ai rien vu passer",0
Après tant d’années rien n'a changé,0
Papa papa papa papaléeeeee,0
Papa papa papa papaléeeeee,0
"Papa a pris de l'âge, j'ai rien vu passer",0
Après tant d’années rien n'a changé,0
Papa papa papa papaléeeeee,0
Papa papa papa papaléeeeee,0
[Couplet 2],0
Serai-je un père exemplaire ?,0
Mon gosse j'l'aimerai comme ma mère un peu autoritaire,0
Mais toujours protecteur je tiens ça de mon père,0
Je dirai que le savoir est une richesse,0
Et de ne jamais durer dans le mauvais rêve,0
Tout ça n'est qu’éphémère,0
"Petit, trace ton chemin et laisse tout tes soucis derrière",0
"On n'vit qu'une fois donc on profite, la meilleure équipe c'est la famille",0
Jamais sur d’être là demain,0
Je repense aux perdus j'me rappelle on n'a qu'un vie,0
"Laisse parler les gens, c'est la meilleure des réponses",0
"Et tout bêtement tu dis ""Si c'est pas moi, c'est qui ?""",0
[Refrain],0
"Papa a pris de l'âge, j'ai rien vu passer",0
Après tant d’années rien n'a changé,0
Papa papa papa papaléeeeee,0
Papa papa papa papaléeeeee,0
"Papa a pris de l'âge, j'ai rien vu passer",0
Après tant d’années rien n'a changé,0
Papa papa papa papaléeeeee,0
Papa papa papa papaléeeeee,0
[Couplet 3],0
On se console grâce aux souvenirs,0
Nos p'tites galères et nos conneries,0
La vie va nous cher-lâ,0
"Et la même question ""Qu'est-ce que nous réserve l'avenir ?""",0
On rêve d'une grande famille on y parviendra,0
L'amour de tes parents jamais de la vie tu le perdras,0
"Maman ne s'en fait pas, son fils a les épaules larges",0
"Là-haut, on veille sur moi, normal qu'on les oublie pas",0
On peut pas dire autrement,0
"L'absence d'une mif, ça se ressent",0
"Et tout bêtement, tu me dis : ""Si c'est pas nous, c'est qui ?""",0
[Refrain],0
"Papa a pris de l'âge, j'ai rien vu passer",0
Après tant d’années rien n'a changé,0
Papa papa papa papaléeeeee,0
Papa papa papa papaléeeeee,0
"Papa a pris de l'âge, j'ai rien vu passer",0
Après tant d’années rien n'a changé,0
Papa papa papa papaléeeeee,0
Papa papa papa papaléeeeee,0
