line,annotated
[Intro],0
"Ayy, turn the music up for me Chris",0
GO! GO!,0
[Hook],0
"All red foreigns, all black choppa",1
"Here I come, you ready or not",1
"I keep big ole knots, I will pick your lock",0
Foenem be loading up smokin' on dope,0
Fore' they hit your block,0
"Shoot them dice, hit your car",0
"I need duct tape, bitch no scotch",0
"All of these waves, I'm feeling like Nas (aye)",0
Before we part ways I gotta flex up,0
[Verse 1],0
"Killin' that beat, what you can't see?",0
"You know what it is, know what it may be (aye, aye)",0
"Should blame the drugs, but I blame me (aye, aye)",0
Look at my ring,1
"(aye, aye), what's my",0
KD,1
"? (aye, aye)",0
"Keepin' them squares outta the tent (aye, aye)",0
"We spendin' new money (aye, aye) outta the rent (aye, aye)",0
"Make 200 bands aye, outta some lent (aye, aye)",0
"You talkin' real niggas aye, I'm up in the mix (aye, aye)",0
"She heard my voice (aye, aye) it made her moist (aye, aye)",0
"I'm up in the forest (aye, aye) trap with the boys (aye, aye)",0
"You got no choice (aye, aye) bad bitch named Joyce (aye, aye)",0
"Pickin' up coins (aye, aye) in the rolls royce (aye, aye) aye",0
[Hook],0
"All red foreigns, all black choppa",0
"Here I come, you ready or not",0
"I keep big ole knots, I will pick your lock",0
Foenem be loading up smokin' on dope,0
Fore' they hit your block,0
"Shoot them dice, hit your car",0
"I need duct tape, bitch no scotch",0
"All of these waves, I'm feeling like Nas (aye)",0
Before we part ways I gotta flex up,0
[Verse 2],0
"Last but not least, you tryna find me? (tryna find me)",0
You better off findin' Nemo aye,0
"Jump in the Sea (aye, aye) Her uber was twenty dollars",0
"Aye, she live by me (aye, aye)",0
"Bitch I'm John Madden aye, run it by me (aye, aye)",0
"Ain't no rules (aye, aye) NFL street (aye, aye)",0
"Hoe get up off me (aye, aye) you missed yo beat (aye, aye)",0
"Coughin' up trees (aye, aye) throwing up threes (aye, aye)",0
"Sprayin' like febreeze (aye, aye) yeah it can be that way",0
Aye,0
[Hook],0
"All red foreigns, all black choppa",0
"Here I come, you ready or not",0
"I keep big ole knots, I will pick your lock",0
Foenem be loading up smokin' on dope,0
Fore' they hit your block,0
"Shoot them dice, hit your car",0
"I need duct tape, bitch no scotch",0
"All of these waves, I'm feeling like Nas (aye)",0
Before we part ways I gotta flex up,0
