line,annotated
"[Letra de ""Pensando en Ti""]",0
[Intro],0
¡Yaoh!,0
Pensando en ti,0
"Si, si, ninguna herida sana sin cicatriz",0
Así se derrumbó este amor,0
[Verso 1],0
Como cientos de dominoes en fila,0
Cuando algún dedo al primero derriba,0
Como una casa hecha con cartas alta,0
Hasta que una tormenta sopla su puerta de forma agresiva,0
Como empujar a un niño de un año y medio de vida sin una maldita razón,0
"Como un paracaidista que olvidó el paracaídas, así se derrumbó este amor",0
Y ni siquiera porque alguno de los dos quería,0
Sino por no tener un buen detector de mentiras,0
"Porque de esa manera, en mi memoria vieras",0
"La causa del problema, también la solución",0
"Quizás me comprendieras, a menos que creyeras",0
Que no tengo defectos o soy el nuevo Dios,0
De nada sirve recordarte los besos de ojos cerrados,0
"Los abrazos y sonrisas del pasado, los sueños trazados",0
Las veces que hemos llorado,0
Por cosas que han pasado y hemos superado,0
"Los juegos, los secretos, los momentos contentos, los sobrenombres tiernos",0
Que serían cursis de no ser por esto que sentimos,0
Que nos mantuvo siempre unidos,0
Y en sus tiempos libres hace que el mundo tenga sentido,0
"Estoy tan confundido, no sé si llorar",0
"Molestarme, o sentarme a pensar, buscarte, o solamente esperar",0
Sigo dudando que en algo sirva rezar,0
Y he llegado a pensar que o Dios no existe o Dios es bipolar,0
"Y aquí estaré, con tus fotos en mi memoria",0
"Quizás con una nueva novia, pensando en ti",0
El tiempo sana heridas de manera obvia,1
Aunque ninguna herida sana sin dejar cicatriz,1
Quisiera tanto tener la voz de un cantante,0
"Para no sólo recitar, sino cantarte",0
Pues mi única defensa es explicarte este malentendido,0
Dame otra oportunidad y juro querrás envejecer conmigo,0
Esto es como caminar en círculos por horas,0
Como ver a un gato perseguir su cola,0
Es algo ilógico estar con otra persona y preguntarnos,0
Cómo hubiese sido si te hubieses permitido amarnos,0
"Las calles que transito, los lugares que visito",0
"La ropa que visto, insisto, todo me hace verte aquí",0
Ayer creí que te vi y al notar que no eras,0
"Supe que aunque pueda, no quiero vivir sin ti",0
[Puente],0
No te diré que creo que moriré sin ti,0
"Porque no creo, no creo, no creo, no creo",0
Tú sabes que soy un guerrero,0
No te diré que no puedo vivir sin ti,0
"Porque sí puedo, sí puedo, sí puedo, si puedo",0
Sencillamente es que no quiero,0
[Verso 2],0
"Y aquí estaré esperándote, dándome mi puesto",0
Ojalá que cuando rectifiques yo aún esté dispuesto,0
A olvidar el pasado y perdonar que tú no me hayas perdonado,0
Y que no hayas notado que te amo; cuánto te amo,0
"Diviértete, vuela muy lejos",0
Que si llegamos a viejos y nos vemos,0
"Te diré ""te odio"" después de aspirar tu pelo",0
"Y si morimos y hay un cielo, me escaparé del infierno",0
Y te haré el amor en una nube en honor a nuestros recuerdos,0
Mira lo cursi que me has convertido,0
Si esto no es amor entonces soy un loco sin motivo,0
Quiero seguir vivo sólo para,0
Algún día decirte en tu cara que aún te amo,0
Aunque aún todo puede ser diferente,0
Si nos juntamos y cambiamos este tema por uno que diga,0
"""Vivieron felices para siempre""",0
¡Vivieron felices para siempre!,0
