line,annotated
[Pre-Hook],0
"Uptown, downtown",1
Everywhere we get down,1
It's 'bout to go down,1
Are you ready? On your mark,1
"Get set, let's go",1
"It goes left foot, it goes right foot",1
"It goes left foot, it goes right foot",1
"Catch the wall, touch them toes",1
Turn around like it's gold,1
"Back it up, back it up, so you know you got control",1
[Hook],0
Let me hit you with that,1
"Pep rally, pep rally, pep rally",1
"Oh, this a pep rally",1
"Pep rally, pep rally, pep rally",1
"Oh, this a pep rally",1
[Verse 1],0
"Pep rally, my friends be at the pep rally",1
"Screaming and shaking, man, we at the pep rally",1
"Aw, aw, aw, go 'head and dip at it",1
"The go-go playing my jam, now let me shake my jelly",1
"Jumping and thumping, man, I got the crowd yelling",0
"Get it, and kick it, kick it, kick it, there's no telling",0
"Aw, aw, aw, you better move Ellen",1
I got a nice round woo like a watermelon,1
"Aw, yeah you play the point guard",1
"Hitting three corners, man, they playing real hard",1
"My team be with it, yeah, so keep your day job",1
I turn around and make it bounce like a basketball,1
[Refrain],0
"Bounce, biggity bounce, biggity-biggity bounce, bounce",1
Where my clappers that stomp? Now rock with it,1
"Bounce, biggity bounce, biggity-biggity bounce, bounce",1
Where my clappers that stomp? Now rock with it,1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that, clappers that stop",1
Clappers that stomp,1
[Pre-Hook],0
"Uptown, downtown",1
Everywhere we get down,1
It's 'bout to go down,0
Are you ready? On your mark,0
"Get set, let's go",0
"It goes left foot, it goes right foot",1
"It goes left foot, it goes right foot",1
"Catch the wall, touch them toes",1
Turn around like it's gold,1
"Back it up, back it up, so you know you got control",1
[Hook],0
Let me hit you with that,1
"Pep rally, pep rally, pep rally",1
"Oh, this a pep rally",1
"Pep rally, pep rally, pep rally",1
"Oh, this a pep rally",1
[Verse 2],0
"Rocking not stopping, bend over go 'head touch your toes",1
"Get it, now get it, now let your bottom scrape the floor",1
"Bouncing and bouncing, now stop, drop, rock and roll",1
And yeah we get crackin' like we up at the Superbowl,1
"Aw, quarterback on the field",1
"Football player running yard, got skills",1
"At the ball game, pep rally over here",1
"The band in the stands, shit just got real",1
"Turn out, turn out, turn out, turn out, turn out",0
"Turn out, turn out, turn out, turn out, turn out",0
"Turn out, turn out, turn out, turn out, turn out",0
"Like a basketball lover, make 'em bounce",1
[Refrain],0
"Bounce, biggity bounce, biggity-biggity bounce, bounce",1
Where my clappers that stomp? Now rock with it,1
"Bounce, biggity bounce, biggity-biggity bounce, bounce",1
Where my clappers that stomp? Now rock with it,1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that, clappers that stop",1
Clappers that stomp,1
[Pre-Hook],0
"Uptown, downtown",1
Everywhere we get down,1
It's 'bout to go down,1
Are you ready? On your mark,1
"Get set, let's go",1
"It goes left foot, it goes right foot",1
"It goes left foot, it goes right foot",1
"Catch the wall, touch them toes",1
Turn around like it's gold,1
"Back it up, back it up, so you know you got control",1
[Verse 3],0
Well let me hit you with that,1
"Turn around, rotate",1
"Feel that, let it vibrate",1
"Two-step, let your body sway",1
"This a battle of the bands, this a drum break",1
Majorettes on the school yard,1
Where my drum majors? Pull out your bullhorn,1
"Fools be getting drunk, acting like morons",1
The football team be winning get your score on,0
"Oh, oh yeah this a pep rally",0
Murkin' and working yeah this be a pep rally,0
"Kicking, kick it, kick it, you better move Ellen",1
"I'm 'bout to whip it, whip it like potato salad",1
"Aw, yeah, now get your groove back",0
"Aw, yeah, you better do that",0
"Aw, yeah, this be a roll call",0
"When this song come on, now bounce like a basketball",1
[Refrain],0
"Bounce, biggity bounce, biggity-biggity bounce, bounce",1
Where my clappers that stomp? Now rock with it,1
"Bounce, biggity bounce, biggity-biggity bounce, bounce",1
Where my clappers that stomp? Now rock with it,1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that stomp, clappers that",1
"Clappers that, clappers that stop",1
Clappers that stomp,1
[Outro],0
"Round up the clappers let's go, oh yeah",1
"Round up the clappers let's go, oh yeah",1
"Round up the clappers let's go, oh yeah",1
"Clappers, clappers, clappers, clappers",1
