line,annotated
[Verse 1],0
You're still clutching that bottle of wine,1
Like it's the fucking essence of your heart and your mind,1
"You tell me that you're engaged, so we're on the same page",1
"I don't give a fuck, girl, tell me is it Tuesday?",1
Cause I need to pick up my son in the morning,1
I Ain't got no time to be listen to your stories,1
"I know that you're beautiful, I know that you're hot",1
So you got a lot of problems that these other girls do not,1
Chilling at your spot with a couple friends of mine,1
Tell me how you'd like to spend the time,1
She says: Let's go to the roof,1
I'll show you how I feel if you ever needed proof,1
"A kiss on the lips, hands on her hips",1
"She's taking a sip, the alcohol drips",1
[Hook],0
Monday night,1
"I'm tired as always, this girl's alright",1
Cause I don't require knowledge for just one night,1
"I'll turn that blind eye, I be Prince Charles' Princess Diana",1
"Sitting on your rooftop, watching the moon drop",1
"Your hand in mine, here comes the sunshine",1
[Verse 2],0
Sex on my mind,1
I look at the clock and there's just no time,1
She's touching my stuff,1
", push and rewind, kush in the grind",0
"Durrr,",0
"she's so fine, you could never mind her",1
",",0
I gotta go,1
Tomorrow there's a late session in the studio,1
"She says: No, you should stick around, we could have some fun",0
I won't make a sound cause your best friend passed out puking in the bedroom,0
"Now she's got her ass up, girl, I need some Aderall",0
"I can see the light, I say good morning but it's",0
Permanent Midnight,1
[Hook],0
It's Monday night,0
"I'm tired as always, this girl's alright",0
Cause I don't require knowledge for just one night,0
"I'll turn that blind eye, I be Prince Charles' Princess Diana",0
"Sitting on your rooftop, watching the moon drop",0
"Your hand in mine, here comes the sunshine",0
"Sitting on your rooftop, watching the moon drop",0
"Your hand in mine, here comes the sunshine",0
