line,annotated
[Intro],0
"Double X on the track, bitch!",1
R.A.S,1
La sauvagerie... au micro,1
Sevran les R,1
[Couplet Unique],0
"Un regard, on s'est compris,",0
(Hey),0
"Ça y est ton cœur est conquis,",0
(Hey),0
"Famas en treillis kaki,",0
(Gang),0
Dis-moi juste quel est ton prix,1
"J'rends les michtos folles, au microphone",1
"J'suis méga fort, en punchlines, métaphores",1
"Changement de vision, rafale sur le physio",0
Dans quel monde nous vivons ? Ça crée la division,0
L'amour du cash/money fait perdre la raison,1
En 2017 y'a encore des nègres de maison,1
"J'ai pas pris la grosse tête, (Ah ouais), j'ai pris la cagoule",1
"Rougemont c'est Baltimore, Chicago et Kaboul",1
"Y'a Kendy, M.A.S (Gang), Stilday et Peco (Gang)",1
"J'crée des malaises,",0
(Hey),0
Mets toi sur le té-cô,0
J'vais tout baiser comme un polygame,1
J'fréquente des jolies dames,1
Tu passes du rire aux larmes quand ça vire au drame,0
Tu rap bien mais... ça manque de contenu,0
Et l'Occident veut tuer tout un continent (Tah tah tah),1
T'es pas de chez nous : t'es pas le bienvenu,1
"J'suis mi-homme, mi-monument",0
"Souhaite moi une longue vie, une bonne santé et prospérité, (Hey)",1
"C'est pas qu'tes problèmes, ne m'intéresse pas",1
"Mais tu sais dans la vie, j'ai des priorités",1
"Je rêve de villa, de principauté, (Oohh)",1
Je fais la fierté de ma communauté,1
",",0
(Oohh),0
"Allez leur dire : ""Si le rap marche pas, y'a le McDo qui recrute"", (Gang)",1
"C'est pour te mettre un penalty, si j'prends du recul (Pah)",1
Pose toi deux secondes qu'on discute,1
Oui Obama c'était une carotte mais Donald Trump c'est un fils de pute,1
