line,annotated
[Intro: Young Nudy &,0
Playboi Carti,0
],0
Huh?,0
I'm gassin' this bitch (,0
What?,0
),0
[Verse 1: Young Nudy],0
I smoke on the big blunts (Oh yeah),1
"And I smoke the runts (And I smoke the, yeah)",1
And I like to stunt (Yeah),0
I'm ballin' out the front (Ballin' out the front),0
Niggas like to front (Front),0
You know I like to front (Know I like to front),0
I catch you like a punter (Punter),0
My young niggas some hunters (My young niggas some hunters),0
I'm a head huncho (Huncho),1
And I got the nacho (Nacho),0
Eat niggas like tacos (Tacos),0
That nigga don't want beef (That nigga don't want no beef),0
Catch you in the street (Street),0
That's that .223 (That’s that .223),0
That's that MP (MP),0
And a M16 (And a M16),0
Infrared beam (Beam),0
Aim at your whole team (Aim at your whole team),0
"Boy, you like some steam? (Steam)",0
"Wipe 'em all, they clean (Slime)",0
[Chorus: Young Nudy],0
Runnin' from the cops (Cops),0
Gotta keep my Glock (Gotta keep my Glock),0
When I see them cops (Cops),0
You know I have my Glock (Know I have my Glock),0
"Middle finger, fuck 12 (Yeah), always on my block (Always on my block)",0
"Middle finger to the opp, we gon' pop at opps (We gon pop at opps)",0
"Pop a body, drop him (Drop him)",0
"Cop a body, deuces (Deuces)",0
They be talkin' 'bout it (Huh?),0
But don't know who be doin' it (Don't know who be doin' it),0
"These niggas be talkin' (Talkin'), they lemon squeeze (Lemon squeeze)",1
"XD (XD), ooh, lemon squeeze (Brr, brr, brr), yeah",0
[Verse 2: Young Nudy],0
"Glock 17 (Okay), 30 million (30 million), yeah",0
"Hang up out that what? Bitch, please (Okay), yeah",0
"That's a walk up, squeeze, yeah",0
"Leave 'em in the streets (Streets), yeah",0
"That's a cold case, yeah",0
"PDE, that murder rate (PDE)",0
"Yeah, you know chopsticks (Chop, chop)",0
All in the 'partment,0
"Play with the pot, man",0
We know you gettin' spent (Know you gettin' spent),0
We don't talk that shit (Nah),0
We be 'bout that shit (We 'bout that shit),0
"We gotta walk it, we gotta talk it",0
"Nigga, be about it (Nigga, be about it)",0
"All that talkin', cannot be talkin'",0
Niggas come see about you (Niggas come see about you),0
You don't want to make news (Nah),0
That’s that Fox 5 crew (That's that Fox 5 crew),0
"Put you in the dirt (Yeah), you're ten down (Ten down)",0
"Girl, you say you're ten toes but you stand down, okay (Stand down)",0
"Make a hunnit shots, now make a man down, okay (Man down)",0
"Now they call my phone talkin' 'bout, ""Stand down"" (Stand down)",0
"Now, I need some money, got my hand out (Got my hand out)",0
"You got yourself in some shit, now you can't get out, okay (True)",0
[Chorus: Young Nudy],0
Runnin' from the cops (Cops),0
Gotta keep my Glock (Gotta keep my Glock),0
When I see them cops (Cops),0
You know I have my Glock (Know I have my Glock),0
"Middle finger, fuck 12 (Yeah), always on my block (Always on my block)",0
"Middle finger to the opp, we gon' pop at opps (We gon pop at opps)",0
"Pop a body, drop him (Drop him)",0
"Cop a body, deuces (Deuces)",0
They be talkin' 'bout it (Huh?),0
But don't know who be doin' it (Don't know who be doin' it),0
"These niggas be talkin' (Talkin'), they lemon squeeze (Lemon squeeze)",0
"XD (XD), ooh, lemon squeeze (Brr, brr, brr), yeah",0
[Verse 3: Playboi Carti],0
"They tryna be cray (Mm, yeah)",0
"They tryna be cray (Mm, yeah)",0
She wanna meet Carti (Carti),0
That bitch is a Barbie (Yeah),0
I'ma fuck these hoes (Ooh),0
I'm on 730,1
Got a brand new pack like Kid Cudi (Brand new),1
I smoke dope like Kid Cudi,1
Push up and get the slugs from me (Slime slime),0
I'm with all the shits (Slime slime),0
We pull up with shit (Yeah),0
"We pull up with, uh (Yeah)",0
"We pull up with sticks, hol'up",1
"We pull out the van, hol'up",0
"We pull out the shit, ayy",0
"I pull out the .9, hol'up",0
"I pull out and blitz, hol'up",0
"I pull out the fire, hol'up",0
I pull out wit' six,0
I'm smokin' out the pound,0
"The bitch can suck my dick, yeah",0
"The bitch gonna ride the dick, yeah",0
The bitch get thrown in the pit,0
[Chorus: Young Nudy],0
Runnin' from the cops (Cops),0
Gotta keep my Glock (Gotta keep my Glock),0
When I see them cops (Cops),0
You know I have my Glock (Know I have my Glock),0
"Middle finger, fuck 12 (Yeah), always on my block (Always on my block)",0
"Middle finger to the opp, we gon' pop at opps (We gon pop at opps)",0
"Pop a body, drop him (Drop him)",0
"Cop a body, deuces (Deuces)",0
They be talkin' 'bout it (Huh?),0
But don't know who be doin' it (Don't know who be doin' it),0
"These niggas be talkin' (Talkin'), they lemon squeeze (Lemon squeeze)",0
"XD (XD), ooh, lemon squeeze (Brr, brr, brr), yeah",0
