line,annotated
[Chorus],0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",1
"Kodak moment, polaroid picture, shake it, yeah, yeah",1
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",1
"Kodak moment, polaroid picture, shake it, yeah",1
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",1
"Kodak moment, polaroid picture, shake it, yeah, yeah",1
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",1
"Kodak moment, polaroid picture, shake it",1
[Verse 1],0
"Couples times I was cautious, couple times with no warning",0
Couple times Stone Cold Stunner,1
",",0
couple times Stephen Hawking,1
"I don’t wanna hear them murmur, you can miss me with the bullshit",0
"Swear life just gets dumber and dumber, as the drugs get morish",0
"Couple times I lost my friends, couple times I got new ones",0
"But who gives a fuck about them,",0
man I got do it on my ones,1
"Couples times I relied, got lied to and denied",0
"I only care about mines, diamond diggin in mines",1
"Couple times lost my self, couple times chilling with skets",0
"Couple times gave em the world, just to get my dick wet",0
"Couple times felt like a melt, came, bust a nut and I left",0
"Gave away parts of my soul, trading soul with skets",0
"Couple times head was gone, couple times like what’s next",0
"Couple times in my zone, I just thank mum and I flex",0
"Couple times I was broke, why I keep running through cheques?",1
"Most time don’t go home, theres vultures watching my nest",0
[Chorus],0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah, yeah",0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah, yeah",0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah, yeah",0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah",0
[Verse 2],0
"Said I’m no one, still I’m no one",0
But I’m someone they wanna know now,0
"I’m like hold on, what’s going on",0
I don’t know don... shut your mouth,0
"Text me, I don’t reply, know why, you're getting aired out",0
"No co-sign, I got no time",0
"Road rage, don’t make me turn around",0
"It’s cold, but I’m getting heated, get rubbed out, deleted",0
"I’m with a fixer, called Felix",1
"Moving ninja, never seen it",0
"I’m with Kwesi, doing Kermit",1
"In studio, like a hermit",1
"Enthusiasm, can’t curb it",1
", forward, determined",0
"I’m with Jak, Squidgy black",1
"In my spliff, how we Morrocin?",1
"How it is, man I'm twist, in your bits, what’s the problem?",0
Sometimes it’s like; I got c*** wrote on my forehead,0
"I’m gorgeous, yeah gorgeous, I know that, so it’s nothing",0
Remember when I didn’t have nothing,0
"No food in my cupboard, honey rice in my stomach",0
"Burglaries, robbings, couple times dotting",0
"Always been plotting, blue lights and I’m jogging",0
[Chorus],0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah, yeah",0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah, yeah",0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah, yeah",0
"Kodak moment, polaroid picture, shake it, yeah yeah yeah",0
"Kodak moment, polaroid picture, shake it, yeah, yeah",0
[Outro],0
Hahahahah,0
"Very funny, not at all, rrah",0
Nothing great about Britain baby,1
