line,annotated
[Intro],0
G5 Kids!,1
Soulja (Soulja),0
"All the pretty girls stand up, all the pretty boys stand up",1
(Pretty boys in the building),0
[Chorus],0
"This, right here, is my, swag (swag)",1
"All, the girls, are on me, damn",0
"Every, body, pay, attention",0
"This, right here, is my pretty boy swag",0
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Girls on my dick when I pretty boy swag,0
Girls scream my name when I pretty boy swag,0
"Watch me, pretty boy swag",1
Pretty boy swag (Ayy),0
Pretty boy swag (Ayy),0
Pretty boy swag (ayy),0
Girls on my dick when I pretty boy swag,0
Girls scream my name when I pretty boy swag,1
[Verse 1],0
Get out the way!,0
Pretty boy comin thru,0
"Me and my crew, we swaggin in the room",0
Girls on me heavy cause I look so sexy,0
Yellow diamond,1
"shawty, in the club straight flexin",0
I'm lookin for a,0
yellow bone,1
long-haired star,0
"Thick, in the hips come, get in my car",0
"You party with a star, we take off and go to Mars",0
"Pretty boy take off in 5, 4, 3, 2, 1",0
[Chorus],0
"This, right here, is my, swag",0
"All, the girls, are on me, damn",0
"Every, body, pay, attention",0
"This, right here, is my pretty boy swag",0
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Girls on my dick when I pretty boy swag,0
Girls scream my name when I pretty boy swag,0
"Watch me, pretty boy swag",1
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Girls on my dick when I pretty boy swag,0
Girls scream my name when I pretty boy swag,0
[Verse 2],0
"I'm pretty, boy swaggin, in the club I feel sexy (No homo)",0
"No homo shawty, but my chest is straight flexin",0
"Tatted on my neck, shawty said she choose me",0
She got nice titties and a fat ass booty,0
"Took her to my condo, let the girl strip",0
Then she got naked then she pretty girl dipped,0
"Damn I like the way, lil' mama shake that ass",0
"She pretty girl, dancin while I pretty boy swag, goddamn",0
[Chorus],0
"This, right here, is my, swag",0
"All, the girls, are on me, damn",0
"Every, body, pay, attention",0
"This, right here, is my pretty boy swag",0
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Pretty boy swag (ayy),0
Girls on my dick when I pretty boy swag,0
Girls scream my name when I pretty boy swag,0
"Watch me, pretty boy swag",1
Pretty boy swag (ayy),1
Pretty boy swag (ayy),1
Pretty boy swag (ayy),1
Girls on my dick when I pretty boy swag,0
Girls scream my name when I pretty boy swag,0
