line,annotated
[Intro],0
"Now, to the edge I'll race",1
To the end I'll make it,1
"All the risk, I'll take it",0
Head bang with my faux friends,1
We pour a taste out for the dead,1
"This is the blood, the body, the life right now",1
The height right now,0
Might be what I need,0
Might be what I need,0
Said you wanna hurt me now,0
You can't hurt me now,0
That might be what you need,0
[Verse],0
What it means to be alive on this side,1
(Said you wanna kill me now),1
On this side,1
(Don't let me down),1
On this side,1
"(Down, down)",1
Fuck the other side,1
"I'm on this side, I'm on this side, I'm on this side",1
How it feels to have arrived,0
"I'm inside, I'm inside",0
Those are my niggas for life,0
Mothers of us be kind,1
To the fathers on whom we rely,1
Fathers of us be kind,1
To the mothers on whom we rely,1
"Ah-hah, ah-hah, ah-hah, ah-hah",1
"Ah-hah, ah-hah, ah-hah, ah-hah",1
[Outro],0
We know you're sugar,1
We know you're sweet like a sucka,1
"Pretty sweet, pretty sweet",1
