line,annotated
[Intro],0
K. Swisha,0
[Pre-Chorus],0
I walked up in the party,0
Feelin' like I'm the man,0
Every bitch wanted to fuck me,0
They was geekin' off Xans,0
Let the party around 3,0
That wasn't even the plan,0
But these bitches was so horny,0
"Bro, I had to go in",0
[Chorus],0
My priorities are fucked,0
My priorities are fucked,0
My priorities are fucked,0
My priorities are fucked,0
I'ma cheat on my girlfriend,0
Who so loyal for some sluts,0
My priorities are fucked,0
My priorities are fucked,0
I said fuck school,0
And fuck the rules,0
I'ma do whatever I want to,0
When I say so,0
I said fuck school,0
And fuck the rules,0
I'ma do whatever I want to,0
When I say so,0
[Verse 1],0
Let me gon' and see what that money do,0
A 2:30 call is a call for a jiggaboo,0
I ain't got no time to date on you,0
Rather write raps than write a paper,0
"Ayy, fuck my college school, they some haters",1
"Ayy, whole squad of hustlas like the movie Takers",1
"Got a bougie yellow bitch, look like vanilla wafers",1
80 thousand dollars spent on jewelry today,0
"I don't point no fingers, I can do no jury duty",0
"Niggas claimin' that they that they know me but like, really do they?",0
[Pre-Chorus],0
(Pipe up),0
I walked up in the party,0
Feelin' like I'm the man,0
Every bitch wanted to fuck me,0
They was geekin' off Xans,0
Let the party around 3,0
That wasn't even the plan,0
But these bitches was so horny,0
"Bro, I had to go in",0
(Pipe up),0
[Chorus],0
My priorities are fucked,0
My priorities are fucked,0
My priorities are fucked,0
My priorities are fucked,0
I'ma cheat on my girlfriend,0
Who so loyal for some sluts,0
My priorities are fucked,0
My priorities are fucked,0
I said fuck school,0
And fuck the rules,0
I'ma do whatever I want to,0
When I say so,0
I said fuck school,0
And fuck the rules,0
I'ma do whatever I want to,0
When I say so,0
[Verse 2],0
"Choppa style, she can't argue with dick in her mouth",0
Said you strugglin' from the top view at my penthouse,0
"Rollin', rollin', rollin' like a roller coaster",0
Lil' shawty get wet from that Lil Yachty poster,0
Before we fuck I gotta lay down a coaster,1
'Cause she get wet and she suck me like a insect,0
"She my step sister, so I guess that's incest",0
I could not stop lookin' at those big breasts,0
"Make your next move, your best life's a game of chess",0
[Pre-Chorus],0
(Pipe up),0
I walked up in the party,0
Feelin' like I'm the man,0
Every bitch wanted to fuck me,0
They was geekin' off Xans,0
Let the party around 3,0
That wasn't even the plan,0
But these bitches was so horny,0
"Bro, I had to go in",0
(Pipe up),0
[Chorus],0
My priorities are fucked,0
My priorities are fucked,0
My priorities are fucked,0
My priorities are fucked,0
I'ma cheat on my girlfriend,0
Who so loyal for some sluts,0
My priorities are fucked,0
My priorities are fucked,0
I said fuck school,0
And fuck the rules,0
I'ma do whatever I want to,0
When I say so,0
I said fuck school,0
And fuck the rules,0
I'ma do whatever I want to,0
When I say so,0
