line,annotated
[Intro: The Black Eyed Peas],0
"Ha, ha, ha",0
Pump it,0
"Ha, ha, ha",0
And pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Turn up the radio,0
"Blast your stereo, right",0
"Ha, ha, ha",0
[Verse 1: will.i.am],0
Niggas wanna hate on us (Who),0
Niggas be envious (Who),0
I know why they hate on us (Why),0
'Cause that so fabulous (What),0
I'm gonna be real on us (Come on),0
Nobody got nothing on us (No),0
Girls be all on us from London back down to the US,0
"S-S, we rockin' it (Contagious)",0
Monkey business (Outrageous),0
Just confess it your girl admits that we the shit,0
"F-R-E-S-H, we fresh",0
"D-E-F, that's right we def (Rock)",0
We definite,0
B-E-P we reppin' it so,0
Turn me up (Turn it up),0
Turn me up (Turn it up),0
Turn me up,0
"Come on, baby, just",0
[Chorus: The Black Eyed Peas],0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
"And say (Oh, oh, oh, oh)",0
"Say (Oh, oh, oh, oh)",0
"Yo, yo",0
Turn up the radio,1
"Blast your stereo, right now (Ha)",1
This joint is fizzlin',0
It's sizzlin' right,0
[Verse 2: will.i.am &,0
Taboo,0
],0
Can you check this out right here?,0
Dude wanna hate on us (Dude),0
Dude need to ease on up,0
(Dude),0
Dude wanna act on up,0
But dude get shut like flavor (Shut 'em down),0
Chicks say she ain't down,0
But chick backstage when we in town (Ha),0
She like man on drunk (Fool),0
She wanna hit and run (Errr),0
"Yeah, that's the speed",0
"That's what we do, that's who we be",0
B-L-A-C-K E-Y-E-D,0
P to the E,0
Then the A to the S,0
When we play you shake your ass,0
"(Shake it, shake it)",0
Shake it girl,0
Make sure you don't break it girl,0
('Cause we gonna),0
Turn it up (Turn it up),0
Turn it up (Turn it up),0
Turn it up,0
Come on baby just,0
[Chorus: The Black Eyed Peas],0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
"And say (Oh, oh, oh, oh)",0
"Say (Oh, oh, oh, oh)",0
"Yo, yo",0
Turn up the radio,1
"Blast your stereo, right now (Ha)",1
This joint is fizzlin',0
It's sizzlin' right,0
[Bridge: will.i.am (Fergie)],0
Damn (Damn),0
Damn (Damn),0
Damn (Damn),0
Damn (Damn),0
Damn (Damn),0
[Verse 3: apl.de.ap],0
Apl.de.ap from the Philippines,1
live and direct rockin' the scene,0
Breakin' on down for the B-Boys and B-Girls waitin' to do their thing,0
"Pump it, louder come on",0
"Don't stop, and keep it goin'",0
"Do it, let's get it on",0
Move it,0
"Come on, baby do it",0
Ha,0
[Verse 4: Fergie],0
La-da-dee-da-da-dee-da,0
On the steree-aree-aree-aree-o (Ha),0
Let those speakers blow your mind,0
"(Blow my mind, baby)",0
"Just let it go, let it go",0
Here we go (Ha),0
"La-da-dee-da-da-dee-da (Come on, we here)",0
On the radi-aree-aree-aree-o (Ha),0
The system's gonna feel so fine (Ha),0
"Yeah, yeah, yeah (Ha), yeah, yeah",0
[Chorus: The Black Eyed Peas],0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
Pump it (Louder),0
"And say (Oh, oh, oh)",0
"Say (Oh, oh, oh)",0
"Yo, yo",0
Turn up the radio,1
"Blast your stereo, right now (ha)",1
This joint is fizzlin',0
It's sizzlin' right,0
