line,annotated
[Verse 1],0
"What, what, what, whatcha say, Mr. Clean?",1
I'm flagging you down for a misdemeanor,1
It must look different from your mezzanine,0
"You got me, got me feeling out of touch, Hall & Oates",1
"Push it out, wish me luck",0
[Pre-Chorus],0
"You got a way, you're messing with my faith",0
You're tryna paint a picture but you're running out of paint,0
You had your say 'til I took it away,0
Out of yours in my controlla,0
[Chorus],0
"I'm pushing 20, got no time for others (Pushing, pushing)",0
"I'm pushing 20, got no time for others (Pushing, pushing)",0
"Who ain't on the same wave, yeah, on the same page",0
"Tryna tell me what to be, yeah, tell me what to think",0
"I'm pushing 20, got no time for others (Pushing, pushing, pushing)",0
"I'm pushing 20, got no time for others (Pushing, pushing, pushing)",0
"Who ain't on the same wave, yeah, on the same page",0
"Tryna tell me what to be, yeah, tell me what to think",0
[Verse 2],0
"I'm pushing 20, I ain't talking 'bout a Bimmer",1
"And while you're wasting time, the money's in the meter",0
"So I can start from scratch, make you a believer",0
"Or I can just, da da da",0
"Act like I don't give a, uh",0
[Pre-Chorus],0
"You got a way, you're messing with my faith",0
You're tryna paint a picture but you're running out of paint,0
You had your say 'til I took it away,0
Out of yours in my controlla,0
[Chorus],0
"I'm pushing 20, got no time for others (Pushing, pushing)",0
"I'm pushing 20, got no time for others (Pushing, pushing)",0
"Who ain't on the same wave, yeah, on the same page",0
"Tryna tell me what to be, yeah, tell me what to think",0
"I'm pushing 20, got no time for others (Pushing, pushing, pushing)",0
"I'm pushing 20, got no time for others (Pushing, pushing, pushing)",0
"Who ain't on the same wave, yeah, on the same page",0
"Tryna tell me what to be, yeah, tell me what to think",0
[Bridge],0
"I got no time, I got no time",0
"No, no, no, no rewind",0
"No, no rewind, yeah",0
"I got no time, I got no time (I got no time, no)",0
"No, no, no, no rewind (No, no, no, no, no rewind, no)",0
"No, no rewind",0
[Chorus],0
"I'm pushing 20, got no time for others (I'm pushing 20, babe)",0
"I'm pushing 20, got no time for others (I'm pushing 20, babe)",0
"Who ain't on the same wave, yeah, on the same page",0
"Tryna tell me what to be, yeah, tell me what to think (Tell me what to be)",0
"I'm pushing 20, got no time for others (I'm pushing, pushing, babe)",0
"I'm pushing 20, got no time for others (You know it, know it, babe)",0
"Who ain't on the same wave, yeah, on the same page",0
"Tryna tell me what to be, yeah, tell me what to think",0
[Outro],0
"I got no time, I got no time",0
"No, no, no, no rewind",0
"No, no rewind, yeah (I got no)",0
"I got no time, I got no time (I got no time, no)",0
"No, no, no, no rewind (No, no, no, no rewind, no)",0
"No, no rewind",0
