line,annotated
[Refrain],0
"Rien à foutre qu’il y ait des quidams qui dorment ici, quidams qui dorment ici",1
"Quidams qui dorment ici, qu’il y ait des quidams qui dorment ici",1
Dis-moi qui est l’cador qui a d’énormes missiles,1
"Qui a d’énormes missiles, ouais, qui a d’énormes missiles",1
[Couplet 1],0
Gère une fillette en Thaï,1
"Même une p’tite qu’est sans faf', c’est plus discret sans blague",1
"C’est qu’une minette sans famille, qui va crier ""miskine"" ?",1
"Qui va crier ""miskine"" ? Ouais, qui va crier ""miskine"" ?",1
J’sais qu’ton désir grandit,1
"Fais ton textile en Chine, même si les p’tits en chient",1
Y’a que le bruit d’l’usine qui maquille l’homicide,1
"Qui maquille l’homicide, ouais, qui maquille l’homicide",1
Pour dix makis sauce spicy,1
Faut la paie d’Holyfield ou un prêt Cofidis,1
"J’fais partie de la masse qui ne verra pas d’Genkidama, sans billet",1
J’décris la loi :,1
[Refrain],0
"Rien à foutre qu’il y ait des quidams qui dorment ici, quidams qui dorment ici",1
"Quidams qui dorment ici, qu’il y ait des quidams qui dorment ici",1
Dis-moi qui est l’cador qui a d’énormes missiles,1
"Qui a d’énormes missiles, ouais, qui a d’énormes missiles",1
[Couplet 2],0
"Faire exploser deux tours, c’est simple comme ""Bonjour""",1
"Yo, t’as le Bonjour du bien que tu peux voir d’en-dessous",1
"Attention, attention, c’est pas qu’on se fout de nos gueules",1
C’est juste qu’on n'existe pas,1
",",0
"""",0
V,0
", fixe-moi !"" (Fixe-moi !)",0
Mais fixe quoi ? (Mais fixe quoi ?),0
"""Un pourcentage, un fou en classe, un bourge",1
"Même un bout-en-train, quoi qu’il en soit un frelon plein d’amour,",1
Une vie remplace une autre,1
"Y’a des pyramides, des psychiatries pour contrôler la faune",1
Et y’a toi… le plus quidam des quidams,1
"Genre de salarié délicat qui taffe, qui taffe et fonde une famille",1
"Ouais, mais sur l’argent d’l’héritage, sans ça, comment les mettre à l’écart",1
De la guerre et de la famine ? De la rue ou des coups d’Etat ?,1
"T’es d’la merde, frelon, tu n’es rien, seule ta mère pleurera ton destin",1
"Les autres s’en foutront qu’tu sois défunt, mais attendront ton testament",1
"Moi, je rêve d’être président, de m’suicider sur grand écran",1
"Je n’veux plus faire partie des gens, nan, même les gens n’en ont rien à foutre",1
[Refrain],0
"Rien à foutre qu’il y ait des quidams qui dorment ici, quidams qui dorment ici",1
"Quidams qui dorment ici, qu’il y ait des quidams qui dorment ici",1
Dis-moi qui est l’cador qui a d’énormes missiles,1
"Qui a d’énormes missiles, ouais, qui a d’énormes missiles",1
[Outro],0
Le quidam,1
"Le quidam résiste, mais le quidam n’existe",1
[Morceau caché -,0
"""Nichon""",0
],0
[Couplet],0
"La p’tite est vilaine, certains disent même débile",0
"C’est évident, les vils lui ont fait les dents",0
L’esprit n’étant pas plus grand qu’un dé à coudre,1
"Vite, elle a joué des coudes avec ses deux grands...",0
nichons !,1
"Elle remercie Dieu de faire des envieuses, pas d’avoir des yeux",0
"Qu’on n’remarque pas, d’ailleurs, elle parle pas",0
"Nan, la p’tite, on la bipe et l’amène au pieu",0
"Mais, un soir, alors qu’elle est si seule, elle",1
Imagine sa vie sans ses deux guiboles et dit que,1
"Puisque, s’il n’y a qu’ses cuisses et ses miches qu’in-",1
"-téressent tous ces messieurs, elle prendrait",1
"Huit cent, chaque fois qu’on la nique",1
Pas d’poisson d’avril ou bien son mac passera,1
Des savons acides aux garçons avides de gros nichons,1
Dont les poches seraient arides (et sans biffton),1
"On la surnomme... ""Nichon"" ! C’est son blaze",0
Y’a pas que son 'tard-pé' que la vie démonta,1
"Je viens vider son sac, sac plein de Lexomils",1
Rempli de mots sales des journées maussades et sans émotion,1
"Par la même occas', et par précaution",0
Sache que la mère Nichon a perdu son âme,1
"Alors qu’un client sonne, et qu’dans une flaque au sol sa vie défile",1
Elle n’y voit que dalle,1
[Outro],0
"Merde, oh, oh merde",1
