line,annotated
"[Letra de ""¿Quién Eres?""]",0
[Intro],0
Es Canserbero,0
(It's real hip-hop),0
Kaputo en el instrumental,0
(The real people knows I got the sound),0
Nosotros sabemos quiénes somos,0
(Straight from downtown),0
¿Quién eres tú?,0
(Tengo rimas que debería donar a ustedes),0
"Yeah, dice, dice",0
[Verso 1],0
En estos tiempos to's se creen que son perfectos,0
Señor espejo mostrará a ellos sus defectos,0
"Tú amenazarme así, creen cambiar el mundo en un tema",0
Y ni siquiera pueden cambiar sus problemas,0
"¿Tú quién eres, son? ¿El que en to's los temas critica?",0
"¿Nunca aportas na', no sabes lo que el hip-hop significa?",0
Desde Bambaataa el rap fue hecho para hacer paz,1
Hasta que la West Coast notó el que el malandreo vende más,1
"¿Tú quién eres, dime? Tu silencio me hace pensar",0
Que eres de los que cantan rap para que alguien los pueda notar,0
En vez de apoyar y callar (En vez de apoyar y callar),0
En otros tiempos te hubiesen colgado y quemado de más,0
Dime si eres acaso el que escuchó a Canserbero,0
"Se hizo dos rimas, un sobrenombre y hasta me critica, pero",0
Yo creo que tú eres de los que ven a un extranjero y le chupan el cuero,0
En vez de apoyar a los de su ghetto primero,0
¿Quién eres? Te pregunté y no me respondiste,0
Olvidaste que yo mejoré ya lo que hoy tú descubriste,0
La antigüedad es nada si nada tú hiciste,0
A mí ya se me está olvidando lo que recién tú aprendiste,0
[Coro],0
It's hip-hop for all my brothers around,0
The real people knows that I got the sound,0
Straight from downtown,0
Tengo lyrics que debería donar a ustedes,0
A ver si así representan como se debe,0
It's real hip-hop for all my brothers around,0
The real people knows that I got the sound,0
Straight from downtown,0
Tengo lyrics que debería donar a ustedes,0
A ver si así representan como se debe,0
Tengo lyrics que debería donar a ustedes,0
[Verso 2],0
Dime si eres el que nada sabe escribir,0
"Pero sí improvisar, como si eso nos puede hacer surgir",0
Dime si eres el que aún no puede admitir,0
Que aquí hacen falta más oyentes que no quieren ser MCs,0
"¿Tú quién eres, dime? El que sabe del movimiento",0
Se esmera en un elemento pero no tiene talento,0
¿Y tú quién eres? Aquel que lucha por salir en los medios,0
Busca fama y nunca tendrá respeto 'e los que son serios,0
"A tu criterio, dime si eres ese insecto",0
Que más que influenciarse quiere cambiarse el acento,0
"Y no contento, maldice esta patria que le dio casa",0
Y no tiene las bolas pa' decir lo que en su tierra pasa,0
[Hook],0
Basta de farsas que cansan,0
Vamos sin pausa cantar canciones no mansas,0
Pa' un pueblo en alza que avanza,0
Basta de farsas que cansan,0
Vamos sin pausa a cantar canciones no mansas,0
Pa' un pueblo en alza que avanza,0
[Coro],0
It's hip-hop for all my brothers around,0
The real people knows that I got the sound,0
Straight from downtown,0
Tengo lyrics que debería donar a ustedes,0
A ver si así representan como se debe,0
[Verso 3],0
"¿Tú quién eres, son? El que vive de un espejismo",0
"Con maquetas y letras sin ritmo, más de lo mismo",0
"Dime quién eres, no te has hecho esa pregunta",0
"Puede que la mierda pegue, pero que la respeten, nunca",0
Dime si eres quien busca rimas de velocidad,0
Para mostrar habilidad,0
Pero en realidad,0
No tienen credibilidad,0
No captan que no es suficiente,0
Soltar una ráfaga 'e rimas y no disparaste siquiera una bala coherente,0
"Mienten, unos y otros por la tangente",0
¿Tú quién eres de esos dos? respóndeme sinceramente,0
[Coro],0
It's hip-hop for all my brothers around,0
The real people knows that I got the sound,0
Straight from downtown,0
Tengo lyrics que debería donar a ustedes,0
A ver si así representan como se debe,0
It's real hip-hop for all my brothers around,0
The real people knows that I got the sound,0
Straight from downtown,0
Tengo lyrics que debería donar a ustedes,0
[Outro],0
"Es Canserbero, sí, sí",0
"Sí, sí, el campesino",0
(It's real hip-hop),0
(It's real hip-hop for all my brothers around),0
"¿Tú quién eres, dime? respóndeme sinceramente",0
(Tengo lyrics que debería donar a ustedes),0
"Yo soy yo, man (For all my brothers)",0
(The real people knows that I got the sound),0
(Straight from downtown),0
(Tengo lyrics que debería donar a ustedes),0
(The real people knows that I got the sound),0
(Straight from downtown),0
(Tengo lyrics que debería donar a ustedes),0
"Si tú no sabías quién eres, no dudes que yo soy yo",0
