line,annotated
[Intro],0
"""Look, I was gonna go easy on you not to hurt your feelings.""",1
"""But I'm only going to get this one chance.""",1
"""Something's wrong, I can feel it.""",1
"Six minutes. Six minutes. Six minutes, Slim Shady, you're on!",1
"""Just a feeling I've got. Like something's about to happen, but I don't know what. If that means what I think it means, we're in trouble, big trouble; and if he is as bananas as you say, I'm not taking any chances.""",1
"""You are just what the doc ordered.""",1
[Chorus],0
"I'm beginnin' to feel like a Rap God, Rap God",1
"All my people from the front to the back nod, back nod",1
"Now, who thinks their arms are long enough to slap box, slap box?",1
"They said I rap like a robot, so call me Rap-bot",1
[Verse 1],0
But for me to rap like a computer it must be in my genes,1
I got a laptop in my back pocket,1
My pen'll go off when I half-cock it,1
Got a fat knot from that rap profit,1
Made a livin' and a killin' off it,1
Ever since Bill Clinton was still in office,1
With Monica Lewinsky feelin' on his nutsack,1
I'm an MC still as honest,1
But as rude and as indecent as all hell,1
"Syllables, skill-a-holic (Kill 'em all with)",1
This flippity dippity-hippity hip-hop,1
You don't really wanna get into a pissin' match,1
"With this rappity brat, packin' a MAC in the back of the Ac'",1
"Backpack rap crap, yap-yap, yackety-yack",1
"And at the exact same time, I attempt these lyrical acrobat stunts while I'm practicin' that",1
I'll still be able to break a motherfuckin' table,1
Over the back of a couple of faggots and crack it in half,1
"Only realized it was ironic, I was signed to Aftermath after the fact",1
How could I not blow? All I do is drop F-bombs,1
Feel my wrath of attack,1
"Rappers are havin' a rough time period, here's a maxi pad",1
It's actually disastrously bad for the wack,1
While I'm masterfully constructing this masterpiece as,1
[Chorus],0
"'Cause I'm beginnin' to feel like a Rap God, Rap God",1
"All my people from the front to the back nod, back nod",1
"Now, who thinks their arms are long enough to slap box, slap box?",1
"Let me show you maintainin' this shit ain't that hard, that hard",1
[Verse 2],0
Everybody wants the key and the secret to rap immortality like Ι have got.,1
"Well, to be truthful the blueprint's",1
Simply rage and youthful exuberance,1
Everybody loves to root for a nuisance,1
Hit the Earth like an asteroid,1
Did nothing but shoot for the Moon since (Pew!),1
MCs get taken to school with this music,1
"'Cause I use it as a vehicle to ""bus the rhyme""",1
Now I lead a new school full of students,1
