line,annotated
[Intro],0
BL$$D,0
"Rollie, rollie, rollie",0
[Chorus: Teo],0
"I just want a Rollie, Rollie, Rollie with a dab of ranch",1
I already got some designer to hold up my pants,1
I just want some ice on my wrist so I look better when I dance,1
"Have you lookin' at it, put you in a trance",1
"I just want a Rollie, Rollie, Rollie with a dab of ranch",1
I already got some designer to hold up my pants,1
I just want some ice on my wrist so I look better when I dance,1
"Have you lookin' at it, put you in a trance",1
"Yeah, yeah, yeah",0
"All I ever wanted was a Rollie, Rollie",0
"All I ever wanted was a Rollie, Rollie",0
Cooler than a snowman with the ice all on me,1
"Now your chick all on me, now your chick all on me (she on me)",1
[Verse 1: Teo],0
"My Rollie don't tick-tock, it just glide",1
Keep starin' at it and you might go blind,1
"I be movin' clean, I don't even try",0
"All I see is bands, bands, I spy",1
"Yeah, dat way",1
I need that moola by Tuesday,1
"Yeah, dat way",1
I low key feel like fungswae,1
I just now got started,0
"Got views on views, I'm poppin'",1
My diamonds goin' retarded,1
"Your girl on deck, it's a party",1
[Chorus: Teo],0
"I just want a Rollie, Rollie, Rollie with a dab of ranch",1
I already got some designer to hold up my pants,1
I just want some ice on my wrist so I look better when I dance,1
"Have you lookin' at it, put you in a trance",1
"I just want a Rollie, Rollie, Rollie with a dab of ranch",1
I already got some designer to hold up my pants,1
I just want some ice on my wrist so I look better when I dance,1
"Have you lookin' at it, put you in a trance",1
"Yeah, yeah, yeah",0
"All I ever wanted was a Rollie, Rollie",0
"All I ever wanted was a Rollie, Rollie",0
Cooler than a snowman with the ice all on me,0
"Now your chick all on me, now your chick all on me (she on me)",0
[Verse 2: Ayo],0
"Blue face Rollie, red face Rollie, ayy",1
"Purple face Rollie like some Teletubbies, ayy",1
"Baby diamonds wet, shinin' like some guppies",1
"Your man's hatin', probably 'cause his girl love me, ayy",0
I pull up to the mall and I'm flexin' on your ho,1
"Jahleele in the cut, and he got them buffies ayy",1
"Whiteskins got me goin' crazy, crazy, ayy",0
"Your girl love me 'cause she prolly want my baby, ayy (woo)",0
Ice on my neck cost like five K,1
I want a girl built just like Kim K (she thick),0
Karate chop that bitch like a sensei,0
"Pull off up in a 'Rari or a Bentley, ayy",1
[Chorus: Teo],0
"I just want a Rollie, Rollie, Rollie with a dab of ranch",1
I already got some designer to hold up my pants,1
I just want some ice on my wrist so I look better when I dance,1
"Have you lookin' at it, put you in a trance",1
"I just want a Rollie, Rollie, Rollie with a dab of ranch",1
I already got some designer to hold up my pants,1
I just want some ice on my wrist so I look better when I dance,1
"Have you lookin' at it, put you in a trance",1
"Yeah, yeah, yeah",0
"All I ever wanted was a Rollie, Rollie",0
"All I ever wanted was a Rollie, Rollie",0
Cooler than a snowman with the ice all on me,0
"Now your chick all on me, now your chick all on me (she on me)",0
[Outro: Teo],0
"Yeah, she on me",0
All I ever wanted was a Rollie,0
All I ever wanted was a Rollie,0
I just want a Rollie,0
I just want a Rollie,0
I just want a,1
I just want a Rollie,1
