line,annotated
[Intro],0
Yeah,1
[Chorus],0
"Who am I? Someone that's afraid to let go, uh",1
You decide if you're ever gonna let me know (Yeah),1
"Suicide if you ever try to let go, uh",1
"I'm sad, I know, yeah, I'm sad, I know, yeah",1
"Who am I? Someone that's afraid to let go, uh",1
You decide if you're ever gonna let me know (Yeah),1
"Suicide if you ever try to let go, uh",1
"I'm sad, I know, yeah, I'm sad, I know, yeah",1
[Verse],0
I gave her everything,1
She took my heart and left me lonely,1
I think broken heart's contagious,1
"I won't fix, I'd rather weep",1
I'm lost then I'm found,1
But it's torture bein' in love,1
I love when you're around,1
But I fuckin' hate when you leave,1
[Chorus],0
"Who am I? Someone that's afraid to let go, uh",1
You decide if you're ever gonna let me know (Yeah),1
"Suicide if you ever try to let go, uh",1
"I'm sad, I know, yeah, I'm sad, I know, yeah",1
"Who am I? Someone that's afraid to let go, uh",1
You decide if you're ever gonna let me know (Yeah),1
"Suicide if you ever try to let go, uh",1
"I'm sad, I know, yeah, I'm sad, I know, yeah",1
[Instrumental Bridge],0
[Chorus],0
"Who am I? Someone that's afraid to let go, uh",1
You decide if you're ever gonna let me know (Yeah),1
"Suicide if you ever try to let go, uh",1
"I'm sad, I know, yeah, I'm sad, I know, yeah",1
"Who am I? Someone that's afraid to let go, uh",1
You decide if you're ever gonna let me know (Yeah),1
"Suicide if you ever try to let go, uh",1
"I'm sad, I know, yeah, I'm sad, I know, yeah",1
