line,annotated
[Intro: Fabri Fibra],0
Young Miles,1
Ah,1
[Strofa 1: Fabri Fibra],0
È il ritorno dello Jedi,1
"Sulla base alieno, ET",1
"Voi non ce la fate, inetti",0
Ho un attacco epilettico e,0
Odio te e le tue storie,0
Tu vuoi sapere com'è,0
Essere il migliore,0
Scrivo intere notti (oh),0
"Tu non capisci, copi (oh)",0
"Uccido rapper, Dexter",1
Mentre guardo cadere i corpi (oh),1
Disciolti (oh) nell'acido,1
Pensieri di uno psicopatico,1
Col flow asmatico,1
"Un classico, Illmatico",1
In mano un machete per farti la festa,1
La prossima rima sei tu che la chiudi oppure ti taglio (la testa),0
"Esatto, stressato (oh), rubo le parole di bocca poi chiedo il riscatto",0
Paura del pubblico e infatti sul palco si muore d'infarto (oh),0
"Tu non ci provare questa è roba mia, scompari (seh)",0
"I tuoi live sono come l'enciclopedia, tre-ccani (seh)",1
Per le strade è pieno di infami (seh),0
Le puttane vogliono che sbavi (seh),0
"Sono anni che parli, parli e guardi",0
Frate' meglio che ti spari,0
[Ritornello: Fabri Fibra],0
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
[Interludio: Massimo Pericolo],0
Oggi ho mangiato a casa di Marra,1
Ho cagato a casa di Marra,1
E adesso registro il pezzo con Fibra,1
"Ma pensa se domani mi alzo e rappo come te, no",1
[Strofa 2: Massimo Pericolo],0
Fibra è il motivo se rappo (gang),1
Mica il motivo se spaccio,1
Lo sai che 'sta traccia la spacco (pah),0
Come la tua faccia da cazzo,0
Star Wars perché siete dei cloni del cazzo (skrt),1
Mio figlio piuttosto che il rapper giocherà a calcio (goal),1
Ci han detto non c'è né lavoro né cash,1
"Spari però guai a te, ma cos'è?",1
"Sei David Guetta zio, non fare il gangsta",1
"Sto coi criminali e neanche uno rappa (brr, pah)",1
Lo sbirro dice ho gli occhi rossi (no),1
"Sì, sono allergico agli stronzi",1
Certi posti pure se ti sposti restano attaccati come post-it,1
"Non voglio aiuto da una figa (no, no)",0
"Puoi salvarmi, sì, sulla rubrica (no, no)",0
Sesso sicuro perché me la danno,1
Il preservativo lo sfilo sborrando (uoh),0
"Non voglio aiuto da una figa (no, no)",0
"Puoi salvarmi, sì, sulla rubrica (no, no)",0
Ho la tipa più figa dell'anno,1
"Tu c'hai una figa, ma al posto del cazzo (scemo)",0
Fibra è il motivo se rappo (gang),1
Mica il motivo se spaccio,1
Tu vuoi fottere con me (eh?),0
Sei meno duro del mio cazzo,0
Ne ho passate tante (gang),1
Ma le ho fumate anche (gang-gang-gang),1
Ho un amico che fa le rapine,0
Ma non ho fatto quella fine (skrrt),0
Bel Paese una minchia,1
Ho mangiato più merda che pizza,1
Per fortuna che faccio l'artista,1
Altrimenti facevo l'autista,1
Tutti amici se pippi,1
Ed è colpa vostra perché,0
Si apre la busta e si abbracciano tutti,1
Come a C'è Posta Per Te (skrrt),1
[Ritornello: Fabri Fibra],0
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
"Star Wars, fai spazio",1
[Outro: Salmo],0
"Uei, esclusivo per il Machete Mixtape Volume Quattro",0
"Fabri Fibra, Massimo Pericolo, Star Wars, fai spazio",0
